ān fèng	安鳳
guō zhāng	郭章
guō zūn	郭遵
hǎi gē	海哥
hái shuì	還睡
hán bēi	韓碑
hán chá	韓察
hán chuí	韓垂
hán cóng	韓琮
hán gū	寒姑
hàn guǎng	漢廣
hán hóng	韓翃
hán huáng	韓璜
hán jiàng	韓絳
hán jū	韓駒
hán jùn	韓濬
hán liǔ	寒柳
hán shān	寒山
hán xī	含曦
hán xiū	韓休
hán yí	韓儀
hán yǔ	韓嶼
hán zhāo	韓昭
hán zhǔn	韓準
hè cháo	賀朝
hé guǎng	河廣
hé huān	合歡
hè jí	賀及
hé jìng	何敬
hé luán	何鸞
hé níng	和凝
hé xiàn	和峴
hé zàn	何贊
hèn fù	恨賦
héng mén	衡門
héng yún	橫雲
hóng hào	洪皓
hóng jīng	紅荊
hóng kuò	洪適
hóng qíng	紅情
hóu liè	侯冽
hóu méng	侯蒙
hóu zhì	侯置
hú céng	胡曾
hú fēn	胡玢
hú gǎo	胡杲
hú sù	胡宿
hú xióng	胡雄
hú yú	胡於
hù zài	扈載
hú zǎi	胡仔
hú zhèng	胡證
hú zhōu	胡州
huà sōng	畫松
huái chǔ	懷楚
huáng gé	黃格
huáng gé	黃革
huáng jī	黃機
huáng lín	黃麟
huáng pō	黃頗
huáng sǔn	黃損
huáng tán	黃談
huáng tāo	黃滔
huáng tóng	黃童
huáng zǎi	黃宰
huáng zài	黃載
huáng zhū	黃銖
huáng zhù	黃鑄
huì ān	晦庵
huì hóng	惠洪
huì jì	慧寂
huì xuān	慧宣
huì zhī	晦之
huì zhī	諱之
hún tuō	渾脫
huò zǒng	霍總
jì biàn	既辨
jiǎ céng	賈曾
jiǎ chí	賈馳
jiǎ dǎo	賈島
jiǎ léng	賈棱
jiā sè	佳色
jiǎ yì	賈奕
jiǎ yīng	賈應
jiǎ zhì	賈至
jiǎ zōng	賈宗
jiǎn lán	減蘭
jiàn táng	鑑堂
jiǎn xī	簡兮
jiǎng càn	蔣璨
jiāng fēi	江妃
jiǎng huàn	蔣渙
jiǎng jí	蔣吉
jiāng jiǎo	姜皎
jiāng kāi	江開
jiǎng liè	蔣冽
jiāng mào	江袤
jiǎng tǐng	蔣挺
jiāng wéi	江為
jiāng wěi	江緯
jiāng wú	江無
jiāng xī	姜晞
jiāng yǎn	江衍
jiāo liáo	椒聊
jiǎo tóng	狡童
jiāo yù	焦鬱
jiě hóng	解紅
jiē hū	嗟乎
jiě wǎn	解琬
jìn yān	禁煙
jǐng chí	景池
jīng rén	荊人
jīng shū	荊叔
jīng tāng	京鏜
jìng xiǎn	淨顯
jìng yuán	淨圓
jìng zhōu	競舟
jiǔ jiā	九佳
jiū mù	樛木
jiǔ qīng	九青
jiǔ tài	九泰
jiǔ xiè	九屑
jiǔ xiè	九蟹
jiǔ yù	九罭
jiǔ yuān	九淵
jú wēng	菊翁
jūn yuē	君曰
kǎi gē	凱歌
kāng pián	康駢
kǎo pán	考槃
kē chóng	柯崇
kě lóng	可隆
kě péng	可朋
kē yuán	柯原
kè zhì	客至
kǒng jǔ	孔矩
kǒng yí	孔夷
kòu cǐ	寇泚
kòu zhí	寇埴
kòu zhǔn	寇準
kuáng zuì	狂醉
lái hú	來鵠
láng bá	狼跋
lè lìng	樂令
lè shì	樂世
lè wǎn	樂婉
lèi yuè	酹月
lǐ bì	李壁
lǐ bó	李搏
lǐ bō	李播
lǐ bó	李渤
lǐ cén	李岑
lǐ chéng	李憕
lǐ chì	李赤
lǐ dé	李得
lǐ dòng	李洞
lǐ duān	李端
lí féng	黎逢
lǐ gān	李甘
lǐ gōng	李肱
lǐ hàn	李瀚
lǐ hé	李何
lǐ huí	李回
lǐ jiàng	李絳
lǐ jié	李結
lǐ jié	李節
lǐ jiǔ	李玖
lǐ kàng	李伉
lǐ kuí	李夔
lǐ kuò	李廓
lǐ liàng	李諒
lǐ lìng	李令
lí luán	離鸞
lǐ lǚ	李呂
lǐ mì	李祕
lǐ míng	李溟
lǐ nài	李鼐
lǐ péng	李彭
lǐ pín	李頻
lǐ pǔ	李樸
lǐ qí	李頎
lǐ qián	李潛
lǐ qiáo	李嶠
lǐ qiú	李璆
lǐ qú	李衢
lǐ sháo	李韶
lì shè	利涉
lǐ shēn	李深
lǐ shēn	李紳
lǐ shōu	李收
lǐ shū	李紓
lǐ sǒng	李竦
lǐ wò	李渥
lǐ xí	李習
lǐ xiá	李暇
lǐ xián	李鹹
lǐ xiàn	李峴
lǐ xù	李序
lǐ xù	李續
lǐ xún	李旬
lǐ xún	李詢
lǐ yào	李曜
lǐ yě	李冶
lǐ yè	李鄴
lǐ yì	李乂
lǐ yì	李億
lǐ yí	李嶷
lǐ yì	李益
lǐ yīng	李嬰
lǐ yǐng	李郢
lǐ yíng	理瑩
lǐ yǔ	李嶼
lǐ yǔ	李羽
lǐ yú	李虞
lǐ yuàn	李願
lǐ zhāng	李漳
lǐ zhěng	李拯
lǐ zhì	李騭
lǐ zhòu	李晝
lǐ zhòu	李胄
lián shì	廉氏
liáng lìng	梁令
liáng qià	梁洽
liáng sī	涼思
liáng xiàn	梁獻
liáng xuàn	梁鉉
liáng zhèn	梁震
liǎo é	蓼莪
liào níng	廖凝
liǎo xiāo	蓼蕭
lín chún	林淳
lín fán	林璠
lín gé	林革
lín kuān	林寬
lín kūn	林琨
lín sōng	林嵩
lín wài	林外
lín xǔ	林珝
lín yǎng	林仰
lín zǎo	林藻
lín zī	林滋
líng zhǔn	靈準
liú bāo	劉褒
liǔ céng	柳曾
liú chā	劉叉
liú chǎng	劉敞
liú dào	劉燾
liú dòng	劉洞
liú fān	劉蕃
liǔ féng	柳逢
liú fù	劉復
liú fù	劉阜
liǔ fù	柳富
liú gāo	劉皋
liú gēng	劉耕
liú gǒng	劉珙
liú gǔ	劉谷
liú hàng	劉沆
liú huǎng	劉晃
liǔ hún	柳渾
liú jǐ	劉幾
liú jì	劉洎
liú jì	劉濟
liú jià	劉駕
liú jiā	留家
liú jiān	劉兼
liú jiǎn	劉戩
liú jiàn	劉鑑
liú jīng	劉涇
liú jiǒng	劉迥
liú jùn	劉浚
liú kē	劉軻
liú kuí	劉暌
liú kuò	劉廓
liù má	六麻
liú mào	劉袤
liǔ mì	柳泌
liú qí	劉錡
liú qián	劉潛
liú shāng	劉商
liú shù	劉述
liú sǔn	劉損
liú tǎn	劉坦
liǔ táng	柳棠
liú tián	劉畋
liú wàng	劉望
liú xiàn	劉憲
liú xiàng	劉象
liú yán	劉炎
liú yè	劉鄴
liú yǐ	劉乙
liù yīng	六英
liù yǔ	六語
liù yú	六魚
liù yuè	六月
liǔ yùn	柳惲
liú zàn	劉贊
liú zào	劉皁
liú zhōu	劉舟
lóu cǎi	樓採
lóu yǐng	樓穎
lù áo	陸翱
lú chǔ	盧儲
lù diào	錄調
lù guàn	路貫
lù huá	露華
lù jiān	陸堅
lù jìng	陸敬
lú jūn	盧鈞
lù kǎi	陸凱
lú lìng	盧令
lú lún	盧綸
lú pián	盧駢
lú pín	盧頻
lù píng	陸憑
lú qún	盧羣
lù ruì	陸叡
lǔ shōu	魯收
lú wò	盧渥
lú xiàng	盧象
lú xié	盧攜
lú yīn	盧殷
lù yùn	陸蘊
lú zhào	盧肇
lú zhēn	盧真
lú zhēn	盧貞
lú zhēng	盧徵
lú zhù	盧注
lú zhuàn	盧僎
lù zǐ	陸子
luán qīng	欒清
luó chūn	羅椿
luó jiǒng	羅炯
luò jùn	駱浚
luó qiú	羅虯
luó ràng	羅讓
luó tài	羅泰
luó xiàng	羅珦
luó yè	羅鄴
luó yǐn	羅隱
luò yuè	落月
lǚ jià	呂價
lǚ jiǒng	呂炅
lǚ mù	呂牧
lǚ qún	呂群
lǚ ràng	呂讓
lǚ sù	旅宿
lǚ wèi	呂渭
lǚ wēn	呂溫
lǜ yāo	綠腰
lǜ yì	綠意
mǎ dài	馬戴
mǎ féng	馬逢
mǎ lìng	馬令
mǎ xiāng	馬湘
mǎ yì	馬乂
mǎ yì	馬異
mǎ yù	馬彧
mǎ zhōu	馬周
máo bìng	毛並
máo qiū	旄丘
méi chuāng	梅窗
méi jiāo	梅嬌
méi niáng	眉娘
méi pō	梅坡
mèng áo	孟翱
mèng chí	孟遲
mèng jiǎn	孟簡
mèng jiāo	孟郊
mèng jǐng	夢井
mèng qǐ	孟啟
mèng qiú	孟球
mèng shǒu	孟守
mèng xiáng	孟翔
miǎn shuǐ	沔水
miáo fā	苗發
mǐn yú	憫餘
míng lì	冥吏
míng suō	鳴梭
mò méng	莫蒙
móu róng	牟融
mù shēng	木聲
mù yōu	慕幽
mǔ yuē	母曰
nán zhuó	南卓
ní chēng	倪偁
nián bǎn	年版
níng huà	寧化
niú cóng	牛叢
niú jiào	牛嶠
pái gē	排歌
pān fāng	潘牥
pān táng	潘唐
pān tú	潘圖
pān yán	潘炎
pān yōng	潘雍
pān yòu	潘佑
páng jí	龐籍
páng yùn	龐蘊
péi chè	裴澈
péi chéng	裴誠
péi dá	裴達
péi dí	裴迪
péi fān	裴翻
péi háng	裴航
péi hào	裴皞
péi lín	裴潾
péi lüè	裴略
péi shū	裴淑
péi shuō	裴說
péi xiāng	裴湘
péi xíng	裴鉶
péi xiū	裴休
péi xū	裴諝
péi yán	裴延
péi yáo	裴瑤
péng chán	彭蟾
pǐn lìng	品令
pín nǚ	貧女
píng céng	平曾
píng yùn	平韻
pò dí	破笛
pò shào	破邵
qí ào	淇奧
qī bái	棲白
qī chán	棲蟾
qí fù	祈父
qǐ hù	綺戶
qí huàn	齊浣
qí jǐ	齊己
qī lǜ	七律
qǐ rén	豈人
qī yáng	七陽
qī yī	棲一
qī yú	七虞
qī yù	七遇
qiān guāng	謙光
qián kāng	乾康
qián qǐ	錢起
qiān shang	褰裳
qián xìn	錢信
qián xǔ	錢珝
qiáo jí	喬吉
qiáo kǎn	喬侃
qiáo shùn	喬舜
qín diào	琴調
qín gē	琴歌
qín jiā	秦嘉
qín wěi	溱洧
qín zhàn	秦湛
qīng bēi	傾杯
qíng cí	情詞
qīng liú	清流
qīng xī	青溪
qīng yún	卿雲
qióng tái	瓊臺
qiū dān	丘丹
qiū gē	秋歌
qiū shuǐ	秋水
qiū shuō	丘說
qiū wéi	丘為
qiū wéi	邱為
qiū yuè	丘悅
qú wēng	臞翁
qū yuán	屈原
quán shěn	權審
quàn zuì	勸醉
què dào	卻道
quē tí	闕題
rèn fān	任翻
rèn huá	任華
rén shì	任氏
rèn yào	任要
rèn zuì	任醉
rì yù	日喻
róng yīn	榮諲
róng yù	戎昱
rǔ fén	汝墳
rù sāi	入塞
rù sòng	入宋
ruǎn yǔ	阮瑀
ruǎn yuè	阮閱
ruì huī	芮輝
ruì yè	芮燁
rùn yì	潤益
sāi gū	塞姑
sāi mǎ	塞馬
sài shén	賽神
sān jiàng	三絳
sān tàn	三嘆
sān yáo	三餚
sāng zhōng	桑中
shàn shēng	善生
shàn zhēn	善珍
shàng yán	尚顏
shāng zé	商則
shào biàn	哨遍
shào bó	邵博
shào jǐng	邵景
shào nán	召南
shào shēng	邵升
shào yè	邵謁
shào zhēn	邵真
shēn huān	申歡
shěn huí	沈回
shěn huī	沈徽
shěn huì	沈晦
shèn shì	慎氏
shěn sòng	沈頌
shěn wèi	沈蔚
shěn yán	沈顏
shén yǐng	神穎
shěn yǔ	沈宇
shén zàn	神讚
shèng cháng	勝常
shěng lì	省吏
shǐ fèng	史鳳
shí guà	十卦
shí guàn	石貫
shǐ hái	使還
shí huī	十灰
shí kè	石恪
shí lín	石麟
shǐ shēn	史深
shì xī	是夕
shǐ yán	史延
shí yào	十藥
shǐ yú	史愚
shì yǔ	室語
shí zhào	石召
shí zhēng	十蒸
shū fèn	書憤
shū shì	舒氏
shuāng diào	雙調
shuāng jiàn	雙漸
shuǐ diào	水調
shuí yǔ	誰與
shuò rén	碩人
sī gàn	斯幹
sì háo	四豪
sì mǔ	四牡
sì tiě	駟驖
sì zhǐ	四紙
sì zhì	四質
sòng bié	送別
sòng dí	宋迪
sòng dǐng	宋鼎
sòng jì	宋濟
sòng wǎn	宋琬
sòng yōng	宋雍
sòng yù	宋昱
sòng yuàn	宋媛
sōng zhōu	松洲
sù fǔ	宿府
sù guān	素冠
sū guī	蘇瑰
sū huàn	蘇渙
sū jiǎn	蘇檢
sū jiǒng	蘇泂
sū wǎn	蘇綰
sū wǔ	蘇武
sū yù	蘇寓
sū yù	蘇鬱
sū yún	蘇芸
sū zhěng	蘇拯
suí gōng	隋宮
suì rì	歲日
sūn dìng	孫定
sūn fáng	孫魴
sūn gé	孫革
sūn gù	孫顧
sūn hé	孫合
sūn quán	孫佺
sūn ruì	孫銳
sūn wěi	孫緯
sūn wò	孫偓
sūn xián	孫鹹
sūn xiàn	孫峴
suǒ jiǔ	索酒
tà yuè	踏月
tán qiào	譚峭
tán qín	彈琴
táng bèi	唐備
táng fú	唐扶
táng gēng	唐庚
tāng huī	湯恢
táng lǐn	唐廩
táng xuān	唐暄
táng yí	唐怡
tāng yuè	湯悅
táo hàn	陶翰
táo yōng	陶雍
téng bái	滕白
téng mài	滕邁
téng ní	滕倪
tián chéng	田澄
tián é	田娥
tián zhāng	田章
tiáo xiào	調笑
tíng liáo	庭燎
tíng shí	庭實
tīng zhēng	聽箏
tóng gōng	彤弓
tù jū	兔罝
tù sī	兔絲
tù yuán	兔爰
tuò xī	萚兮
wàn chǔ	萬楚
wán lán	芄蘭
wǎn qiū	宛丘
wáng biǎo	王表
wáng bō	王播
wáng cāng	王蒼
wáng chén	王諶
wáng chuò	王綽
wāng cún	汪存
wáng dí	王滌
wáng dìng	王鋌
wáng gēng	王庚
wáng guī	王硅
wáng hàn	王翰
wáng huàn	王渙
wāng jí	汪極
wáng jiàn	王建
wáng jìn	王縉
wáng jiǒng	王迥
wáng jū	王琚
wáng kuí	王揆
wáng lán	王瀾
wáng liào	王鐐
wáng lìng	王令
wáng lǔ	王魯
wáng mào	王楙
wàng méi	望梅
wáng miǎn	王勔
wáng niè	王喦
wáng pāng	王雱
wáng qí	王淇
wáng qǐ	王起
wáng qiū	王丘
wáng róng	王鎔
wáng shǎng	王賞
wáng shào	王邵
wáng shěn	王沈
wáng shēn	王詵
wāng shēn	汪莘
wáng shí	王識
wáng shì	王適
wáng shū	王樞
wáng wěi	王洧
wáng xióng	王熊
wáng yá	王涯
wáng yǎn	王偃
wáng yí	王沂
wáng yōng	王邕
wáng yuē	王約
wáng zàn	王瓚
wáng zhòng	王重
wáng zhòu	王胄
wáng zhù	王祝
wāng zhū	汪洙
wāng zhuó	汪晫
wáng zhuó	王濯
wāng zūn	汪遵
wéi bīng	韋冰
wéi chán	韋蟾
wéi dān	韋丹
wéi dǐng	韋鼎
wěi fàn	尾犯
wèi fēng	魏風
wéi hóng	韋洪
wéi jì	韋濟
wéi jiàn	韋建
wéi jiǎn	韋檢
wéi kàng	韋抗
wèi luán	魏巒
wèi pǔ	魏樸
wèi qǐ	魏杞
wéi shì	韋式
wéi shū	韋紓
wéi shù	韋述
wèi tuó	尉佗
wéi xiāng	韋驤
wèi yáng	渭陽
wèi yè	衛葉
wéi zhuāng	韋莊
wén bǐng	文丙
wén jiàn	文鑑
wén jué	文珏
wēn xiàn	溫憲
wén yǎn	文偃
wén yì	文益
wēng dìng	翁定
wēng hé	翁合
wēng hóng	翁宏
wēng shòu	翁綬
wēng táo	翁洮
wǔ bīn	伍彬
wú dú	吾讀
wú gǎn	吳感
wǔ gē	五歌
wú gǒng	吳鞏
wú huǎng	吳晃
wú jī	吳激
wǔ jīng	五莖
wú jīng	吳兢
wú kāng	吳康
wú mèi	無寐
wú mèn	無悶
wú mì	吳祕
wǔ pāi	五拍
wú qì	無棄
wú qián	吳潛
wú qián	吳黔
wù qīng	悟清
wú róng	吳融
wǔ shǒu	五首
wú shū	吳叔
wǔ táng	伍唐
wǔ wēi	五微
wǔ wèi	五未
wǔ wù	五物
wú yáng	無羊
wǔ yāo	舞腰
wú yì	吳億
wú yì	吳益
wú yǒng	吳泳
wú yuán	吳圓
wú yuàn	無怨
wú zhú	吳燭
xī dào	希道
xī hái	西還
xī hú	西湖
xī jū	溪居
xí kuí	席夔
xī sǒu	希叟
xí yù	席豫
xī zǐ	西子
xià gē	夏歌
xià hóng	夏鴻
xià jǐng	夏景
xià ní	夏倪
xià zhōu	夏州
xián chí	鹹池
xiān wāng	先汪
xiān zuì	先醉
xiàng bó	巷伯
xiàng hào	向滈
xiāng qiú	香球
xiāng shǔ	相鼠
xiàng sī	項斯
xiāng yuè	湘月
xiāng yuè	相月
xiǎo biàn	小弁
xiāo fēi	蕭妃
xiāo huí	蕭回
xiāo jiàn	蕭建
xiāo jié	蕭結
xiāo jìng	蕭靜
xiāo kuàng	蕭曠
xiǎo mín	小旻
xiāo què	蕭愨
xiǎo róng	小戎
xiǎo suì	小碎
xiǎo wǎn	小宛
xiāo wēi	蕭微
xiāo xiàng	蕭項
xiāo xīn	蕭昕
xiāo yì	蕭意
xiāo yì	蕭翼
xiāo yù	蕭彧
xiè jiàng	謝絳
xiè mào	謝懋
xiè miǎo	謝邈
xiè táo	謝陶
xiè xiè	謝燮
xiè zhí	謝直
xīn hóng	辛宏
xīn liǔ	新柳
xíng duān	行端
xíng fèng	邢鳳
xíng gōng	行宮
xíng jù	邢巨
xíng lù	行露
xíng qún	邢群
xíng shào	邢邵
xióng jié	熊節
xióng yào	熊曜
xiōng yuē	兄曰
xióng zhì	雄雉
xiù hù	繡戶
xiū mù	修睦
xiū yǎ	修雅
xú bì	徐珌
xú bì	徐璧
xú chǎng	徐敞
xǔ dà	許大
xǔ dǐng	許鼎
xú gàn	徐幹
xú hào	徐浩
xú hào	徐皓
xú héng	徐珩
xú hún	徐渾
xǔ hún	許渾
xú jī	徐積
xǔ jiān	許堅
xǔ jiāng	許將
xú jiè	徐介
xú kǎn	徐侃
xú lǐ	徐理
xǔ méi	許玫
xú miǎn	徐勉
xǔ mín	許岷
xú níng	徐凝
xǔ què	許碏
xú shāng	徐商
xǔ táng	許棠
xǔ tíng	許庭
xú wò	徐斡
xǔ yáo	許瑤
xú yín	徐夤
xú zhì	徐至
xū zhōng	虛中
xuán bǎo	玄寶
xuān qíng	宣情
xuán yōu	玄幽
xuē féng	薛逢
xuē jù	薛據
xuē méng	薛蒙
xuē néng	薛能
xuē qióng	薛瓊
xuē róng	薛戎
xuē shì	薛式
xuē tāo	薛濤
xuē yào	薛曜
xuē yáo	薛瑤
xuē yè	薛業
xuē yíng	薛瑩
xuē yǒng	薛泳
xuē zhǔn	薛準
xún méi	尋梅
yán càn	顏粲
yán kuān	閻寬
yán kuí	顏奎
yán shū	顏舒
yán wéi	嚴維
yán xuǎn	閻選
yán xuān	顏萱
