ān fèng	安鳳
cháng wén qín dì nǚ	嘗聞秦帝女
cháng wén qīng shuǐ yán	嘗聞清水岩
cháng wén shēng bié lí	嘗聞生別離
cháng wén shèng xián yǔ	嘗聞聖賢語
cháng wén sú jiān yǔ	常聞俗間語
cháng wén táo qián yǔ	嘗聞陶潛語
cháng wén táo táng shì	嘗聞陶唐氏
cháng wén tiān nǚ guì	嘗聞天女貴
cháng wén tiě jiàn lì	常聞鐵劍利
cháng wén wáng yǔ péi	嘗聞王與裴
cháng wén xià tài kāng	嘗聞夏太康
cháng wén xiè shǒu xián	嘗聞謝守賢
cháng wén xiōng dì lè	常聞兄弟樂
cháng wén xuē gōng lèi	嘗聞薛公淚
cháng wén yǎn jiǎ bīng	嘗聞偃甲兵
cháng wén yú cí guān	嘗聞於祠官
cháng wén yù qīng dòng	嘗聞玉清洞
cháng wén yù quán shān	常聞玉泉山
cháng wén yǔ xué qí	常聞禹穴奇
cháng wén zèng qióng jiǔ	嘗聞贈瓊玖
cháng wén zhàng zhōng xìn	常聞仗忠信
cháng wén zhù róng fēng	嘗聞祝融峰
chàng wǒ xīn gē cí	唱我新歌詞
cháng wù tú fán fèi	長物徒煩費
chàng wǔ yuè chéng gōng	暢武悅成功
cháng xī pī chén wǎng	常希披塵網
cháng xī sū mén xiào	嘗希蘇門嘯
cháng xià bái tóu yín	長夏白頭吟
cháng xià wú suǒ wéi	長夏無所爲
cháng xià xiǎng wèi qíng	長夏想為情
cháng xiàn cūn zhōng mín	長羨村中民
cháng xián dài mào gū	嘗嫌玳瑁孤
cháng xiān ér shǎo cóng	長先而少從
cháng xián gù yǒu wèi	長閒故有味
cháng xián hàn yē bēi	長銜漢掖悲
cháng xián xiàn yún hè	長閒羨雲鶴
cháng xián yóu wèi dé	長閒猶未得
cháng xián zhuó shuǐ ní	常銜濁水泥
cháng xiǎng bié lí chù	長想別離處
cháng xiàng bié lí zhōng	長向別離中
cháng xiàng jié máo kàn	常向節旄看
cháng xiàng lǒng tóu xuán	長向隴頭懸
cháng xiàng luò chéng fēi	長向洛城飛
cháng xiǎng shǔ tiān tái	長想屬天台
cháng xiǎng suì liú lián	長想遂留連
cháng xiǎng tiào qián zōng	長想眺前蹤
cháng xiǎng tóng yè chán	嘗想同夜禪
cháng xiào chū yuán yě	長嘯出原野
cháng xiào cí míng zhǔ	長嘯辭明主
cháng xiào dé shí yán	長嘯得石研
cháng xiào dú xuān xuān	長嘯獨軒軒
cháng xiào duì gāo liǔ	長嘯對高柳
cháng xiào é méi běi	長嘯峨嵋北
cháng xiào èr nán xián	長笑二南閒
cháng xiào gāo shān tóu	長嘯高山頭
cháng xiào gāo tái shàng	長嘯高台上
cháng xiào guī gù yuán	長嘯歸故園
cháng xiào huò kě nǐ	長嘯或可擬
cháng xiào jǔ qīng shāng	長嘯舉清觴
cháng xiào jué rén qún	長嘯絕人羣
cháng xiào kāi yán fēi	長嘯開巖扉
cháng xiào lǐ qīng cè	長嘯理輕策
cháng xiào liáng fǔ yín	長嘯梁甫吟
cháng xiào lín jué yǎn	長嘯臨絕巘
cháng xiào lín mù dòng	長嘯林木動
cháng xiào lín qīng biāo	長嘯臨清飆
cháng xiào mǎn jīn fēng	長嘯滿襟風
cháng xiào pān qiáo lín	長嘯攀喬林
cháng xiào pī yān xiá	長嘯披煙霞
cháng xiào qīng yī zān	長嘯輕衣簪
cháng xiào qiū guāng wǎn	長嘯秋光晚
cháng xiào sān chūn wǎn	長嘯三春晚
cháng xiào tiān dì kuān	長笑天地寬
cháng xiào tiān dì xián	長嘯天地閒
cháng xiào wàn lǐ fēng	長嘯萬里風
cháng xiào wàn wù biǎo	長嘯萬物表
cháng xiào xià jīng mén	長嘯下荊門
cháng xiào xún háo yīng	長嘯尋豪英
cháng xiào yǐ gū jiàn	長嘯倚孤劍
cháng xiào yī hán qíng	長嘯一含情
cháng xiào yǐ tiān tī	長嘯倚天梯
cháng xiào yǐ tíng shù	長嘯倚亭樹
cháng xiào yī wú yán	長嘯一無言
cháng xiào yǔ zhòu jiān	長嘯宇宙間
cháng xiào zhāo yuǎn fēng	長嘯招遠風
cháng xiào zuò luán yīn	長嘯作鸞音
cháng xiè sān sì zhú	常灺三四燭
cháng xiè wú yì tì	長瀉無益涕
cháng xìn duō qiū qì	長信多秋氣
cháng xìn gōng zhōng cǎo	長信宮中草
cháng xìn jiā lì rén	長信佳麗人
cháng xīn pò lǚ yán	嘗新破旅顏
cháng xīn zài mén lán	常欣在門闌
cháng xíng wàn lǐ yú	長行萬里餘
cháng xíng zhǎng zài yǎn	長行長在眼
cháng xiù fú yù chén	長袖拂玉塵
cháng xiù liú jiā kè	長袖留嘉客
cháng xiù mò liú bīn	長袖莫留賓
cháng xiù píng yáng qǔ	長袖平陽曲
cháng xiù rù huá yīn	長袖入華裀
cháng xiù wǔ chūn fēng	長袖舞春風
cháng xiù yù xiāng qīn	長袖欲相親
cháng xiù zhāo xié rì	長袖招斜日
cháng xiù zhuǎn huí luán	長袖轉回鸞
cháng xū bié wú jīng	長吁別吳京
cháng xū fān běi kòu	長吁翻北寇
cháng xū jiǔ mǎn píng	長鬚酒滿瓶
cháng xù míng shān yì	嘗蓄名山意
cháng xū wàng qīng yún	長吁望青雲
cháng xū wèn chéng xiàng	長吁問丞相
cháng xū xiāng quàn miǎn	長吁相勸勉
cháng xuán běi quē xīn	長懸北闕心
cháng xuán jiù yǔ lín	長懸舊羽林
cháng xué gōng sūn hóng	嘗學公孫弘
cháng xún jīn diàn lǐ	常尋金殿裏
cháng yā chì chéng xiá	長壓赤城霞
cháng yà jūn ēn jué	長訝君恩絕
cháng yán bīn zá cuò	長筵賓雜厝
cháng yǎn bó yá xián	長掩伯牙弦
cháng yān dàn píng chuān	長煙淡平川
chāng yán fā shàng cái	昌言發上才
chàng yān fǔ lěi sì	悵焉撫耒耜
chàng yān gǎn chū liáng	悵焉感初涼
chàng yān huái gōng zǐ	悵焉懷公子
cháng yān huì luò jǐng	長煙晦落景
cháng yán niǎo yīng dù	長檐鳥應度
chàng yān qǐ xiá zhān	悵焉起遐瞻
cháng yān sàn chū bì	長煙散初碧
chāng yán tài hòu cháo	昌言太后朝
chāng yán wò chén cōng	昌言沃宸聰
cháng yán xiǎng bēn liū	長檐響奔溜
cháng yán yìng yù zǔ	長筵映玉俎
cháng yán yǒng rì huān	長筵永日歡
cháng yán yuān lù jí	長筵鵷鷺集
cháng yán zài jǐ zhě	常言在己者
cháng yáng jiù yǐng shū	長楊就影舒
cháng yáng kuà wǔ qí	長楊跨武騎
cháng yǎng qià nán xūn	長養洽南薰
cháng yǎng sān qīng jìng	長養三清境
cháng yáng shè xióng pí	長楊射熊羆
cháng yáng shōu yǔ qí	長楊收羽騎
cháng yáng yǔ liè shí	長楊羽獵時
cháng yáo cháo fù míng	長謠朝復暝
cháng yáo fǎn zhāo yǐn	長謠反招隱
cháng yáo héng sù qín	長謠橫素琴
cháng yáo kǔ wèi ān	長謠苦未安
cháng yáo qù guó chóu	長謠去國愁
cháng yáo rèn xīng xíng	長謠任興行
cháng yáo sāi shàng fēng	長謠塞上風
cháng yáo xiàng bì yīn	長謠向壁陰
cháng yáo yí fú jīn	長謠宜幅巾
chāng yè bù lóng lín	菖葉布龍鱗
cháng yè dú xiān zhī	長夜獨先知
cháng yè hé shí dàn	長夜何時旦
cháng yè hé shí xiǎo	長夜何時曉
cháng yè jiǔ quán tái	長夜九泉臺
cháng yè jūn xiān qù	長夜君先去
cháng yè kōng yǎo niè	長夜空咬齧
cháng yè liáng jì mò	長夜良寂寞
cháng yè míng hé dàn	長夜鳴曷旦
cháng yè qì ēn qíng	長夜泣恩情
cháng yè shǐ kān zhōng	長夜始堪終
cháng yè xǐ xīn tóu	長夜洗心頭
cháng yè xiàng bì tàn	長夜向壁嘆
cháng yè zhèng liú bīn	長夜正留賓
chàng yǐ bèi qín guān	悵矣背秦關
cháng yī bié gōng qīng	長揖別公卿
cháng yī bié shàng guān	長揖別上官
cháng yī bú shòu guān	長揖不受官
cháng yī cí chéng gōng	長揖辭成功
cháng yí cǐ shuō miù	常疑此說謬
cháng yǐ cǐ xīn guān	常以此心觀
cháng yī dà jiàng jūn	長揖大將軍
cháng yì dé xīng kàn	長憶德星看
cháng yī èr qiān dàn	長揖二千石
cháng yǐ gēng yù tián	嘗以耕玉田
cháng yī gǔ rén fēng	長揖古人風
cháng yī hán jīng zhōu	長揖韓荊州
cháng yí huà bù chéng	長疑畫不成
cháng yì jī míng shān	常憶雞鳴山
cháng yī kuí lóng cháo	長揖夔龍朝
cháng yī lí gōng qīng	長揖離公卿
chàng yǐ qiū fēng shí	悵矣秋風時
cháng yí ruò rén xiōng	常疑若人胸
chàng yǐ shā jì hè	暢以沙際鶴
cháng yī shēn yǒu bàn	長一身有半
cháng yī táo yuán shì	長揖桃源士
cháng yì tóng xié shǒu	常憶同攜手
chàng yǐ tú dēng lín	悵矣徒登臨
cháng yī wàn shèng jūn	長揖萬乘君
cháng yì wò jiāng lóu	嘗憶臥江樓
chǎng yí wǔ gēng xīn	場移舞更新
cháng yī wǔ hòu mén	長揖五侯門
cháng yī xiè gōng qīng	長揖謝公卿
cháng yī xiè qīn zú	長揖謝親族
cháng yī xiè shí shì	長揖謝時事
chàng yǐ xīn huái tǔ	悵矣欣懷土
cháng yǐ yǔ wǒ lái	嘗以語我來
cháng yì yún mén sì	長憶雲門寺
chàng yǐ zhōu hè qiān	悵矣舟壑遷
cháng yí zǐ shàn huàn	常疑子善幻
cháng yín bō zhū tiān	長吟播諸天
cháng yín bù gǎi diào	長吟不改調
cháng yín bú shì xián	長吟不世賢
cháng yín cè léi mǎ	長吟策羸馬
cháng yín chóu bìn bān	長吟愁鬢斑
cháng yín dào wǔ gēng	長吟到五更
cháng yín fǎn zhāo yǐn	常吟反招隱
cháng yín jí fǔ sòng	長吟吉甫頌
cháng yín jūn bù lái	長吟君不來
cháng yín kōng bào xī	長吟空抱膝
cháng yǐn lín jiāng lóu	常隱臨江樓
cháng yǐn nán shān yōu	長隱南山幽
cháng yǐn qīng líng chuān	常飲清泠川
cháng yín rù yè qīng	長吟入夜清
cháng yín sāi xià qǔ	常吟塞下曲
cháng yín shū yǒng huái	長淫舒永懷
cháng yín sòng luò huī	長吟送落暉
cháng yín wàng zhuó jīng	長吟望濁涇
cháng yín wèi jí zhōng	長吟未及終
cháng yín wú yòng guī	長吟無用歸
cháng yīn xī běi yún	嘗因西北雲
cháng yín xià shū wéi	長吟下書帷
cháng yín xiǎng fēng yù	長吟想風馭
chàng yǐn xuě cháo chéng	暢飲雪朝酲
cháng yín yě wàng shí	長吟野望時
cháng yín zì bú miè	長吟字不滅
cháng yín zǔ jìng biàn	長吟阻靜便
cháng yíng fēi yàn yóu	長迎飛燕遊
cháng yīng huáng jú pàn	常應黃菊畔
cháng yīng lí hèn duō	長嬰離恨多
cháng yǐng méi yǎo tiǎo	長影沒窈窕
cháng yīng tú zì qī	長纓徒自欺
cháng yīng xì yú niè	長纓系餘孽
cháng yīng xiào lìng wēi	長應笑令威
cháng yōu ér bèi zhī	常憂兒輩知
cháng yōu fǔ cháng sǐ	常憂腐腸死
cháng yǒu guī lái mèng	長有歸來夢
cháng yōu hài bù cún	長憂駭不存
cháng yǒu hù miáo zhēng	長有扈苗徵
cháng yǒu jī hán chóu	常有飢寒愁
cháng yóu jiàn zé shuǐ	常遊澗澤水
cháng yǒu jiāng nán chuán	常有江南船
cháng yóu jiāng shuǐ bīn	常遊江水濱
cháng yǒu sī rén bù	常有斯人不
cháng yǒu wàn bān chóu	長有萬般愁
cháng yǒu wú shéng jié	腸有無繩結
cháng yǒu yuǎn rén lái	長有遠人來
cháng yù bàng qīng léi	常欲傍清羸
cháng yǔ fǎ lún yuán	長與法輪圓
cháng yù fèng kōng mén	常欲奉空門
cháng yǔ fèng wéi qún	長與鳳爲羣
cháng yù guān cǐ shēn	常欲觀此身
cháng yǔ hán zhòng qīn	長與韓衆親
cháng yú jì chù míng	常於寂處鳴
cháng yù jì shí nán	嘗欲濟時難
cháng yú lěng zhú zuò	常於冷竹坐
cháng yú luò zhào jìn	長榆落照盡
cháng yǔ mèng xiāng qīn	長與夢相親
cháng yǔ pèi shēng suí	長與佩聲隨
cháng yù qī shān dǎo	常欲棲山島
cháng yǔ qín shān duì	常與秦山對
cháng yú róng xiǎn rì	常於榮顯日
cháng yǔ shì rén cí	長與世人辭
cháng yǔ suì shí shēn	長與歲時深
cháng yǔ tiān xià shì	常與天下士
cháng yù tuì wēi gōng	嘗欲退微躬
cháng yǔ wèn qián kūn	長與問乾坤
cháng yú wú bō tāo	長魚無波濤
cháng yú wú sǔn lín	長魚無損鱗
cháng yú xī fēng huǒ	長榆息烽火
cháng yù xuě yōu yuān	常欲雪幽冤
cháng yú yè dìng xī	長榆葉定稀
cháng yǔ yú niǎo yì	長與魚鳥逸
cháng yù zài yǎn qián	長欲在眼前
cháng yǔ zǐ tóng qīn	常與子同衾
cháng yuàn fěn jī gǔ	常願粉肌骨
cháng yuàn fèng chuí yī	長願奉垂衣
cháng yuàn fèng huáng míng	常願奉皇明
cháng yuàn fèng jīn xiān	常願奉金仙
cháng yuàn fèng tiān huī	長願奉天暉
cháng yuàn jì hóng xiū	長願紀鴻休
cháng yuàn lè jiāo qīn	長願樂交親
cháng yuán lián cǎo shù	長垣連草樹
cháng yuàn miǎn chén méng	長願免塵蒙
cháng yuàn mìng gāo yán	長苑命高筵
cháng yuàn rù líng yuè	常願入靈嶽
cháng yuàn shì xiān líng	常願事仙靈
cháng yuàn shí zì jiē	長怨十字街
cháng yuàn tiān zǐ shèng	常願天子聖
cháng yuàn tóu sù chéng	常願投素誠
cháng yuàn xiàng nán liú	長願向南流
cháng yuán yǒu xiū zhé	長轅有修轍
cháng yuàn zài héng fén	長願在橫汾
cháng yún mí yī yàn	長雲迷一雁
cháng yún shī bāo xié	長雲溼褒斜
cháng yún shù qiān lǐ	長雲數千里
cháng yún tūn jù qū	長雲吞具區
cháng yún yù qīng jǐng	常雲遇清景
chāng yùn zhān wén jiào	昌運瞻文教
cháng yún zhòu luò rì	長雲驟落日
cháng zài cǐ shān tóu	常在此山頭
cháng zài jī lǚ zhōng	常在羈旅中
cháng zāi wēn shì qián	長栽溫室前
cháng zài yú xiǎn yuǎn	常在於險遠
cháng zài zhū bó hòu	長載朱伯厚
cháng zāo yāo gǔ nào	常遭腰鼓鬧
cháng zēng chí lù wèi	常憎持祿位
cháng zèng rào cháo cè	嘗贈繞朝策
cháng zhāi yǎn xiāng huǒ	長齋儼香火
cháng zhāi yǐn shí quán	長齋飲石泉
cháng zhàn cǎi xiá fēng	長佔彩霞峯
cháng zhān jié shí hóng	長瞻碣石鴻
cháng zhào tài píng nián	長照太平年
cháng zhào xī zhōu dié	長照西州堞
cháng zhào yè dēng qián	長照夜燈前
cháng zhēng jūn zì guàn	長征君自慣
cháng zhēng mǎ bù féi	長征馬不肥
cháng zhī bà guān yì	常知罷官意
cháng zhī kě qiāng hǎo	嘗知渴羌好
cháng zhí tōu qín chù	嘗值偷琴處
cháng zhī zhé jiǎo dǐng	常支折腳鼎
cháng zhōng shí bù chōng	腸中食不充
cháng zhōu hé jì xiāng	長洲荷芰香
cháng zhōu hóng yàn bīn	長洲鴻雁賓
cháng zhōu hóng yàn chū	長洲鴻雁初
cháng zhōu qǔ xīn cí	長洲曲新詞
cháng zhù yù lóu hán	長助玉樓寒
cháng zhuó yā hé xīn	長彴壓河心
cháng zì ài bēi jiǔ	嘗自愛杯酒
cháng zuì fēi guān jiǔ	長醉非關酒
cháng zuì gē fāng fēi	長醉歌芳菲
cháng zuò bù rán huī	長作不然灰
chàng zuò bù xū cí	唱作步虛辭
cháng zuò chū sài bīng	長作出塞兵
cháng zuò dōng nán bié	長作東南別
cháng zuò dú yóu rén	長作獨遊人
cháng zuò hǎi shàng rén	長作海上人
cháng zuò jiǔ quán huī	長作九泉灰
cháng zuò qù nián huā	常作去年花
cháng zuò wàng fū míng	長作望夫名
cháng zuò xiàn shēn jī	長作陷身機
cháng zuò zhào hǎi dú	長作照海獨
cháng zuò zhāo yún bàn	長作朝雲伴
cháng zuò zhǔ rén wēng	長作主人翁
cháo bà míng chén shì	朝罷冥塵事
cháo bà mù yù xián	朝罷沐浴閒
cháo bà rì yóu cháng	朝罷日猶長
chāo bài nǎi dēng tán	超拜乃登壇
cháo bān jí mù chǐ	朝班及暮齒
cháo bān lì wèi héng	朝班立位橫
cháo bàng zǐ wēi yuán	朝傍紫微垣
chāo bǐ tuō liáng yuán	超彼託良緣
cháo biān gòng shì zhào	朝編貢士詔
cháo bié huáng hè lóu	朝別黃鶴樓
cháo bié líng yān lóu	朝別凌煙樓
cháo bié zhū què mén	朝別朱雀門
cháo bō hū lái wǎng	潮波忽來往
cháo bō zé mù huò	朝播責暮獲
cháo bō zì yíng suō	潮波自盈縮
cháo bū bān bǐng ěr	朝晡頒餅餌
cháo bù luò huā xián	朝步落花閒
cháo bú rì chū xī	朝不日出兮
cháo cǎi hòu zhēng huī	朝寀候徵麾
cháo cǎi shān shàng wēi	朝採山上薇
cháo cān bú guò bǎo	朝餐不過飽
cháo cān bù tíng luò	朝餐布庭落
cháo cān duō bù bǎo	朝餐多不飽
cháo cān guàn shù bì	朝餐盥漱畢
cháo cān shì cǎo gēn	朝餐是草根
cháo cān shí zhōng suǐ	朝餐石中髓
cháo cān wéi yào cài	朝餐唯藥菜
cháo cān wǔ chéng liǔ	朝參五城柳
cháo cān xī ān qǐn	朝餐夕安寢
cháo cān yún mǔ sàn	朝餐雲母散
cháo cè lí méi guā	朝策犁眉騧
cháo cén yì cháng lán	朝岑翳長嵐
chāo chàng jì huái yuǎn	怊悵既懷遠
chāo chàng lǜ tái zī	怊悵綠苔滋
chāo chàng qí lín kè	怊悵麒麟客
chāo chàng yǒu wēi bō	怊悵有微波
chāo chàng zhōng lín qíng	怊悵中林情
chāo chāo chū yóu bēn	超超出猶奔
chāo chāo qīng yún qì	超超青雲器
chāo chāo wèi bīn qì	超超渭濱器
chāo chāo wéi làng yóu	超超爲浪遊
cháo chē léi sì hé	朝車雷四合
cháo chē yìng zhú xián	朝車映竹閒
cháo chén duì guó lǎo	朝臣對國老
cháo chén guān jiàn tuì	朝臣冠劍退
cháo chén yǐn suì fāng	朝臣飲歲芳
cháo chéng biàn hé liú	朝乘汴河流
cháo chéng bù shēng zǐ	巢成不生子
chāo chéng hū zhēng xiān	超乘忽爭先
cháo chēng jiǎ yì cái	朝稱賈誼才
cháo chéng xiù jiá qún	朝成繡夾裙
cháo chí chū pú jú	朝持樗蒲局
cháo chí jǐ wàn tí	朝馳幾萬蹄
cháo chū dōng guō mén	朝出東郭門
cháo chū měng shòu lín	朝出猛獸林
cháo chū mù hái sù	朝出暮還宿
cháo chū yì mǎ qū	朝出一馬驅
cháo chū yì rú yī	朝出易儒衣
cháo chū yǔ lín gōng	朝出羽林宮
cháo chū yuàn huā fēi	朝出苑花飛
cháo chū zài rén shǒu	朝出在人手
cháo chū zì bù huán	朝出自不還
cháo chuān tóng yè xíng	朝穿桐葉行
cháo chuāng shēn gēng xián	朝窗深更閒
cháo chuāng wàn jǐng yān	朝窗萬井煙
cháo chuī guī qiū yàn	朝吹歸秋雁
cháo cí fú sāng dǐ	朝辭扶桑底
cháo cí guān jūn yì	朝辭官軍驛
cháo cí yáng cháng bǎn	朝辭羊腸阪
cháo cí yáng cháng bǎn	朝辭羊腸坂
cháo cí yǐng chéng jiǔ	朝辭郢城酒
cháo cóng běi àn lái	朝從北岸來
cháo cóng bó tú yǐn	朝從博徒飲
cháo cóng huá lín yàn	朝從華林宴
cháo cóng kōng wū lǐ	朝從空屋裏
cháo cóng lǎo sēng fàn	朝從老僧飯
cháo cóng qīng lián yǔ	朝從青蓮宇
cháo cóng shān kǒu hái	朝從山口還
cháo cóng shān sì hái	朝從山寺還
cháo cóng tān shàng fàn	朝從灘上飯
cháo cóng xié shǒu chū	朝從攜手出
cháo cóng zhí chéng chū	朝從直城出
cháo cóng zǐ jìn guī	朝從紫禁歸
cháo dàn qì hòu jiā	朝旦氣候佳
cháo dēng bǎi zhàng fēng	朝登百丈峯
cháo dēng běi hú tíng	朝登北湖亭
cháo dēng dà tíng kù	朝登大庭庫
cháo dēng péng lái mén	朝登蓬萊門
cháo dēng yí mìng chū	朝登一命初
cháo dēng yíng luán zhèn	朝登迎鑾鎮
cháo diàn yǒu xū zūn	朝奠有虛尊
cháo diào lǐ jiā gū	朝吊李家孤
cháo dòng yǔ cháo mù	巢棟與巢幕
cháo duān chǒng jié máo	朝端寵節旄
cháo duān chū jiān fǔ	朝端出監撫
cháo duān fá qīn gù	朝端乏親故
cháo duān kěn xiàng sòng	朝端肯相送
cháo duān lǐ mìng yōu	朝端禮命優
cháo duān lǐ yuè yīng	朝端禮樂英
cháo duān móu liù hù	朝端謀六戶
cháo duān yì zhì gōng	朝端挹至公
cháo duō zhòng niǎo dòu	巢多衆鳥鬥
cháo ēn dú jiè wú	朝恩獨借吳
cháo ēn huì rì yóu	朝恩晦日遊
cháo fā chéng chí liàn	朝發城池戀
cháo fā chóng shān xià	朝發崇山下
cháo fā gāo shān ē	朝發高山阿
cháo fā gǔ tián tián	朝發鼓闐闐
cháo fā jìng qián shuāi	朝發鏡前衰
cháo fā néng jǐ lǐ	朝發能幾里
cháo fā qí shuǐ nán	朝發淇水南
cháo fā rǔ hǎi dōng	朝發汝海東
cháo fā wèi shuǐ qiáo	朝發渭水橋
cháo fā yí dū zhǔ	朝發宜都渚
cháo fán fú miàn yíng	朝煩拂面蠅
cháo fàn lín wèi shǔ	朝梵林未曙
cháo fàn shān xià sì	朝飯山下寺
cháo fàn yǎng yáng gǔ	朝飯仰暘谷
cháo fán yè zé wú	朝繁夜則無
cháo fēi bí yǐn tóu	朝飛鼻飲頭
cháo fēi gāo bì yún	朝飛高碧雲
cháo fēi lì chéng shàng	朝飛麗城上
cháo fēi xián xiàng niǎo	巢飛銜象鳥
cháo fēi xiāo xiāng shuǐ	朝飛瀟湘水
cháo fēi yuán kǎi cái	朝非元凱才
cháo fēn bù zhī shù	朝分不知數
cháo fēng bàn zhuì ní	巢蜂半墜泥
cháo fēng chù wǎng sī	巢蜂觸網絲
cháo féng fù jiā zàng	朝逢富家葬
cháo fèng guì shān cí	朝奉桂山詞
cháo fēng lián dì hǒu	潮風連地吼
cháo féng rù qín shǐ	朝逢入秦使
cháo fèng xīn chéng gé	巢鳳新成閣
cháo fēng yè bù xiū	朝風夜不休
cháo fèng yù jiē chén	朝奉玉階塵
cháo fú dài jīn yù	朝服帶金玉
cháo fù guǎn xián xīn	朝賦管弦新
cháo fú jiàn ér tóng	朝服見兒童
cháo fú jiàn láng jū	朝服踐狼居
cháo fù jiāng xǔ yóu	巢父將許由
cháo fú zhào huá xiān	朝服照華鮮
cháo fú zuò nán gōng	朝服坐南宮
cháo gāng zì yǒu lún	朝綱自有倫
cháo gēn bái yǐ luàn	巢根白蟻亂
cháo gēng cǎo máng máng	朝耕草茫茫
cháo gēng jí lù xià	朝耕及露下
cháo gēng shàng píng tián	朝耕上平田
cháo gū jīn líng jiǔ	朝沽金陵酒
cháo guāng chéng xī zhào	朝光成夕照
cháo guāng dù xì lái	朝光度隙來
cháo guāng fú shāo yě	朝光浮燒野
cháo guāng jiè qǐ xiá	朝光借綺霞
cháo guāng mù shàng róng	朝光幕上融
cháo guāng qiè tài xū	朝光切太虛
cháo guāng rù chǔ tái	朝光入楚臺
cháo guāng rù wèng yǒu	朝光入甕牖
cháo guāng sàn huā lóu	朝光散花樓
cháo guāng shàng cuì wēi	朝光上翠微
cháo guāng shēng yì lǐ	朝光生邑裏
cháo guāng shì jǐng xuān	朝光市井喧
cháo guāng xīn yè yīn	朝光新葉陰
cháo guāng yào tíng xuě	朝光曜庭雪
cháo guāng yìng miǎn liú	朝光映冕旒
cháo guī jūn wǎng hǎo	巢龜君往好
cháo guī rén bù guī	潮歸人不歸
cháo guò bó làng shā	朝過博浪沙
cháo guò yí chūn kǒu	朝過宜春口
cháo hǎi cù wú tiān	朝海蹴吳天
cháo hái huì xiāng jiù	朝還會相就
cháo hǎi qù rú dài	朝海去如帶
cháo hè jìng hé cóng	巢鶴竟何從
cháo hén shàng jǐng lán	潮痕上井欄
cháo hén zài zhú fēi	潮痕在竹扉
cháo hóng mù chéng bì	朝紅暮成碧
cháo hóng zhēng jǐng xīn	朝紅爭景新
chāo hū sān chuān méi	超忽三川湄
chāo hū shén lǜ kōng	超忽神慮空
cháo huān é zhěn qū	朝歡俄枕麴
cháo huān gèng shèng zuó	朝歡更勝昨
cháo huān mù bù tóng	朝歡暮不同
cháo huǎng shān yún juǎn	朝幌山雲卷
cháo huì bái yún qú	朝會白雲衢
cháo huí bàn rì xián	朝回半日閒
cháo huí chū pǔ shǐ	潮回出浦駛
cháo huí fén jiàn cǎo	朝回焚諫草
cháo huí gèng shòu bīng	朝回更授兵
cháo huí jiě yī shang	朝回解衣裳
cháo huī pò tiān qiān	嘲詼破天慳
cháo huí rě yù xiāng	朝回惹御香
cháo huí tàn jù yíng	朝回嘆聚螢
cháo huí wǔ mǎ jì	朝回五馬跡
cháo huí yóu chéng nán	朝回游城南
cháo huí yòu nǚ yíng	朝回幼女迎
cháo huí yuǎn fù píng	潮回遠復平
cháo huì zhāng xīn lè	朝會張新樂
cháo huí zì zǒu chē	朝回自走車
cháo hūn duō bìng sè	朝昏多病色
cháo hūn hù chū mò	朝昏互出沒
cháo hūn shú yún yǐ	朝昏孰雲已
cháo hūn wàng yì mí	朝昏望亦迷
cháo hūn yàn yù guī	巢昏燕欲歸
cháo hūn yǒu fēng yuè	朝昏有風月
cháo jí dòng tíng hú	朝及洞庭湖
cháo jī gèng zhāi shū	朝飢更摘蔬
cháo jī kǒu wàng wèi	朝飢口忘味
cháo jí nòng tái quán	朝楫弄苔泉
cháo jí xián lín chéng	朝集鹹林城
cháo jì xiào lú hú	嘲妓笑盧胡
cháo jī yǒu shū shí	朝飢有蔬食
cháo jí zhú mén kāi	朝汲竹門開
cháo jiā xiǎo huì yán	朝加小會筵
cháo jiàn bā jiāng kè	朝見巴江客
cháo jiàn bào liáng cè	朝薦抱良策
cháo jiàn chǒng zhě rǔ	朝見寵者辱
cháo jiàn jí fāng fēi	朝見及芳菲
cháo jiàn péi shū zé	朝見裴叔則
cháo jiàn qīng shān xuě	朝見青山雪
cháo jiàn rì shàng tiān	朝見日上天
cháo jiàn wú shān héng	朝見吳山橫
cháo jié gù xiāng niàn	朝結故鄉念
cháo jìn dōng mén yíng	朝進東門營
cháo jìn lú fēng chū	潮盡爐峰出
cháo jìn sòng yù zhě	朝覲訟獄者
cháo jīng hán gōng pō	朝經韓公坡
cháo jìng hū qiū fēng	朝鏡忽秋風
cháo jīng hū tóng líng	朝京忽同舲
cháo jǐng lì shén qí	朝景麗神旗
cháo jǐng rù píng chuān	朝景入平川
cháo jīng shù diǎn zhuāng	朝驚樹點妝
cháo jìng shù jīng sī	朝鏡數莖絲
cháo jīng yǔn dì qiú	朝經允帝求
cháo jǐng zhěn diàn qīng	朝景枕簟清
cháo jiǔ fā hóng yán	朝酒發紅顏
cháo jiù gāo zhāi shàng	朝就高齋上
cháo jū dì yī gōng	朝居第一功
cháo jūn ā gé chuí	巢君阿閣垂
cháo jūn bì wú shù	巢君碧梧樹
cháo kāi chuān shàng rì	朝開川上日
cháo kàn dà dào shàng	朝看大道上
cháo kàn fǎ yún sàn	朝看法雲散
cháo kàn fú zòu guī	朝看伏奏歸
cháo kàn guì chán wǎn	朝看桂蟾晚
cháo kàn jiāng shàng yān	朝看江上煙
cháo kè duō fēn zhì	朝客多分秩
