shū luǎn guǎn ái	輸卵管癌
shēn dǐng tōng qì guǎn	伸頂通氣管
shèn dòng jìng mài liú	腎動靜脈瘤
shèn dòng jìng mài lòu	腎動靜脈瘺
shèn dòng mài jī xíng	腎動脈畸形
shèn duàn céng zào yǐng	腎斷層造影
shèn è xìng zhǒng liú	腎惡性腫瘤
shēn hǎi jù dà zhèng	深海巨大症
shēn huàn bái xuè bìng	身患白血病
shēn huàn yì yù zhèng	身患抑鬱症
shèn jīng bù zú zhèng	腎精不足證
shén jīng diǎn xíng zhě	神經典型者
shén jīng gēn xìng tòng	神經根性痛
shén jīng guǎn jī xíng	神經管畸形
shén jīng guò mǐn de	神經過敏的
shén jīng hé xuè guǎn	神經和血管
shén jīng huàn shù shì	神經喚術士
shén jīng huó jiǎn shù	神經活檢術
shén jīng jié gān zhī	神經節苷脂
shén jīng jié gān zhī	神經節甘脂
shén jīng jié liú bìng	神經節瘤病
shèn jīng kuī hào zhèng	腎精虧耗證
shèn jīng kuī sǔn zhèng	腎精虧損證
shèn jīng kuī xū zhèng	腎精虧虛證
shén jīng làng yóu zhě	神經浪遊者
shèn jìng mài shèn sù	腎靜脈腎素
shēn jìng mài shuān sè	深靜脈栓塞
shèn jìng mài shuān sè	腎靜脈栓塞
shēn jìng mài xuè shuān	深靜脈血栓
shèn jìng mài xuè shuān	腎靜脈血栓
shèn jìng mài zào yǐng	腎靜脈造影
shēn jìng mài zhì guǎn	深靜脈置管
shén jīng qiān shēn shù	神經牽伸術
shén jīng shù yí zhí	神經束移植
shén jīng shuāi ruò zhě	神經衰弱者
shén jīng shuāi ruò zhèng	神經衰弱症
shén jīng sī tuō shù	神經撕脫術
shén jīng tuǒ lè píng	神經妥樂平
shén jīng wài kē zǔ	神經外科組
shén jīng xìng dú jì	神經性毒劑
shén jīng xíng má fēng	神經型麻風
shén jīng xìng méi dú	神經性梅毒
shén jīng xìng tān shí	神經性貪食
shén jīng xìng yàn shí	神經性厭食
shén jīng xìng zǐ diàn	神經性紫癜
shén jīng xuè guǎn shù	神經血管束
shén jīng yí wèi shù	神經移位術
shén jīng yí zhí shù	神經移植術
shén jīng yí zhí wù	神經移植物
shén jīng yuán biàn xìng	神經元變性
shén jīng yuán xìng cháng	神經源性腸
shén jīng yuán yí zhí	神經元移植
shén jīng zhòng zhèng xué	神經重症學
shén jīng zhuàn dǎo wù	神經傳導物
shén jīng zhuàn dì sù	神經傳遞素
shén jīng zhuàn dì wù	神經傳遞物
shén jīng zhuī zōng fǎ	神經追蹤法
shèn kuī jìng jiǎn chá	腎窺鏡檢查
shèn liáng xìng zhǒng liú	腎良性腫瘤
shèn lín bā ròu liú	腎淋巴肉瘤
shèn lòu xiū bǔ shù	腎瘻修補術
shén míng shī zhí zhèng	神明失職證
shèn mǔ xì bāo liú	腎母細胞瘤
shèn páng jiǎ náng zhǒng	腎旁假囊腫
shèn pí zhì nóng zhǒng	腎皮質膿腫
shèn pí zhì xiàn liú	腎皮質腺瘤
shèn píng huá jī liú	腎平滑肌瘤
shèn qì bù chōng zhèng	腎氣不充證
shèn qì bú gù zhèng	腎氣不固證
shèn qì bú shè zhèng	腎氣不攝證
shèn qì bù zú zhèng	腎氣不足證
shèn qì kuī xū zhèng	腎氣虧虛證
shèn qì shuāi wēi zhèng	腎氣衰微證
shèn shàng xiàn nóng zhǒng	腎上腺膿腫
shèn shàng xiàn yàng liú	腎上腺樣瘤
shèn shén jīng qiào liú	腎神經鞘瘤
shén shèng zhàn jiǎ shù	神聖戰甲術
shén shuǐ jiāng kū bìng	神水將枯病
shēn tǐ yǒu jí bìng	身體有疾病
shēn tǐ yǒu yán zhèng	身體有炎症
shèn xìng gōu lóu bìng	腎性佝僂病
shèn xìng niào bēng zhèng	腎性尿崩症
shèn xìng táng niào bìng	腎性糖尿病
shèn xìng zhū rú zhèng	腎性侏儒症
shèn xū bú gù zhèng	腎虛不固證
shèn xū gān kàng zhèng	腎虛肝亢證
shèn xū gǔ ruò zhèng	腎虛骨弱證
shèn xū huá tuō zhèng	腎虛滑脫證
shèn xū huǒ wàng zhèng	腎虛火旺證
shèn xū jīng kuī zhèng	腎虛精虧證
shèn xū nèi rè zhèng	腎虛內熱證
shèn xū shī yuē zhèng	腎虛失約證
shèn xū shuǐ fàn zhèng	腎虛水泛證
shèn xū suǐ jiǎn zhèng	腎虛髓減證
shèn xū suǐ kuī zhèng	腎虛髓虧證
shèn xū suǐ rè zhèng	腎虛髓熱證
shèn xuè guǎn jī xíng	腎血管畸形
shèn yáng bù zú zhèng	腎陽不足證
shèn yáng kuī xū zhèng	腎陽虧虛證
shèn yáng shuāi bèi zhèng	腎陽衰憊證
shèn yáng shuāi wēi zhèng	腎陽衰微證
shèn yáng xū shuāi zhèng	腎陽虛衰證
shèn yáng xū sǔn zhèng	腎陽虛損證
shèn yīn bù zú zhèng	腎陰不足證
shèn yīn hào sǔn zhèng	腎陰耗損證
shèn yīn kuī xū zhèng	腎陰虧虛證
shèn yīn xū sǔn zhèng	腎陰虛損證
shèn yú bái bān bìng	腎盂白斑病
shèn yú chéng xíng shù	腎盂成形術
shèn yú jìng mài yán	腎盂靜脈炎
shèn yú páng guāng yán	腎盂膀胱炎
shèn yú páng náng zhǒng	腎盂旁囊腫
shèn yú qiē kāi shù	腎盂切開術
shèn yú tàn chá shù	腎盂探查術
shèn yú wěn hé shù	腎盂吻合術
shèn yú xuè guǎn liú	腎盂血管瘤
shèn yú zào kǒu shù	腎盂造口術
shèn yú zào lòu shù	腎盂造瘻術
shèn yuán bù zú zhèng	腎元不足證
shèn yuán kuī xū zhèng	腎元虧虛證
shèn yuán xìng shuǐ zhǒng	腎源性水腫
shèn zhǎn chéng xíng shù	腎盞成形術
shèn zhǎn jìng mài lòu	腎盞靜脈瘻
shén zhì bù ān zhèng	神志不安證
shèn zhī fáng ròu liú	腎脂肪肉瘤
shèn zhōu wéi náng zhǒng	腎周圍囊腫
shèn zhōu wéi nóng zhǒng	腎周圍膿腫
shēng dài bō lí shù	聲帶剝離術
shēng dài nèi yí shù	聲帶內移術
shēng dài sōng chí shù	聲帶鬆弛術
shēng dài wài yí shù	聲帶外移術
shēng dài zhù shè shù	聲帶注射術
shēng dài zhuàn wèi shù	聲帶轉位術
shēng hé cí gòng zhèn	聲核磁共振
shēng huó fāng shì bìng	生活方式病
shēng huó xí guàn bìng	生活習慣病
shēng mén xià shuǐ zhǒng	聲門下水腫
shēng shùn cí gòng zhèn	聲順磁共振
shēng wù quán xī shù	生物全息術
shēng wù yáo cè shù	生物遙測術
shèng yú zǔ zhī liú	剩餘組織瘤
shēng zhí dào jī xíng	生殖道畸形
shēng zhí dào yán zhèng	生殖道炎症
shēng zhí gǔ shén jīng	生殖股神經
shēng zhí qì jī xíng	生殖器畸形
shēng zhí qì shuǐ zhǒng	生殖器水腫
shēng zhí xì bāo ái	生殖細胞癌
shēng zhí xì bāo liú	生殖細胞瘤
shí dào kuò zhāng shù	食道擴張術
shí dào xuè guǎn liú	食道血管瘤
shī dú jìn yín zhèng	濕毒浸淫證
shī dú yùn fū zhèng	濕毒蘊膚證
shī dú yùn jié zhèng	濕毒蘊結證
shī dú zhōng zǔ zhèng	濕毒中阻證
shī è rè fú zhèng	溼遏熱伏證
shī è wèi yáng zhèng	溼遏衛陽證
shí èr zhǐ cháng yán	十二指腸炎
shì gè xì bāo liú	嗜鉻細胞瘤
shí guǎn chéng xíng shù	食管成形術
shí guǎn huó jiǎn shù	食管活檢術
shí guǎn jìng mài cóng	食管靜脈叢
shí guǎn kuò zhāng shù	食管擴張術
shí guǎn lā wǎng shù	食管拉網術
shí guǎn qì guǎn lòu	食管氣管瘻
shí guǎn qiē chú shù	食管切除術
shí guǎn sōng jiě shù	食管松解術
shí guǎn xiū bǔ shù	食管修補術
shí guǎn yuán wèi ái	食管原位癌
shí guǎn zài zào shù	食管再造術
shí guǎn zào kǒu shù	食管造口術
shī huǒ chì shèng zhèng	溼火熾盛證
shī jiǎ xìng shèn bìng	失鉀性腎病
shì jué shī rèn zhèng	視覺失認症
shī kùn pí wèi zhèng	溼困脾胃證
shī kùn zhōng jiāo zhèng	溼困中焦證
shí lì de xiàng zhēng	實力的象徵
shí mián chén zhì zhèng	石棉沉滯症
shí mián chén zhì zhèng	石綿沉滯症
shí mián chén zhù zhèng	石棉沉著症
shí mián chén zhuó bìng	石棉沉着病
shí mián shěn zhì zhèng	石棉沈滯症
shí mián shěn zhì zhèng	石綿沈滯症
shí mián zhuàng kāng zhěn	石棉狀糠疹
shī nài dé shì ái	施奈德氏癌
shī nüè shòu nüè zhèng	施虐受虐症
shì quē xiū fù shù	室缺修復術
shī rè bìng zhòng zhèng	濕熱並重證
shī rè chōng xīn zhèng	濕熱衝心證
shī rè dòng xuè zhèng	濕熱動血證
shī rè dú jié zhèng	濕熱毒結證
shī rè dú jù zhèng	濕熱毒聚證
shī rè dú shèng zhèng	濕熱毒盛證
shī rè dú yùn zhèng	濕熱毒蘊證
shī rè huà huǒ zhèng	濕熱化火證
shī rè huà zào zhèng	濕熱化燥證
shī rè méng xīn zhèng	濕熱蒙心證
shī rè nèi qīn zhèng	濕熱內侵證
shī rè nèi yùn zhèng	濕熱內蘊證
shī rè niàng tán zhèng	濕熱釀痰證
shī rè shāng wèi zhèng	濕熱傷胃證
shī rè shàng zhēng zhèng	濕熱上蒸證
shī rè xià zhù zhèng	濕熱下注證
shī rè xūn zhēng zhèng	濕熱薰蒸證
shī rè yì dú zhèng	濕熱疫毒證
shī rè yōng jié zhèng	濕熱壅結證
shī rè yōng shèng zhèng	濕熱壅盛證
shī rè yōng zhì zhèng	濕熱壅滯證
shī rè yōng zǔ zhèng	濕熱壅阻證
shī rè yū zǔ zhèng	濕熱瘀阻證
shī rè yùn dú zhèng	濕熱蘊毒證
shī rè yùn fú zhèng	濕熱蘊伏證
shī rè yùn jié zhèng	濕熱蘊結證
shī rè yùn zhēng zhèng	濕熱蘊蒸證
shī rè yùn zǔ zhèng	濕熱蘊阻證
shī rè zhōng zǔ zhèng	濕熱中阻證
shī rè zhòu cháng zhèng	濕熱葤腸證
shī rè zǔ luò zhèng	濕熱阻絡證
shì rǔ tóu shuǐ zhǒng	視乳頭水腫
shí shāng pí wèi zhèng	食傷脾胃證
shì shén jīng bìng dú	嗜神經病毒
shì shén jīng guǎn kǒu	視神經管口
shì shén jīng jié hé	視神經結核
shì shén jīng nèi qiào	視神經內鞘
shì shén jīng wài qiào	視神經外鞘
shì shén jīng wěi suō	視神經萎縮
shī shén jīng zhī pèi	失神經支配
shì shuì xìng nǎo yán	嗜睡性腦炎
shī tǎ jiā tè bìng	施塔加特病
shì wǎng mó shuǐ zhǒng	視網膜水腫
shì wù biàn xíng zhèng	視物變形症
shí wù bú nài zhèng	食物不耐症
shí wǔ cóng jūn zhēng	十五從軍徵
shí wù kǒng xīn zhèng	食物恐新症
shì wù xiǎn xiǎo zhèng	視物顯小症
shī xié jìn zì zhèng	濕邪浸漬證
shī xié kùn pí zhèng	濕邪困脾證
shī xié piān shèng zhèng	濕邪偏盛證
shī xié rè dú zhèng	濕邪熱毒證
shī xié wài gǎn zhèng	濕邪外感證
shī xié yùn jī zhèng	濕邪蘊積證
shī xié zǔ luò zhèng	濕邪阻絡證
shí xíng gǎn mào bìng	時行感冒病
shī xìng jiǎo qì bìng	濕性腳氣病
shī yán xìng shèn yán	失鹽性腎炎
shī yán zōng hé zhēng	失鹽綜合徵
shī yù huà huǒ zhèng	溼鬱化火證
shī yù huà rè zhèng	溼鬱化熱證
shī yù sān jiāo zhèng	溼鬱三焦證
shī yù wèi qì zhèng	溼鬱衛氣證
shì zhān hūn miǎo bìng	視瞻昏渺病
shī zhěn yàng pí yán	濕疹樣皮炎
shì zhí rú qǔ bìng	視直如曲病
shí zhì tán zǔ zhèng	食滯痰阻證
shí zhì wèi cháng zhèng	食滯胃腸證
shī zhòng yú rè zhèng	濕重於熱證
shǐ zhuàng jié gǔ shù	矢狀截骨術
shī zhuó chōng xīn zhèng	濕濁衝心證
shī zhuó méng shàng zhèng	濕濁蒙上證
shī zhuó nèi bì zhèng	濕濁內閉證
shī zhuó nèi yùn zhèng	濕濁內蘊證
shī zhuó shàng fàn zhèng	濕濁上泛證
shī zhuó xià zhù zhèng	濕濁下注證
shī zhuó yōng bì zhèng	濕濁壅閉證
shī zhuó yōng zhì zhèng	濕濁壅滯證
shī zhuó zhōng zǔ zhèng	濕濁中阻證
shī zhuó zǔ zhì zhèng	濕濁阻滯證
shí zhuó zǔ zhì zhèng	食濁阻滯證
shī zǔ cháng dào zhèng	濕阻腸道證
shī zǔ jīn luò zhèng	濕阻筋絡證
shī zǔ pí wèi zhèng	濕阻脾胃證
shī zǔ qì fēn zhèng	濕阻氣分證
shǒu bì zhèn dòng bìng	手臂振動病
shǒu bù jī zhí shù	手部肌植術
shǒu è xìng shuǐ zhǒng	手惡性水腫
shǒu fēng wō zhī yán	手蜂窩織炎
shǒu jī qiē kāi shù	手肌切開術
shǒu nián yè náng yán	手黏液囊炎
shǒu pí zhēn jūn bìng	手皮真菌病
shǒu qǔ tāi pán shù	手取胎盤術
shǒu shù shì yìng zhèng	手術適應證
shǒu shù shì yìng zhèng	手術適應症
shǒu wàn suì dào zhèng	手腕隧道症
shǒu wǔ zú dǎo zhèng	手舞足蹈症
shǒu zhǎng tuō pí zhèng	手掌脫皮症
shǒu zhǐ jié zhǐ shù	手指截指術
shǒu zhuǎn tāi tóu shù	手轉胎頭術
shǒu zú dīng chuāng bìng	手足疔瘡病
shǒu zú xú dòng zhèng	手足徐動症
shǔ dòng gān fēng zhèng	暑動肝風證
shū ěr cí shì bìng	舒耳茨氏病
shǔ fàn fèi wèi zhèng	暑犯肺衛證
shū huán chuí jī xíng	樞寰椎畸形
shǔ jiān hán shī zhèng	暑兼寒濕證
shū jīng guǎn jī xíng	輸精管畸形
shū luǎn guǎn jī yè	輸卵管積液
shū luǎn guǎn yán zhèng	輸卵管炎症
shū niào guǎn jī xíng	輸尿管畸形
shù qián shuān sè shù	術前栓塞術
shǔ rè chì shèng zhèng	暑熱熾盛證
shǔ rè dòng fēng zhèng	暑熱動風證
shǔ rè jìn yín zhèng	暑熱浸淫證
shǔ rè méng xīn zhèng	暑熱蒙心證
shǔ rè nèi yù zhèng	暑熱內鬱證
shǔ rè rǎo xīn zhèng	暑熱擾心證
shǔ rè shāng qì zhèng	暑熱傷氣證
shǔ rù xīn shèn zhèng	暑入心腎證
shǔ rù xīn yíng zhèng	暑入心營證
shǔ rù xuè fēn zhèng	暑入血分證
shǔ rù yáng míng zhèng	暑入陽明證
shǔ rù yíng xuè zhèng	暑入營血證
shǔ shāng fèi luò zhèng	暑傷肺絡證
shǔ shāng fèi wèi zhèng	暑傷肺胃證
shù shàng guà guǒ zhēng	樹上掛果徵
shǔ shāng jīn qì zhèng	暑傷津氣證
shǔ shāng xīn shèn zhèng	暑傷心腎證
shǔ shāng xuè luò zhèng	暑傷血絡證
shǔ shī jiāo zǔ zhèng	暑濕交阻證
shǔ shī nèi yùn zhèng	暑濕內蘊證
shǔ shī rè yùn zhèng	暑濕熱蘊證
shǔ shī shāng pí zhèng	暑濕傷脾證
shǔ shī xí biǎo zhèng	暑濕襲表證
shǔ shī xié zhì zhèng	暑濕挾滯證
shǔ shī yù zhēng zhèng	暑濕鬱蒸證
shǔ shī yùn jié zhèng	暑濕蘊結證
shǔ shī zài biǎo zhèng	暑濕在表證
shǔ wēn kùn pí zhèng	暑溫困脾證
shū xiě jìng luán zhèng	書寫痙攣症
shù zhuàng jiǎo mó yán	束狀角膜炎
shuāng bàn zhì huàn shù	雙瓣置換術
shuāng chóng yì zhuāng zhèng	雙重異裝症
shuāng chū pái qì guǎn	雙出排氣管
shuāng dàn bái xuè zhèng	雙蛋白血癥
shuāng dǎn náng jī xíng	雙膽囊畸形
shuāng é jiǎn yā shù	雙額減壓術
shuāng hé jié gǔ shù	雙頜截骨術
shuāng jí diàn zhuó shù	雙極電灼術
shuāng jí shén jīng yuán	雙極神經元
shuāng kǒu xī chóng zhèng	雙口吸蟲症
shuāng xiā biāo fēng shī	雙蝦標風濕
shuāng xià zhī shuǐ zhǒng	雙下肢水腫
shuāng xīn bí dòu yán	雙辛鼻竇炎
shuāng yīn jīng jī xíng	雙陰莖畸形
shuāng zǐ gōng jī xíng	雙子宮畸形
shuǐ dào wén kū bìng	水稻紋枯病
shuǐ dòu xìng fèi yán	水痘性肺炎
shuǐ dú nèi bì zhèng	水毒內閉證
shuǐ dú nèi yù zhèng	水毒內鬱證
shuǐ dú shàng rǎo zhèng	水毒上擾證
shuǐ hán shè fèi zhèng	水寒射肺證
shuǐ lún shí rè zhèng	水輪實熱證
shuǐ lún tán shī zhèng	水輪痰濕證
shuǐ lún yīn kuī zhèng	水輪陰虧證
shuǐ méi chuán rǎn bìng	水媒傳染病
shuì mián jiǎo dòng zhèng	睡眠腳動症
shuì mián tān huàn zhèng	睡眠癱瘓症
shuì mián tuǐ dòng zhèng	睡眠腿動症
shuì mián xìng jiāo zhèng	睡眠性交症
shuì mián zhī dòng zhèng	睡眠肢動症
shuì mián zhì xī zhèng	睡眠窒息症
shuǐ pào xìng yān yán	水疱性咽炎
shuǐ qì líng xīn zhèng	水氣凌心證
shuǐ qì shàng líng zhèng	水氣上凌證
shuǐ shàng bǎi hé zhēng	水上百合徵
shuǐ shī fàn làn zhèng	水濕氾濫證
shuǐ shī jìn zì zhèng	水濕浸漬證
shuǐ shī nèi tíng zhèng	水濕內停證
shuǐ shī nèi yùn zhèng	水濕內蘊證
shuǐ xīng yáo cè shù	水星遙測術
shuǐ yǐn liú cháng zhèng	水飲留腸證
shuǐ yǐn nèi rǎo zhèng	水飲內擾證
shuǐ yǐn nèi tíng zhèng	水飲內停證
shuǐ zhǒng xìng hóu yán	水腫性喉炎
sī dì ěr shì bìng	斯蒂爾氏病
sǐ gǔ qiē chú shù	死骨切除術
sī lǜ shāng pí zhèng	思慮傷脾證
sì zhī tóu miàn zhǒng	四肢頭面腫
sī zhuàng jiǎo mó yán	絲狀角膜炎
sōng cái xiàn chóng bìng	松材線蟲病
sù lì zhuàng nóng zhǒng	粟粒狀膿腫
sù shí shāng pí zhèng	宿食傷脾證
suǐ guǎn yǐn liú shù	髓管引流術
suǐ hǎi bù zú zhèng	髓海不足證
suǐ hé róng jiě shù	髓核溶解術
suǐ mǔ xì bāo liú	髓母細胞瘤
suǐ qiāng xiāo dú shù	髓腔消毒術
suì shí xǐ chū shù	碎石洗出術
suǐ xìng bái xuè bìng	髓性白血病
suǐ yàng bái xuè bìng	髓樣白血病
suǐ zhì zēng shēng zhèng	髓質增生症
sǔn shāng chuǎn hāi bìng	損傷喘咳病
sǔn shāng hūn jué bìng	損傷昏厥病
sǔn shāng téng tòng bìng	損傷疼痛病
suǒ ēn zōng hé zhēng	索恩綜合徵
suǒ gǔ xià jìng mài	鎖骨下靜脈
tǎ ěr mǎ shì bìng	塔爾瑪氏病
tā rén zhī shǒu zhèng	他人之手症
tài bǎn zhí rù shù	鈦板植入術
tài bǐ zōng hé zhēng	泰比綜合徵
tài dīng gù dìng shù	鈦釘固定術
tāi dòng bù ān bìng	胎動不安病
tāi dú yùn rè zhèng	胎毒蘊熱證
tāi ér chuān lú shù	胎兒穿顱術
tāi ér duàn jǐng shù	胎兒斷頸術
tāi fèn xìng fèi yán	胎糞性肺炎
tāi huàn nèi zhàng bìng	胎患內障病
tāi huǒ yùn dú zhèng	胎火蘊毒證
tài néng shén jīng yuán	肽能神經元
tāi pán qián jiā shù	胎盤鉗夾術
tài píng jūn xī zhēng	太平軍西征
tài sà kè sī bìng	泰薩克斯病
tài sēn xiàn náng zhǒng	泰森腺囊腫
tāi sǐ bú xià bìng	胎死不下病
tāi tóu dào zhuǎn shù	胎頭倒轉術
tāi tóu xī yǐn shù	胎頭吸引術
tāi wēi bù zhǎng bìng	胎萎不長病
tái xuǎn yàng pí yán	苔癬樣皮炎
tài yáng biǎo shí zhèng	太陽表實證
tài yáng biǎo xū zhèng	太陽表虛證
tài yáng huǒ nì zhèng	太陽火逆證
tài yáng jié xiōng zhèng	太陽結胸證
tài yáng shuǐ pǐ zhèng	太陽水痞證
tài yáng xù shuǐ zhèng	太陽蓄水證
tài yáng xù xuè zhèng	太陽蓄血證
tài yáng zāng jié zhèng	太陽髒結證
tài yīn fù tòng zhèng	太陰腹痛證
tài yīn jiān biǎo zhèng	太陰兼表證
tài yīn xū hán zhèng	太陰虛寒證
tán hé liú jié zhèng	痰核留結證
tán huǒ bì qiào zhèng	痰火閉竅證
tán huǒ dòng fēng zhèng	痰火動風證
tán huǒ fàn fèi zhèng	痰火犯肺證
tán huǒ jī zhì zhèng	痰火積滯證
tán huǒ nèi bì zhèng	痰火內閉證
tán huǒ nèi shèng zhèng	痰火內盛證
tán huǒ nèi yùn zhèng	痰火內蘊證
tán huǒ rǎo shén zhèng	痰火擾神證
tán huǒ rǎo xīn zhèng	痰火擾心證
tán huǒ shàng rǎo zhèng	痰火上擾證
tán huǒ shēng rǎo zhèng	痰火升擾證
tán huǒ yōng jié zhèng	痰火壅結證
tán huǒ yù jié zhèng	痰火鬱結證
tán jié dú zhì zhèng	痰結毒滯證
tán jié xuè yū zhèng	痰結血瘀證
tán méng qīng qiào zhèng	痰蒙清竅證
tán méng shén qiào zhèng	痰蒙神竅證
tàn mò chén zhuó bìng	碳末沉着病
tán qì hù jié zhèng	痰氣互結證
tán qì jiāo zǔ zhèng	痰氣交阻證
tán qì níng jié zhèng	痰氣凝結證
tán qì yōng shí zhèng	痰氣壅實證
tán qì yù jié zhèng	痰氣鬱結證
tán qì zǔ gé zhèng	痰氣阻膈證
tán rè bì fèi zhèng	痰熱閉肺證
tán rè bì qiào zhèng	痰熱蔽竅證
tán rè bì qiào zhèng	痰熱閉竅證
tán rè bó jié zhèng	痰熱搏結證
tán rè dòng fēng zhèng	痰熱動風證
tán rè fǔ shí zhèng	痰熱腑實證
tán rè jié xiōng zhèng	痰熱結胸證
tán rè nèi bì zhèng	痰熱內閉證
tán rè nèi rǎo zhèng	痰熱內擾證
tán rè shàng méng zhèng	痰熱上蒙證
tán rè shàng yōng zhèng	痰熱上壅證
tán rè yōng fèi zhèng	痰熱壅肺證
tán rè yū fèi zhèng	痰熱瘀肺證
tán rè yù fèi zhèng	痰熱鬱肺證
tán rè yùn jié zhèng	痰熱蘊結證
tán rè zǔ fèi zhèng	痰熱阻肺證
tán rè zǔ jié zhèng	痰熱阻結證
tán shī bì zǔ zhèng	痰濕痹阻證
tán shí hù jié zhèng	痰食互結證
tán shī jié jù zhèng	痰濕結聚證
tán shī jié zhì zhèng	痰濕結滯證
tán shī méng bì zhèng	痰濕蒙蔽證
tán shī méng qiào zhèng	痰濕蒙竅證
tán shī nèi zǔ zhèng	痰濕內阻證
tán shī níng jié zhèng	痰濕凝結證
tán shī qīn fèi zhèng	痰濕侵肺證
tán shī shàng zǔ zhèng	痰濕上阻證
tán shī yōng fèi zhèng	痰濕壅肺證
tán shí yōng jié zhèng	痰食壅結證
tán shī yū zhì zhèng	痰濕瘀滯證
tán shī yùn fèi zhèng	痰濕蘊肺證
tán shī yùn jié zhèng	痰濕蘊結證
tán shī yùn pí zhèng	痰濕蘊脾證
tán shī zhōng zǔ zhèng	痰濕中阻證
tán shī zǔ bāo zhèng	痰濕阻胞證
tán shī zǔ jié zhèng	痰濕阻結證
tán shī zǔ luò zhèng	痰濕阻絡證
tán shī zǔ zhì zhèng	痰濕阻滯證
tán xián yōng shèng zhèng	痰涎壅盛證
tán xìng xiān wéi bìng	彈性纖維病
tán xuè yū zhì zhèng	痰血瘀滯證
tán yǐn ké sòu bìng	痰飲咳嗽病
tán yǐn liú fù zhèng	痰飲留腹證
tán yǐn liú gé zhèng	痰飲留膈證
tán yǐn nèi shèng zhèng	痰飲內盛證
tán yǐn nèi tíng zhèng	痰飲內停證
tán yǐn nèi zǔ zhèng	痰飲內阻證
tán yǐn shàng nì zhèng	痰飲上逆證
tán yǐn tíng wèi zhèng	痰飲停胃證
tán yōng shén qiào zhèng	痰壅神竅證
tán yū bì zǔ zhèng	痰瘀痹阻證
tán yū bó jié zhèng	痰瘀搏結證
tán yū hù jié zhèng	痰瘀互結證
tán yū huà huǒ zhèng	痰瘀化火證
tán yū zhì luò zhèng	痰瘀滯絡證
tán zhuó bì sè zhèng	痰濁閉塞證
tán zhuó bì zǔ zhèng	痰濁閉阻證
tán zhuó huà huǒ zhèng	痰濁化火證
tán zhuó huà rè zhèng	痰濁化熱證
tán zhuó jī jù zhèng	痰濁積聚證
tán zhuó jié jù zhèng	痰濁結聚證
tán zhuó méng qiào zhèng	痰濁蒙竅證
tán zhuó nèi yùn zhèng	痰濁內蘊證
tán zhuó nèi zǔ zhèng	痰濁內阻證
tán zhuó níng jù zhèng	痰濁凝聚證
tán zhuó shàng méng zhèng	痰濁上蒙證
tán zhuó shàng rǎo zhèng	痰濁上擾證
tán zhuó yīn zhì zhèng	痰濁陰滯證
tán zhuó yōng fèi zhèng	痰濁壅肺證
tán zhuó yōng sè zhèng	痰濁壅塞證
tán zhuó yū zǔ zhèng	痰濁瘀阻證
tán zhuó yùn fèi zhèng	痰濁蘊肺證
tán zhuó zhōng zǔ zhèng	痰濁中阻證
tán zhuó zǔ fèi zhèng	痰濁阻肺證
tán zhuó zǔ wèi zhèng	痰濁阻胃證
tán zǔ xiōng gé zhèng	痰阻胸膈證
táng niào bìng zú bìng	糖尿病足病
táng shì zōng hé zhēng	唐氏綜合徵
táng wǔ zōng lǐ yán	唐武宗李炎
táng yuán lěi jī bìng	糖原累積病
táng yuán lěi jī zhèng	糖原累積症
táng yuán zhù jī bìng	糖原貯積病
táng yuán zhù jī zhèng	糖原貯積症
táng zhī zhù jī bìng	糖脂貯積病
tào huán jué yù shù	套環絕育術
tè yīng xìng shī zhěn	特應性濕疹
tè zhǐ guān jié bìng	特指關節病
tè zhǐ jǐ zhuī bìng	特指脊椎病
téng tòng zōng hé zhèng	疼痛綜合症
tǐ wài xún huán shù	體外循環術
tǐ xū dú liàn zhèng	體虛毒戀證
tǐ zhì xìng yǎng zhěn	體質性癢疹
tiān rán qì guǎn wǎng	天然氣管網
tiān xíng chì yǎn bìng	天行赤眼病
tiě zhì chén jī zhèng	鐵質沉積症
tiě zhì chén zhuó bìng	鐵質沉着病
tīng jué shī rèn zhèng	聽覺失認症
tīng tàn zi jiǎn chá	聽探子檢查
tǒng hé shī tiáo zhèng	統合失調症
tóng shén gàn quē bìng	瞳神幹缺病
tóng shén jǐn xiǎo bìng	瞳神緊小病
tòng xìng féi pàng bìng	痛性肥胖病
tòng xìng féi pàng zhèng	痛性肥胖症
tòng xìng zhī fáng bìng	痛性脂肪病
tóng zhì chén jī zhèng	銅質沉積症
tóu bù nèi shāng bìng	頭部內傷病
tóu fa yí zhí shù	頭髮移植術
tóu pí bù yǎng zhěn	頭皮部癢疹
tóu pí qǔ pí shù	頭皮取皮術
tóu pí zài zhí shù	頭皮再植術
tòu shè diàn jìng shù	透射電鏡術
tòu zhào shè yǐng shù	透照攝影術
tóu zhèng zhōng jìng mài	頭正中靜脈
tǔ háo de xiàng zhēng	土豪的象徵
tū qǐ jīng gāo bìng	突起睛高病
tú zhuàng yín xiè bìng	圖狀銀屑病
tuǐ fēng wō zhī yán	腿蜂窩織炎
tuì wǔ jūn rén bìng	退伍軍人病
tuì wǔ jūn rén zhèng	退伍軍人症
tún fēng wō zhī yán	臀蜂窩織炎
tún jī chóng jiàn shù	臀肌重建術
tún jī tì dài shù	臀肌替代術
tún jī yí zhí shù	臀肌移植術
tún shàng xià shén jīng	臀上下神經
tūn shì zhàng ài bìng	吞噬障礙病
