gěng wěi	耿瑋
gěng wěi	耿緯
gěng yǎn	耿弇
gù chéng	顧城
gù chéng	顧誠
gù kuàng	顧況
guān yǔ	關羽
guō chuān	郭川
guō huái	郭淮
guō huái	郭槐
guō jiě	郭解
guō jù	郭巨
guō kāi	郭開
guō kuí	郭隗
guō sì	郭汜
hán cóng	韓琮
hán dāng	韓當
hán fēi	韓非
hán guǎng	韓廣
hán hán	韓寒
hán hóng	韓翃
hán huáng	韓璜
hán jì	韓暨
hán jiàng	韓絳
hán jū	韓駒
hán qí	韓琦
hán shuò	韓爍
hán suì	韓遂
hán wáng	韓王
hán xìn	韓信
hán xiū	韓休
hán xuán	韓玄
hán yǎn	韓弇
hán yù	韓愈
hán zhāo	韓昭
hán zhěn	韓縝
hán zhèng	韓正
hǎo méng	郝萌
hé cháng	何常
hè chāng	賀昌
hé dàn	何澹
hé fān	何帆
hé jiàn	何鍵
hé luán	何鸞
hé níng	和凝
hé píng	何平
hé shēn	和珅
hé shì	何適
hé táng	何瑭
hé xiàn	和峴
hé xīn	何新
hé yàn	何晏
hé yǒng	何勇
hé zhuó	何焯
hóng bǎo	洪堡
hóng fēng	洪峰
hóng gāng	洪鋼
hóng hào	洪皓
hóng huǎng	洪晃
hóng jūn	洪軍
hóng jūn	洪鈞
hóng kuò	洪適
hóng lěi	洪磊
hóng mài	洪邁
hóng qìng	洪慶
hóng sēn	洪森
hóng shēn	洪深
hóng shēng	洪昇
hóng tāo	洪濤
hóng wěi	洪煒
hóng yè	洪業
hóng yuán	洪源
hóng zhì	洪智
hú bīn	胡斌
hú bō	胡波
hú céng	胡曾
hú cháo	胡朝
hú chuán	胡傳
hú dé	胡德
hú dí	胡迪
hú fāng	胡芳
hú fěi	胡斐
hú fēn	胡玢
hú fēng	胡風
hú fó	胡佛
hú fū	胡夫
hú gāng	胡剛
hú gāng	胡鋼
hú gǎo	胡杲
hú gē	胡戈
hú guǎng	胡廣
hú hài	胡亥
hú hǎi	胡海
hú hóng	胡宏
hú jiā	胡佳
hú jiā	胡嘉
hú jiàn	胡劍
hú jié	胡傑
hú jìng	胡靖
hú jùn	胡俊
hú jūn	胡君
hú kè	胡克
hú liǎn	胡璉
hú lín	胡林
hú líng	胡玲
hú méi	胡玫
hú mǐn	胡敏
hú míng	胡明
hú nà	胡娜
hú píng	胡平
hú qiáng	胡強
hú róng	胡蓉
hú rùn	胡潤
hú shēng	胡生
hú shéng	胡繩
hú shì	胡適
hú tiān	胡天
hú wěi	胡偉
hú xiān	胡仙
hú xióng	胡雄
hú yǐng	胡穎
hú yuàn	胡瑗
hú yuè	胡越
hú zǎi	胡仔
hú zhì	胡質
huà fēi	華妃
huà xīn	華歆
huà xióng	華雄
huà xū	華胥
huà zhēng	華箏
huáng cháo	黃巢
huáng fú	黃福
huáng gài	黃蓋
huáng kǎn	黃侃
huáng kūn	黃昆
huáng quán	黃筌
huáng xiē	黃歇
huáng xīng	黃興
huáng zhāng	黃章
huáng zhòu	黃冑
huáng zì	黃自
huáng zōng	黃宗
huò chá	霍查
huò dá	霍達
huò dōu	霍都
huò dùn	霍頓
huò jīn	霍金
huò jùn	霍峻
huò yì	霍弋
huò yǔ	霍禹
jiǎ chōng	賈充
jiǎ dǎo	賈島
jiǎ fāng	賈芳
jiǎ fù	賈復
jiǎ hào	賈昊
jiǎ hòu	賈后
jiǎ kāng	賈康
jiǎ kuí	賈逵
jiǎ lěi	賈磊
jiǎ méi	賈梅
jiǎ mì	賈謐
jiǎ sān	賈三
jiǎ sēn	賈森
jiǎ shēng	賈生
jiǎ wěi	賈偉
jiǎ wéi	賈維
jiǎ yán	賈岩
jiǎ yǎn	賈弇
jiǎ yì	賈誼
jiǎ yì	賈奕
jiǎ yīng	賈應
jiǎ zhēn	賈珍
jiǎ zhì	賈至
jiǎ zōng	賈宗
jiāng chéng	江澄
jiǎng chuān	蔣川
jiǎng fán	蔣凡
jiāng fān	江藩
jiāng fēi	江妃
jiǎng gàn	蔣幹
jiāng gē	姜戈
jiāng gē	江歌
jiāng gé	江革
jiǎng gōng	蔣公
jiǎng huàn	蔣渙
jiǎng jì	蔣濟
jiāng jiǎo	姜皎
jiāng jiě	江姐
jiǎng jié	蔣捷
jiāng kuí	姜夔
jiāng píng	江平
jiǎng qīn	蔣欽
jiāng qīng	江青
jiāng róng	姜戎
jiǎng róng	蔣蓉
jiāng shàng	姜尚
jiāng tāo	姜濤
jiǎng wǎn	蔣琬
jiāng xī	姜晞
jiǎng xūn	蔣勳
jiāng yān	江淹
jiāng yán	姜岩
jiāng yǒng	江永
jīn jiǔ	金九
jīn nóng	金農
jīn yōng	金庸
jīn zhā	金吒
kǒng huī	孔輝
kǒng míng	孔明
kǒng qiū	孔丘
kǒng róng	孔融
kǒng shēng	孔笙
kǒng xuān	孔宣
kǒng yí	孔夷
kǒng yóng	孔顒
kǒng yòu	孔侑
kǒng zǐ	孔子
lǐ ān	李安
lǐ áng	李昂
lǐ áo	李敖
lǐ bái	李白
lǐ chuǎng	李闖
lì duì	厲兌
lì è	厲鶚
lí fěi	黎斐
lí féng	黎逢
lǐ guǎng	李廣
lí huán	黎桓
lǐ jìng	李靖
lǐ jué	李傕
lǐ kuí	李逵
lǐ kuī	李悝
lí lì	黎利
lí lì	黎力
lí màn	黎曼
lí mǐn	黎敏
lǐ péng	李鵬
lǐ qiáng	李強
lǐ rú	李儒
lǐ sī	李斯
lǐ sù	李肅
lí sǔn	黎筍
lì wáng	厲王
lǐ wèi	李衛
lǐ xī	李熙
lǐ xiǎng	李想
lǐ yán	李嚴
lǐ yóu	李由
lǐ yú	李漁
lǐ yuān	李淵
lǐ zhì	李治
liáng biǎo	梁表
liáng hǎi	梁海
liáng hóng	梁紅
liáng hóng	梁鴻
liáng huáng	梁鍠
liáng jì	梁冀
liáng jiàn	梁建
liáng jūn	梁軍
liáng jūn	梁君
liáng lù	梁璐
liáng mèng	梁孟
liáng míng	梁明
liáng shēng	梁生
liáng tāo	梁濤
liáng wěi	梁偉
liáng wèi	梁位
liáng xí	梁習
liáng xiàn	梁獻
liáng xìn	梁信
liáng xuàn	梁鉉
liáng yàn	梁燕
liáng yào	梁耀
liáng yì	梁毅
liáng yǐng	梁穎
liáng yǔ	梁宇
liáng zhèn	梁震
liáng zhì	梁陟
lín bái	林白
lín biāo	林彪
lín bīn	林斌
lín bū	林逋
lín chāo	林超
lín chōng	林沖
lín cōng	林聰
lín dá	林達
lín dàn	林旦
lín dòng	林動
lín duó	林鐸
lín fēng	林楓
lín gāo	林皋
lín hǎi	林海
lín hǔ	林虎
lín kěn	林肯
lín lì	林立
lín nài	林奈
lín níng	林寧
lín qí	林奇
lín qiáng	林強
lín quán	林全
lín qún	林群
lín sēn	林森
lín shēn	林申
lín shū	林殊
lín shū	林紓
lín tāo	林濤
lín xī	林夕
lín xī	林希
lín xiāo	林蕭
lín xiè	林燮
lín xù	林旭
lín yīng	林瓔
lín zǎo	林藻
lín zhāo	林昭
lín zhí	林植
lín zhōng	林鐘
lín zhū	林洙
lín zī	林滋
liú ān	劉安
liú bā	劉巴
liú bāng	劉邦
liú bèi	劉備
liú bì	劉濞
liú biàn	劉辯
liú biǎo	劉表
liú chè	劉徹
liú dé	劉德
liú féi	劉肥
liú fēng	劉封
liú fù	劉馥
liú hè	劉賀
liú hè	劉鶴
liú héng	劉恆
liú hóng	劉弘
liú jī	劉基
liú jǐn	劉瑾
liú jù	劉據
liú jùn	劉駿
liú néng	劉能
liú pì	劉闢
liú qí	劉琦
liú qǐ	劉啟
liú qiān	劉謙
liú shàn	劉禪
liú shào	劉劭
liú shèng	劉勝
liú sòng	劉宋
liú wěi	劉煒
liú xiàng	劉向
liú xiāng	劉襄
liú xié	劉勰
liú xié	劉協
liú xīn	劉歆
liú xuán	劉玄
liú yǎn	劉琰
liú yào	劉曜
liú yáo	劉繇
liú yè	劉曄
liú yì	劉毅
liú yì	劉廙
liú yíng	劉盈
liú yōng	劉墉
liú yù	劉裕
liú yú	劉瑜
liú yú	劉虞
liú yuán	劉源
liú yuān	劉淵
liú zhāng	劉璋
