zì jǐ dǎ de	自己打的
tēi duō le ba	忒多了吧
tēi gāo le ba	忒高了吧
tēi guì le ba	忒貴了吧
tēi hǎo le ba	忒好了吧
tēi hēi le ba	忒黑了吧
tēi hēi le diǎn	忒黑了點
tēi hóng le ba	忒紅了吧
tēi hòu le ba	忒厚了吧
tēi huài le ba	忒壞了吧
tēi huáng le ba	忒黃了吧
tēi jiàn le ba	忒賤了吧
tēi jìn le ba	忒近了吧
tēi jiù le ba	忒舊了吧
tēi kǔ le ba	忒苦了吧
tēi kuān le ba	忒寬了吧
tēi lǎn le ba	忒懶了吧
tēi lán le ba	忒藍了吧
tēi làng màn le	忒浪漫了
tēi lěng le ba	忒冷了吧
tēi lì hai le	忒厲害了
tēi lǜ le ba	忒綠了吧
tēi méi chū xī	忒沒出息
tēi měi le ba	忒美了吧
tēi méi yì sī	忒沒意思
tēi mù lè gē	忒木勒哥
tēi pián yi le	忒便宜了
tēi qiǎn le ba	忒淺了吧
tēi qiáng le ba	忒強了吧
tēi qīng le ba	忒輕了吧
tēi ruǎn le ba	忒軟了吧
tēi ruò le ba	忒弱了吧
tēi shǎo le ba	忒少了吧
tēi shēn le ba	忒深了吧
tēi tā mā de	忒他媽的
tēi tián le ba	忒甜了吧
tēi xiǎo le ba	忒小了吧
tēi xīn le ba	忒新了吧
tēi yìng le ba	忒硬了吧
tēi yǒu yì sī	忒有意思
tēi yuǎn le ba	忒遠了吧
tēi zāng le ba	忒髒了吧
tēi zhǎi le ba	忒窄了吧
tēi zhǎng le ba	忒長了吧
tēi zhòng le ba	忒重了吧
méi shōu	沒收
pù shài	暴曬
dài wang	大王
jiāo huì	教會
ài jiāo	愛教
bù jiāo	不教
huí diào	回調
huí diào hán shù	回調函數
jiē guǒ	結果
kàn bù le	看不了
qiǎ zhù	卡住
shuì zhe	睡着
mò dì	沒地
bàn bù le	辦不了
bào bù le	報不了
ruǎn tán	軟彈
lù chū	露出
zhēng zhēng	丁丁
méi kàn zháo	沒看着
xià bù liǎo	下不了
yǒu duō chóng	有多重
duō zhòng	多重
bù gān	不幹
dà fū	大夫
bó mó	薄膜
mò guò le	沒過了
mò guò wǒ	沒過我
mò guò xiàn	沒過線
mò guò	沒過
mó suō	摩挲
gōng chā	公差
hào gāo	好高
hào qiáng	好強
cuán gè	攢個
zǎn gè	攢個
bēi zhe	背着
wài chuán	外傳
cháng diǎn er	長點兒
zhǎng diǎn er	長點兒
yǒu de háng	有的行
jiù děi dào	就得到
jiù dé dào	就得到
tiáo huí lái	調回來
tiáo huí le	調回了
tiáo huí qù	調回去
cháng le	長了
āi lè	哀樂
zhá guō	炸鍋
tiáo huí	調回
diào sè	掉色
diào shǎi	掉色
dà fang	大方
luò tuò	落魄
luò bó	落魄
chén diān diān	沉甸甸
chén diàn diàn	沉甸甸
rè téng téng	熱騰騰
rè tēng tēng	熱騰騰
dà yé	大爺
xiōng di	兄弟
gū fù	姑父
nǚ xù	女婿
děi shuō	得說
zhāo yáng	朝陽
cháo yáng	朝陽
dān xíng	單行
dān háng	單行
chuàn xíng	串行
chuàn háng	串行
tóng háng	同行
tóng xíng	同行
duō xíng	多行
duō háng	多行
bù liǎo liǎo	不了了
bù liǎo le	不了了
chuáng zì páng	爿字旁
pán zì páng	爿字旁
dù zi	肚子
dǔ zi	肚子
là le	落了
luò le	落了
pò xiáng	迫降
pò jiàng	迫降
jiān jiān	淺淺
qiǎn qiǎn	淺淺
bù liǎo	不了
bù le	不了
zhuó rén	着人
xián zhāo	閒着
zuó mo	琢磨
zhuó mó	琢磨
xiàn zhǎng	線長
kān hǎo	看好
kān zhe	看着
hào zhè kǒu	好這口
hào zhèi kǒu	好這口
bù dé	不得
bù děi	不得
tiáo duì le	調對了
diào duì le	調對了
zhuàn lái zhuàn qù	轉來轉去
zhuǎn lái zhuǎn qù	轉來轉去
dé liǎo	得了
dé le	得了
yíng de liǎo	贏得了
de shì	得是
děi shì	得是
huán huí	還回
hái huí	還回
kān hǎo tā	看好他
kàn hǎo tā	看好他
shēn cáng bú lòu	深藏不露
huán huí qù ba	還回去吧
hái huí qù ba	還回去吧
huán huí qù ma	還回去嗎
hái huí qù ma	還回去嗎
hái huí lái ma	還回來嗎
huán huí lái ma	還回來嗎
huán huí lái le	還回來了
hái huí lái le	還回來了
huán huí lái a	還回來啊
hái huí lái a	還回來啊
huán huí lái ba	還回來吧
hái huí lái ba	還回來吧
huán huí qù	還回去
hái huí qù	還回去
huán huí lái	還回來
hái huí lái	還回來
hái gěi nà	還給那
hái gěi nǐ	還給你
hái gěi shuí	還給誰
hái gěi tā	還給他
hái gěi tā	還給她
hái gěi wǒ	還給我
hái gěi zhè	還給這
nǐ hái gěi	你還給
tā hái gěi	他還給
wǒ hái gěi	我還給
hái gěi nǐ qián	還給你錢
hái gěi tā guò	還給她過
hái gěi tā men	還給她們
shén me shí hòu huán	什麼時候還
xià cì yī dìng huán	下次一定還
huán dū	還都
hái dōu	還都
zhòng zài	重載
chóng zài	重載
bǎ zi	把子
bà le	罷了
zǒng cháng	總長
zǒng zhǎng	總長
bà liǎo	罷了
bái miào	白廟
biàn yí	便宜
bǔ cháng	不長
bú wèi	不為
bù wéi	不為
bù zhǎng	不長
cháng de	長的
kǎ tán	咳痰
wěi qu	委屈
jīng shen	精神
pò shù	朴樹
gān jiāng	干將
cháng bù cháng	長不長
cháng tóu fā	長頭髮
zhǎng tóu fā	長頭髮
cháng wěi bā	長尾巴
zhǎng wěi bā	長尾巴
cháng xì wén	長細紋
zhǎng xì wén	長細紋
cháng yǔ máo	長羽毛
zhǎng yǔ máo	長羽毛
qū duì zhǎng	區隊長
huì là xià	會落下
là xià le	落下了
tā là xià	他落下
wǒ là xià	我落下
yǐ là xià	已落下
là xià de	落下的
là xià yí gè	落下一個
là xià yí gè rén	落下一個人
bú yào là xià	不要落下
bú yào lào xià	不要落下
là xià de gōng kè	落下的功課
là xià de kè chéng	落下的課程
yǐ jīng là xià le	已經落下了
shéi rèn de	誰認得
gàn shuǎng le	乾爽了
yī diǎn	一點
tāng tāng	湯湯
tiē bā	貼吧
zhǎo zhe	找着
zài cháng	再長
háng dào	行道
zhòng dú	重讀
yī zhuān	一專
mò dòu fu	磨豆腐
yán sè chā	顏色差
lěng zhan	冷戰
