shū luǎn guǎn ái	输卵管癌
bí bāo zǐ jūn bìng	鼻孢子菌病
bí bèi xuè guǎn liú	鼻背血管瘤
bí bù cuò gòu liú	鼻部错构瘤
bǐ cài èr shì zhēng	比蔡二氏征
bí chún lín bā jié	鼻唇淋巴结
bì cóng shén jīng yán	臂丛神经炎
bí dòu chuān cì shù	鼻窦穿刺术
bí dòu huó jiǎn shù	鼻窦活检术
bí dòu zēng gāo shù	鼻窦增高术
bí è cháng shén jīng	鼻腭长神经
bí è duǎn shén jīng	鼻腭短神经
bí è guǎn náng zhǒng	鼻腭管囊肿
bí è xìng zhǒng liú	鼻恶性肿瘤
bǐ ěr dé shì bìng	比尔德氏病
bǐ ěr mò shì bìng	比尔默氏病
bì fēng wō zhī yán	臂蜂窝织炎
bí fēng wō zhī yán	鼻蜂窝织炎
bì hòu pí shén jīng	臂后皮神经
bí jiǎ chéng xíng shù	鼻甲成形术
bí jiǎ diàn níng shù	鼻甲电凝术
bí jiǎ diàn shāo shù	鼻甲电烧术
bí jiǎ gǔ zhé shù	鼻甲骨折术
bí jiǎ qiē chú shù	鼻甲切除术
bí jiǎ qiē kāi shù	鼻甲切开术
bí jiǎ sù xíng shù	鼻甲塑型术
bǐ jiǎn èr shì bìng	比简二氏病
bí jiān zhěng xíng shù	鼻尖整形术
bǐ jiāng èr shì bìng	比江二氏病
bí jìng jiǎn chá shù	鼻镜检查术
bì kǒng lín bā jié	闭孔淋巴结
bí liáng xìng zhǒng liú	鼻良性肿瘤
bí lín bā ròu liú	鼻淋巴肉瘤
bí lòu qiē chú shù	鼻瘘切除术
bì qì yù jié zhèng	痹气郁结证
bí qiāng chéng xíng shù	鼻腔成形术
bí qiāng huó jiǎn shù	鼻腔活检术
bí qiāng kuò zhāng shù	鼻腔扩张术
bí qiāng qīng lǐ shù	鼻腔清理术
bí qiāng suō zhǎi shù	鼻腔缩窄术
bí qiāng xuè guǎn liú	鼻腔血管瘤
bí qiāng yuán wèi ái	鼻腔原位癌
bí shāng nǜ xuè zhèng	鼻伤衄血证
bì shén jīng má bì	臂神经麻痹
bì suǒ zōng hé zhēng	闭锁综合征
bí xī ròu lào shù	鼻息肉烙术
bí yá cáo náng zhǒng	鼻牙槽囊肿
bí yān huó jiǎn shù	鼻咽活检术
bí yān jìng jiǎn chá	鼻咽镜检查
bí yān kuò zhāng shù	鼻咽扩张术
bí yān tōng qì guǎn	鼻咽通气管
bí yān yíng qū bìng	鼻咽蝇蛆病
bǐ yé tè shì bìng	比耶特氏病
bí yì tā xiàn zhèng	鼻翼塌陷症
bǐ yì xiàn chóng bìng	比翼线虫病
bí zhōng gé nóng zhǒng	鼻中隔脓肿
bí zhōng gé xuè zhǒng	鼻中膈血肿
bí zōng hé shǒu shù	鼻综合手术
biǎn táo cán tǐ yán	扁桃残体炎
biǎn táo tǐ nóng zhǒng	扁桃体脓肿
biǎn táo xiàn fā yán	扁桃腺发炎
biàn xíng xìng gǔ yán	变形性骨炎
biàn xíng xù liè zhēng	变形序列征
biàn yīng xìng yào zhěn	变应性药疹
biǎo hán lǐ rè zhèng	表寒里热证
biǎo hán lǐ yǐn zhèng	表寒里饮证
biǎo pí nèi lín ái	表皮内鳞癌
biǎo pí yàng náng zhǒng	表皮样囊肿
bié mén èr shì zhēng	别门二氏征
bié shī èr shì bìng	别施二氏病
bìn gǔ huó jiǎn shù	髌骨活检术
bìn gǔ zǔ dǎng shù	髌骨阻挡术
bìn qián huá náng yán	髌前滑囊炎
bīn sī wàng gé bìng	宾斯旺格病
bìng dòu zōng hé zhēng	病窦综合征
bìng dú xíng fèi yán	病毒型肺炎
bìng dú xìng fèi yán	病毒性肺炎
bìng dú xìng gān yán	病毒性肝炎
bìng dú xíng gān yán	病毒型肝炎
bìng dú xìng xīn yán	病毒性心炎
bìng dú zhì jí bìng	病毒致疾病
bǐng fù bù zú zhèng	禀赋不足证
bǐng lèi chuán rǎn bìng	丙类传染病
bìng píng mài biàn zhèng	并平脉辨证
bìng sǔn lěng dòng shù	病损冷冻术
bìng zhēng zōng hé zhēng	病征综合征
bìng zhǐ fēn zhǐ shù	并指分指术
bìng zhǐ jiǎo zhèng shù	并指矫正术
bìng zhǐ jiǎo zhèng shù	并趾矫正术
bó dòng xìng xuè zhǒng	搏动性血肿
bó gé èr shì bìng	伯格二氏病
bó kè jié jié bìng	伯克结节病
bō lì cè shì bìng	波利策氏病
bō li tǐ nóng zhǒng	玻璃体脓肿
bō lún xù liè zhēng	波伦序列征
bō lún zōng hé zhēng	波伦综合征
bó luó èr shì bìng	伯罗二氏病
bō sàn xìng huáng liú	播散性黄瘤
bō shì dùn zhěn bìng	波士顿疹病
bó suǒ èr shì bìng	伯索二氏病
bō wéi èr shì bìng	波韦二氏病
bù bù èr shì bìng	布布二氏病
bù jiā zōng hé zhēng	布加综合征
bù jié xìng kěn yán	不洁性龈炎
bù kǎi èr shì bìng	布凯二氏病
bù lā dé lì bìng	布拉德利病
bù lè èr shì liú	布勒二氏瘤
bù lín zōng hé zhēng	布林综合征
bù lǔ shì jūn bìng	布鲁氏菌病
bù lún nà shì liú	布伦纳氏瘤
bù luó dí shì bìng	布罗迪氏病
bù mǎ èr shì zhēng	布马二氏征
bù mò èr shì bìng	布莫二氏病
bù pí èr shì liú	布皮二氏瘤
bù pǔ èr shì bìng	布普二氏病
bù qín èr shì bìng	布秦二氏病
bù shì gǎn jūn bìng	布氏杆菌病
bù xī dào zhuǎn shù	布希倒转术
bù xī èr shì bìng	布西二氏病
bù xī kè sī zhēng	布希克斯征
bù xī zōng hé zhēng	布西综合征
cái fù de xiàng zhēng	财富的象征
cán duān qiē chú shù	残端切除术
cán duān xiū zhěng shù	残端修整术
cán duān zōng hé zhēng	残端综合征
cán hóu qiē chú shù	残喉切除术
cān shé huā zhì chuāng	参蛇花痔疮
cán wèi qiē chú shù	残胃切除术
cāo pí bìng shé yán	糙皮病舌炎
chá bù chá ěr bìng	察布查尔病
chá kē sān lián zhēng	查科三联征
chá lǐ shì jī xíng	查理氏畸形
chá máo chóng pí yán	茶毛虫皮炎
chǎn hòu fā rè bìng	产后发热病
chǎn hòu fù tòng bìng	产后腹痛病
chǎn hòu quē rǔ bìng	产后缺乳病
chǎn hòu shēn tòng bìng	产后身痛病
chǎn hòu xuè bēng bìng	产后血崩病
chǎn hòu xuè yùn bìng	产后血晕病
chǎn hòu yí fèn bìng	产后遗粪病
chǎn qián zǐ xián zhèng	产前子痫症
cháng bí jìng jiǎn chá	长鼻镜检查
cháng chóng fù jī xíng	肠重复畸形
cháng dào chuán rǎn bìng	肠道传染病
cháng dào dī chóng bìng	肠道滴虫病
cháng dào gōu chóng bìng	肠道钩虫病
cháng dào qì zhì zhèng	肠道气滞证
cháng dào qiú chóng bìng	肠道球虫病
cháng dào shí rè zhèng	肠道实热证
cháng dào shī rè zhèng	肠道湿热证
cháng dào yíng qū bìng	肠道蝇蛆病
cháng duàn fēn lí shù	肠段分离术
cháng fēng shāng luò zhèng	肠风伤络证
cháng jià zōng hé zhēng	长假综合征
cháng liàng zōng hé zhēng	长量综合征
cháng lín bā ròu liú	肠淋巴肉瘤
cháng lòu bì hé shù	肠瘘闭合术
cháng lòu hái nà shù	肠瘘还纳术
cháng lòu zōng hé zhēng	肠漏综合征
cháng shàn hái nà shù	肠疝还纳术
cháng shén jīng xì tǒng	肠神经系统
cháng shēng bù lǎo shù	长生不老术
cháng wèi dào jí bìng	肠胃道疾病
cháng wèi shí rè zhèng	肠胃实热证
cháng wèi shī rè zhèng	肠胃湿热证
cháng xì mó nóng zhǒng	肠系膜脓肿
cháng xuè guǎn jī xíng	肠血管畸形
cháng xuè xī chóng bìng	肠血吸虫病
cháng yuán xìng náng zhǒng	肠源性囊肿
cháng yuán xìng náng zhǒng	肠原性囊肿
cháng zào jīn shāng zhèng	肠燥津伤证
chāo shēng jié zhì shù	超声洁治术
chāo xióng zōng hé zhēng	超雄综合征
chéng gǔ bù quán zhèng	成骨不全症
chéng jī xì bāo liú	成肌细胞瘤
chéng rén yìng zhǒng bìng	成人硬肿病
chéng rén zǎo lǎo zhèng	成人早老症
chéng yòu xì bāo ái	成釉细胞癌
chéng yòu xì bāo liú	成釉细胞瘤
chéng zhī xì bāo liú	成脂细胞瘤
chǐ bù ròu yá zhǒng	齿部肉芽肿
chǐ cáo xiū bǔ shù	齿槽修补术
chǐ cáo xiū zhěng shù	齿槽修整术
chǐ cáo zài zào shù	齿槽再造术
chǐ gǔ duǎn suō shù	尺骨短缩术
chǐ gǔ jié gǔ shù	尺骨截骨术
chǐ gǔ páng guāng jī	耻骨膀胱肌
chǐ gǔ yán cháng shù	尺骨延长术
chì mài chuán jīng bìng	赤脉传睛病
chì miàn kǒng jù zhèng	赤面恐惧症
chì mó xià chuí bìng	赤膜下垂病
chǐ shén jīng zhǎng zhī	尺神经掌支
