shū luǎn guǎn ái	输卵管癌
zuǒ qiāng jìng mài bì	左腔静脉襞
zuǒ shì hòu jìng mài	左室后静脉
zuǒ tóu bì jìng mài	左头臂静脉
zuǒ xīn dǎo guǎn shù	左心导管术
zuǒ yāo lín bā jié	左腰淋巴结
zuǒ yāo shēng jìng mài	左腰升静脉
zuǒ yòu hù bó shù	左右互搏术
zuò yùn qián jiǎn chá	做孕前检查
zuò zhěng róng shǒu shù	做整容手术
zuǒ zhǔ zhī qì guǎn	左主支气管
ā āi èr shì shǒu shù	阿埃二氏手术
ā bō luó jié mó yán	阿波罗结膜炎
ā bù lā mǐ shì bìng	阿布拉米氏病
ā dé èr shì shǒu shù	阿德二氏手术
ā ěr cí hǎi mò bìng	阿尔茨海默病
ā ěr zī hǎi mò zhèng	阿尔兹海默症
ā fú tā xiàn zhōu yán	阿弗它腺周炎
ā fú tā xìng kǒu yán	阿弗它性口炎
ā fú tā yān xiá yán	阿弗他咽峡炎
ā jī èr shì jī xíng	阿基二氏畸形
ā jī shì nǎo jī xíng	阿基氏脑畸形
ā jié èr shì shǒu shù	阿杰二氏手术
ā kù léi lǐ shì bìng	阿库雷里氏病
ā lào bō zhī pí yán	阿烙波肢皮炎
ā mǐ bā fèi nóng zhǒng	阿米巴肺脓肿
ā mǐ bā xìng cháng yán	阿米巴性肠炎
ā pèi ěr zōng hé zhēng	阿佩尔综合征
ā sī pò zōng hé zhēng	阿斯珀综合征
ā xī èr shì jī xíng	阿希二氏畸形
ā yé èr shì shǒu shù	阿耶二氏手术
ā zī hǎi mò shì zhèng	阿兹海默氏症
āi bó lā bìng dú bìng	埃博拉病毒病
ài bó tè zōng hé zhēng	艾伯特综合征
āi dāng luò zōng hé zhēng	埃当洛综合征
ài dí shēng hēi biàn bìng	艾迪生黑变病
āi ěr tuō xiǎo cháng yán	埃尔托小肠炎
āi kē ruò mò shì bìng	埃科若莫氏病
āi lì sēn zōng hé zhēng	埃利森综合征
āi wén sī zōng hé zhēng	埃文斯综合征
ái xìng nǎo bái zhì bìng	癌性脑白质病
ái xìng xīn bāo jī yè	癌性心包积液
ái yuán xìng shén jīng bìng	癌原性神经病
ài zī hǎi mò shì zhèng	艾滋海默氏症
ān dé wǔ dé shì bìng	安德伍德氏病
ān gé màn zōng hé zhēng	安格曼综合征
ān jié jié nǎo mó liú	鞍结节脑膜瘤
àn sè sī bāo méi bìng	暗色丝孢霉病
ào běn hǎi mǔ shì bìng	奥本海姆氏病
ào lù èr shì shǒu shù	奥路二氏手术
ào ní wēng ní wēng bìng	奥尼翁尼翁病
ào sè shǐ zōng hé zhēng	奥瑟史综合征
ào tè kuān xiū fù shù	奥特髋修复术
ào wéi láng sān shì bìng	奥韦郎三氏病
bā dì èr shì chǎn qián	巴蒂二氏产钳
bā ēn èr shì xiǎo tǐ	巴恩二氏小体
bā ěr bǐ yà ní huán	巴尔比亚尼环
bā ěr gàn shèn bìng biàn	巴尔干肾病变
bā kè lè zōng hé zhēng	巴克勒综合征
bā mǎ yóu èr shì bìng	巴马尤二氏病
bā shì tú piàn jiǎn chá	巴氏涂片检查
bā téng mǎ èr shì bìng	巴滕马二氏病
bā wéi èr shì shǒu shù	巴韦二氏手术
bā xī méng èr shì bìng	巴西蒙二氏病
bá yá hòu bìng fā zhèng	拔牙后并发症
bái diàn fēng de fā bìng	白癜风的发病
bái hóu xìng jié mó yán	白喉性结膜炎
bái hóu xìng xīn jī yán	白喉性心肌炎
bái nèi zhàng cì náng shù	白内障刺囊术
bái nèi zhàng jiǎn chú shù	白内障剪除术
bái nèi zhàng tào chū shù	白内障套出术
bái nèi zhàng xī chū shù	白内障吸出术
bái nèi zhàng zhāi chú shù	白内障摘除术
bái nèi zhàng zhēn bō shù	白内障针拨术
bái nèi zhàng zhēn xī shù	白内障针吸术
bái sāi shì zōng hé zhēng	白塞氏综合征
bái sè niàn zhū jūn bìng	白色念珠菌病
bái xì bāo jiǎn shǎo zhèng	白细胞减少症
bái xì bāo zēng duō zhèng	白细胞增多症
bái xuè qiú jiǎn shǎo zhèng	白血球减少症
bài xuè xìng guān jié yán	败血性关节炎
bǎn céng zhuàng yú lín bìng	板层状鱼鳞病
bàn chuān kǒng xiū bǔ shù	瓣穿孔修补术
bàn gé mó qiē chú shù	瓣隔膜切除术
bàn gǔ pén qiē chú shù	半骨盆切除术
bàn guān jié chéng xíng shù	半关节成形术
bàn guī guǎn tián sāi shù	半规管填塞术
bān hén páng fèi qì zhǒng	瘢痕旁肺气肿
bān hén xìng fèi qì zhǒng	瘢痕性肺气肿
bàn jié cháng qiē chú shù	半结肠切除术
bān kuài zhuàng yìng bān bìng	斑块状硬斑病
bàn mó xìng xīn zàng bìng	瓣膜性心脏病
bàn sōng ruǎn zōng hé zhēng	瓣松软综合征
bān tì shì zōng hé zhēng	班替氏综合征
bàn xiá zhǎi shū tōng shù	瓣狭窄疏通术
bàn yuè bān qiē chú shù	半月扳切除术
bàn yuè bǎn qiē chú shù	半月板切除术
bān zhěn shāng hán fù xíng	斑疹伤寒腹型
bān zhěn shāng hán shǔ xíng	斑疹伤寒鼠型
bān zhěn shāng hán xiǎo jié	斑疹伤寒小结
bàn zhí shì chéng xíng shù	瓣直视成形术
bàn zhōu lòu xiū bǔ shù	瓣周漏修补术
bān zhuàng lèi yín xiè bìng	斑状类银屑病
bàn zhuī tǐ qiē chú shù	半椎体切除术
bào bān zhuàng bái diàn fēng	豹斑状白癜风
bào ēn yàng qiū zhěn bìng	鲍恩样丘疹病
bāo guǒ xìng xiōng mó yán	包裹性胸膜炎
bào mò ěr chéng běn bìng	鲍莫尔成本病
báo pí bàn yí zhí shù	薄皮瓣移植术
bāo pí bāo jīng shǒu shù	包皮包茎手术
bāo pí huán gē shǒu shù	包皮环割手术
bāo róng tǐ zhù jī zhèng	胞溶体贮积症
bào wéi èr shì shǒu shù	鲍韦二氏手术
bào wēn yàng qiū zhěn bìng	鲍温样丘疹病
bǎo zàng yuàn liú qiāng shù	宝藏院流枪术
bèi bó èr shì shǒu shù	贝博二氏手术
bèi bó kè èr shì bìng	贝伯克二氏病
bèi bó shào sān shì bìng	贝伯绍三氏病
bèi bó xiāo sān shì bìng	贝伯肖三氏病
bèi bó xiāo zōng hé zhēng	贝伯肖综合征
bèi dòng xìng fèi shuǐ zhǒng	被动性肺水肿
bèi ěr shì má bì zhèng	贝尔氏麻痹症
bèi fēng wō zǔ zhī yán	背蜂窝组织炎
bèi gài fù cè jiāo chā	被盖腹侧交叉
bèi hū shì de jí bìng	被忽视的疾病
bèi ké jiǎ zōng hé zhēng	贝壳甲综合征
bèi kuò jī yí zhí shù	背阔肌移植术
bèi lù èr shì shǒu shù	贝路二氏手术
bèi mò èr shì shǒu shù	贝莫二氏手术
bèi mó xià lín bā dòu	被膜下淋巴窦
bèi shén jīng zǔ duàn shù	背神经阻断术
bèi xī zé èr shì bìng	贝西泽二氏病
bèi yà ěr jié mó yán	贝亚尔结膜炎
bēn mén ái qiē chú shù	贲门癌切除术
bēn mén è xìng zhǒng liú	贲门恶性肿瘤
bēn mén jī qiē kāi shù	贲门肌切开术
bēn mén liáng xìng zhǒng liú	贲门良性肿瘤
bēn mén shī chí huǎn zhèng	贲门失弛缓症
bēng kuì xìng guī tóu yán	崩溃性龟头炎
bí bí yān jìng mài cóng	鼻鼻咽静脉丛
bí bìng hài qiē chú shù	鼻病害切除术
bí bìng sǔn qiē chú shù	鼻病损切除术
bí bù fèn qiē chú shù	鼻部分切除术
bí bù qí tā shǒu shù	鼻部其他手术
bí chū xiě diàn níng shù	鼻出血电凝术
bí chū xiě lěng dòng shù	鼻出血冷冻术
bí chū xiě shāo lào shù	鼻出血烧烙术
bí chū xiě tián sāi shù	鼻出血填塞术
bì cóng shén jīng gēn yán	臂丛神经根炎
bì cóng shén jīng má zuì	臂丛神经麻醉
bì cóng shén jīng sǔn hài	臂丛神经损害
bì cóng shén jīng sǔn shāng	臂丛神经损伤
bì cóng shén jīng yí wèi	臂丛神经移位
bí é bàn chóng jiàn shù	鼻额瓣重建术
bí é guǎn kuò zhāng shù	鼻额管扩张术
bí gōng néng xìng jiǎn chá	鼻功能性检查
bí gǔ liáng xìng zhǒng liú	鼻骨良性肿瘤
bì hé xìng huó jiǎn shù	闭合性活检术
bí jī xíng jiǎo zhèng shù	鼻畸形矫正术
bí jiǎ è xìng zhǒng liú	鼻甲恶性肿瘤
bí jiǎ yí chú shǒu shù	鼻甲移除手术
bì kǒng nèi jī shén jīng	闭孔内肌神经
bì kǒng shén jīng sǔn shāng	闭孔神经损伤
bí kǒu yān bù shǒu shù	鼻口咽部手术
bí lèi dào zài tōng shù	鼻泪道再通术
bí lèi guǎn chā guǎn shù	鼻泪管插管术
bí liè shāng féng hé shù	鼻裂伤缝合术
bì lù lèi sān shì bìng	毕路累三氏病
bì luó tè shì shǒu shù	毕罗特式手术
bì nèi cè pí shén jīng	臂内侧皮神经
bí pí guǎn chóng jiàn shù	鼻皮管重建术
bí qì guǎn niǎo gǎn jūn	鼻气管鸟杆菌
bí qiāng è xìng zhǒng liú	鼻腔恶性肿瘤
bí qiāng liáng xìng zhǒng liú	鼻腔良性肿瘤
bí qiāng nǎo jǐ mó liú	鼻腔脑脊膜瘤
bí qiāng qǔ huó jiǎn shù	鼻腔取活检术
bí qiē kāi yǐn liú shù	鼻切开引流术
bì sè xìng dòng mài yán	闭塞性动脉炎
bì shāng kǒu qīng chuàng shù	臂伤口清创术
bì shén jīng cóng zǔ zhì	臂神经丛阻滞
bí suō xiǎo chéng xíng shù	鼻缩小成形术
bí wài shāng qīng chuàng shù	鼻外伤清创术
bí xī ròu qiē chú shù	鼻息肉切除术
bí xī ròu zhāi chú shù	鼻息肉摘除术
bí xiān wéi xìng qiū zhěn	鼻纤维性丘疹
bí yān bù huó jiǎn shù	鼻咽部活检术
bí yān bù xuè guǎn liú	鼻咽部血管瘤
bí yān è xìng zhǒng liú	鼻咽恶性肿瘤
bí yān liáng xìng zhǒng liú	鼻咽良性肿瘤
bí zhān lián fēn lí shù	鼻粘连分离术
bí zhōng gé chéng xíng shù	鼻中隔成形术
bí zhōng gé huá hén shù	鼻中隔划痕术
bí zhōng gé jiǎo zhèng shù	鼻中隔矫正术
bí zhōng gé qiē chú shù	鼻中隔切除术
bí zhōng gé qiē kāi shù	鼻中隔切开术
bí zhōng gé ròu yá zhǒng	鼻中隔肉芽肿
bí zhōng gé xiū bǔ shù	鼻中隔修补术
bí zhōng jiǎ jié chú shù	鼻中甲截除术
bí zhǒng liú qiē chú shù	鼻肿瘤切除术
bí zhǒng wù qiē chú shù	鼻肿物切除术
biǎn píng tái xiǎn yàng zhěn	扁平苔藓样疹
biǎn táo tǐ huó jiǎn shù	扁桃体活检术
biǎn táo tǐ jiǎo huà zhèng	扁桃体角化症
biǎn táo tǐ qiē chú shù	扁桃体切除术
biǎn táo tǐ qū méi bìng	扁桃体曲霉病
biǎn táo tǐ zhōu wéi yán	扁桃体周围炎
biǎn táo xiàn zhāi chú shù	扁桃腺摘除术
biàn xíng xìng bèi bù bìng	变形性背部病
biàn xíng xìng jǐ zhù yán	变形性脊柱炎
biàn yì xìng bǔ lín zhèng	变异性卟啉症
biàn yīng xìng fèi pào yán	变应性肺泡炎
biàn yīng xìng guān jié yán	变应性关节炎
biàn yīng xìng jié mó yán	变应性结膜炎
biàn yīng xìng mài guǎn yán	变应性脉管炎
biàn yīng xìng páng guāng yán	变应性膀胱炎
biàn yīng xìng xuè guǎn yán	变应性血管炎
biàn yīng xìng xún má zhěn	变应性荨麻疹
biàn yīng xìng zhōng ěr yán	变应性中耳炎
biǎo miàn shén jīng zǔ zhì	表面神经阻滞
biǎo pí bāo hán náng zhǒng	表皮包涵囊肿
biǎo pí nèi shàng pí liú	表皮内上皮瘤
biǎo pí zhì zōng hé zhēng	表皮痣综合征
bié dé ěr zōng hé zhēng	别德尔综合征
bìn rèn dài chéng xíng shù	髌韧带成形术
bìn rèn dài nèi yí shù	髌韧带内移术
bìn rèn dài xiū bǔ shù	髌韧带修补术
bīn xīn zàng xiū fù shù	宾心脏修复术
bìng dú xìng jié mó yán	病毒性结膜炎
bìng dú xìng nǎo mó yán	病毒性脑膜炎
bìng dú xìng nián mó zhěn	病毒性黏膜疹
bìng dú xìng wèi cháng bìng	病毒性胃肠病
bìng dú xìng wèi cháng yán	病毒性胃肠炎
bìng dú xìng xīn bāo yán	病毒性心包炎
bìng dú xìng xīn jī yán	病毒性心肌炎
bìng pào zhěn bìng dú xíng	病疱疹病毒型
bìng xì bāo zōng hé zhēng	病细胞综合征
bó gé gé èr shì bìng	伯格格二氏病
bó huò nà zōng hé zhēng	博霍纳综合征
bó jī tè lín bā liú	伯基特淋巴瘤
bō li tǐ chōu xī shù	玻璃体抽吸术
bō li tǐ chōu yè shù	玻璃体抽液术
bō li tǐ chuān cì shù	玻璃体穿刺术
bō li tǐ qiē chú shù	玻璃体切除术
bō li tǐ qiē gē shù	玻璃体切割术
bō lí tǐ qiē gē shù	玻离体切割术
bō li tǐ zhì huàn shù	玻璃体置换术
bō li tǐ zhù qì shù	玻璃体注气术
bó ní yé zōng hé zhēng	博尼耶综合征
bō sàn xìng huáng sè liú	播散性黄色瘤
bō sàn xìng jiǎo zhì liú	播散性角质瘤
bō sàn xìng qū méi bìng	播散性曲霉病
bó shì mǒ piàn jiǎn chá	柏氏抹片检查
bō wǎ sāng bìng dú bìng	波瓦桑病毒病
bù ān tuǐ zōng hé zhēng	不安腿综合征
bù bù èr shì shǒu shù	布布二氏手术
bù diǎn xíng gū dú zhèng	不典型孤独症
bú dòng gǎn jūn fèi yán	不动杆菌肺炎
bù ěr nà wéi shì bìng	布尔纳维氏病
bù èr shì zōng hé zhēng	布二氏综合征
bù fen gān qiē chú shù	部分肝切除术
bù fen pí qiē chú shù	部分脾切除术
bù fen shé qiē chú shù	部分舌切除术
bù fen yàn qiē chú shù	部分咽切除术
bù hàn èr shì shǒu shù	布汉二氏手术
bú huì xiǎn de yōng zhǒng	不会显得臃肿
bù jiā shì zōng hé zhēng	布加氏综合征
bù kǎi zé èr shì bìng	布凯泽二氏病
bù lā dé gǔ dé bìng	布拉德古德病
bù lǎng sāi kǎ ěr bìng	布朗塞卡尔病
bù lǎng sāi kǎ ěr zhēng	布朗塞卡尔征
bù lè bù zōng hé zhēng	布勒布综合征
bù lǐ ěr jīn sè bìng	布里尔津瑟病
bù lǐ suǒ zōng hé zhēng	布里索综合征
bù lú mǔ zōng hé zhēng	布卢姆综合征
bù lǔ shì gǎn jūn bìng	布鲁氏杆菌病
bù luó kǎ shī yǔ zhèng	布罗卡失语症
bù luó mǔ xiū fù shù	布罗姆修复术
bù mǎ lǐ èr shì zhēng	布马里二氏征
bù níng tuǐ zōng hé zhēng	不宁腿综合征
bù shī kè yìng zhǒng bìng	布施克硬肿病
bù tài fēn xī jiǎn chá	步态分析检查
bù táo èr shì shǒu shù	布陶二氏手术
bú yùn bú yù jiǎn chá	不孕不育检查
cán huǐ xìng jiǎo pí zhèng	残毁性角皮症
cán liú xìng duō zhǐ zhèng	残留性多指症
cán yú shèn qiē chú shù	残余肾切除术
cán yú xìng zhōng ěr yán	残余性中耳炎
cǎo méi zhuàng xuè guǎn liú	草莓状血管瘤
cāo zuò hòu bài xuè zhèng	操作后败血症
cè dòu zhōu wéi nóng zhǒng	侧窦周围脓肿
cè láng èr shì fèng shù	策郎二氏缝术
cè lú dǐ qiē chú shù	侧颅底切除术
cè nǎo shì chuān cì shù	侧脑室穿刺术
cè nǎo shì fēn liú shù	侧脑室分流术
cè nǎo shì xià jìng mài	侧脑室下静脉
cè nǎo shì zào lòu shù	侧脑室造瘘术
céng bǎn zhuàng yú lín bìng	层板状鱼鳞病
céng yā shì xiāo shòu shù	层压式销售术
chǎn hòu dà biàn nán bìng	产后大便难病
chǎn hòu jiǎ zhuàng xiàn yán	产后甲状腺炎
chǎn qì gǎn jūn cháng yán	产气杆菌肠炎
chǎn rù qī bài xuè zhèng	产褥期败血症
chǎn rù qī fù mó yán	产褥期腹膜炎
chǎn rù qī jìng mài yán	产褥期静脉炎
chǎn rù qī jūn xiě zhèng	产褥期菌血症
chǎn rù qī rǔ xiàn yán	产褥期乳腺炎
chǎn rù qī yīn dào yán	产褥期阴道炎
cháng bìng xìng zhī pí yán	肠病性肢皮炎
cháng chuān kǒng xiū bǔ shù	肠穿孔修补术
cháng dào ā mǐ bā bìng	肠道阿米巴病
cháng dào è xìng zhǒng liú	肠道恶性肿瘤
cháng dào jì shēng chóng bìng	肠道寄生虫病
cháng dào liáng xìng zhǒng liú	肠道良性肿瘤
cháng dào máo dī chóng bìng	肠道毛滴虫病
cháng dào niàn zhū jūn bìng	肠道念珠菌病
cháng è xìng lín bā liú	肠恶性淋巴瘤
cháng guǎn páng lín bā jié	肠管旁淋巴结
cháng jiān qī zōng hé zhēng	长间期综合征
cháng jiàn xì fēng bì shù	肠间隙封闭术
cháng lín bā guǎn kuò zhāng	肠淋巴管扩张
cháng lòu cháng hái nà shù	肠瘘肠还纳术
cháng máng pàn qiē chú shù	肠盲袢切除术
cháng niǔ zhuǎn fù wèi shù	肠扭转复位术
cháng pò liè xiū bǔ shù	肠破裂修补术
cháng quē xuè zōng hé zhēng	肠缺血综合征
cháng shén jīng guān néng zhèng	肠神经官能症
cháng sǔn shāng xiū bǔ shù	肠损伤修补术
cháng tào dié fù wèi shù	肠套叠复位术
cháng tào dié sōng jiě shù	肠套叠松解术
cháng wěn hé zōng hé zhēng	肠吻合综合征
cháng xì bāo lín bā liú	肠细胞淋巴瘤
cháng xì mó dòng mài liú	肠系膜动脉瘤
cháng xì mó dòng mài yán	肠系膜动脉炎
cháng xì mó gù dìng shù	肠系膜固定术
cháng xì mó huó jiǎn shù	肠系膜活检术
cháng xì mó lín bā jié	肠系膜淋巴结
cháng xì mó shàng jìng mài	肠系膜上静脉
cháng xì mó shé dié shù	肠系膜折迭术
cháng xì mó xià jìng mài	肠系膜下静脉
cháng xì mó xiū bǔ shù	肠系膜修补术
cháng xì mó xuè guǎn liú	肠系膜血管瘤
cháng xì mó zhī fáng liú	肠系膜脂肪瘤
cháng xiān wéi zhī fáng liú	肠纤维脂肪瘤
cháng yì jī zōng hé zhēng	肠易激综合征
cháng yuán xìng zǐ gàn zhèng	肠原性紫绀症
cháng zào kǒu bì hé shù	肠造口闭合术
cháng zào kǒu xiū zhèng shù	肠造口修正术
cháng zào lòu hái nà shù	肠造瘘还纳术
cháng zhān lián sōng jiě shù	肠粘连松解术
chè yào xìng zōng hé zhēng	撤药性综合征
chén āi wēi lì zhǐ bìng	尘埃微粒纸病
chén jiù xìng gǔ suǐ yán	陈旧性骨髓炎
chén jiù xìng jiǎo mó yán	陈旧性角膜炎
chén jiù xìng zhōng ěr yán	陈旧性中耳炎
chéng jí sī hán xī zhēng	成吉思汗西征
chéng jiāo zhì xì bāo liú	成胶质细胞瘤
chéng nián rén yì shí zhèng	成年人异食症
chéng nián xíng táng niào bìng	成年型糖尿病
chéng rén jīn bó kè bìng	成人金伯克病
chéng shì pèi qì guǎn wǎng	城市配气管网
chéng yòu xì bāo ròu liú	成釉细胞肉瘤
chéng yòu xì bāo yá liú	成釉细胞牙瘤
chǐ cáo gǔ xiū zhěng shù	齿槽骨修整术
chǐ cáo liáng xìng zhǒng liú	齿槽良性肿瘤
chǐ cáo liè xiū bǔ shù	齿槽裂修补术
chǐ cè bàn zhī jī xíng	尺侧半肢畸形
chǐ dòng mài jié zā shù	尺动脉结扎术
chǐ gōng guān jié tuō wèi	尺肱关节脱位
chǐ gǔ è xìng zhǒng liú	尺骨恶性肿瘤
chǐ gǔ è xìng zhǒng liú	耻骨恶性肿瘤
chǐ gǔ gōng zhuàng rèn dài	耻骨弓状韧带
chǐ gǔ gǔ gàn gǔ zhé	尺骨骨干骨折
chǐ gǔ huá chē qiē jì	尺骨滑车切迹
chǐ gǔ jìn duān gǔ zhé	尺骨近端骨折
chǐ gǔ jīng tū gǔ zhé	尺骨茎突骨折
chǐ gǔ lián hé fēn lí	耻骨联合分离
chǐ gǔ lián hé sōng xiè	耻骨联合松懈
chǐ gǔ liáng xìng zhǒng liú	尺骨良性肿瘤
chǐ gǔ liáng xìng zhǒng liú	耻骨良性肿瘤
chǐ gǔ páng guāng rèn dài	耻骨膀胱韧带
chǐ gǔ qián liè xiàn jī	耻骨前列腺肌
chǐ gǔ qiē kāi zhù chǎn	耻骨切开助产
chǐ gǔ shàng duān gǔ zhé	尺骨上端骨折
chǐ gǔ shàng duān jié gǔ	尺骨上端截骨
chǐ gǔ xià duān gǔ zhé	尺骨下端骨折
chǐ gǔ yīng zuǐ gǔ zhé	尺骨鹰嘴骨折
chǐ gǔ yuǎn duān tuō wèi	尺骨远端脱位
chí qī chéng fèn jiǎn chá	迟期成分检查
chǐ ráo gǔ suō duǎn shù	尺桡骨缩短术
chǐ shén jīng féng hé shù	尺神经缝合术
chǐ shén jīng jiāo tōng zhī	尺神经交通支
chǐ shén jīng shǒu bèi zhī	尺神经手背支
chǐ shén jīng sōng jiě shù	尺神经松解术
chǐ shén jīng tàn chá shù	尺神经探查术
chǐ shén jīng wěn hé shù	尺神经吻合术
chǐ shén jīng yí wèi shù	尺神经移位术
chǐ shén jīng yí zhí shù	尺神经移植术
chí xù xìng zhī pí yán	持续性肢皮炎
chǐ yín lòu xiū bǔ shù	齿龈瘘修补术
chǐ zhuàng tū qiē chú shù	齿状突切除术
chóng bìng jiāng piàn chóng bìng	虫病姜片虫病
chóng bìng xuè xī chóng bìng	虫病血吸虫病
chōng jī shāng zōng hé zhēng	冲击伤综合征
chóng jiàn yá cáo jǐ shù	重建牙槽嵴术
chōng tián tǐ pāo guāng shù	充填体抛光术
chōng xuè xìng xīn jī bìng	充血性心肌病
chōng xuè xìng xīn zàng bìng	充血性心脏病
chōu yáng shuǐ jiǎn yā shù	抽羊水减压术
chū hàn xìng xuè guǎn liú	出汗性血管瘤
chǔ nǚ mó chéng xíng shù	处女膜成形术
chǔ nǚ mó féng hé shù	处女膜缝合术
chǔ nǚ mó qiē kāi shù	处女膜切开术
chǔ nǚ mó xiū fù shù	处女膜修复术
chū xuè xìng fù mó yán	出血性腹膜炎
chū xuè xìng jié cháng yán	出血性结肠炎
chū xuè xìng páng guāng yán	出血性膀胱炎
chū xuè xìng shí guǎn yán	出血性食管炎
chū xuè xìng wài ěr yán	出血性外耳炎
chū xuè xìng xì jūn zhěn	出血性细菌疹
chū xuè xìng xiōng mó yán	出血性胸膜炎
chū xuè xìng yí xiàn yán	出血性胰腺炎
chū xuè xìng zhí cháng yán	出血性直肠炎
chuán dǎo xìng shī yǔ zhèng	传导性失语症
chuān kǒng xìng fù mó yán	穿孔性腹膜炎
chuān kǒng xìng lán wěi yán	穿孔性阑尾炎
chuán rǎn xìng dān hé zhèng	传染性单核症
chuán rǎn xìng jǐ zhuī bìng	传染性脊椎病
chuán rǎn xìng kǒu jué yán	传染性口角炎
chuán rǎn xìng ròu yá zhǒng	传染性肉芽肿
chuán rǎn xìng shuǐ pào bìng	传染性水疱病
chuān tōng xìng máo náng yán	穿通性毛囊炎
chuǎn xī xìng qì guǎn yán	喘息性气管炎
chuáng páng qì guǎn chā guǎn	床旁气管插管
chuāng shāng hòu gǔ wěi suō	创伤后骨萎缩
chuāng shāng hòu guān jié bìng	创伤后关节病
chuāng shāng hòu yā lì zhèng	创伤后压力症
chuāng shāng pò huài qiáng dù	创伤破坏强度
chuāng shāng xìng fèi shuǐ zhǒng	创伤性肺水肿
chuāng shāng xìng jǐ zhuī bìng	创伤性脊椎病
chuāng shāng xìng jīng shén bìng	创伤性精神病
chuāng shāng xìng nǎo mó yán	创伤性脑膜炎
chuāng shāng xìng nǎo xuè zhǒng	创伤性脑血肿
chuāng shāng xìng shén jīng liú	创伤性神经瘤
chuāng shāng xìng shén jīng zhèng	创伤性神经症
chuāng shāng xìng shí guǎn yán	创伤性食管炎
chuāng shāng xìng wú niào zhèng	创伤性无尿症
chuāng shāng xìng yíng qū bìng	创伤性蝇蛆病
chuāng shāng xìng zhǐ jī xíng	创伤性指畸形
chuí dòng mài dòng mài liú	椎动脉动脉瘤
chuí dòng mài jiǎn yā shù	椎动脉减压术
chuí dòng mài zào yǐng shù	椎动脉造影术
chuí guǎn liáng xìng zhǒng liú	椎管良性肿瘤
chuí guǎn nèi xuè guǎn liú	椎管内血管瘤
chuí guǎn nèi zhì guǎn shù	椎管内置管术
chuí jiǎ xìng dòng mài liú	椎假性动脉瘤
chuí jiān kǒng kuò dà shù	椎间孔扩大术
chuí jiān kǒng qiē kāi shù	椎间孔切开术
chuí nèi hòu jìng mài cóng	椎内后静脉丛
chuí nèi qián jìng mài cóng	椎内前静脉丛
chuí tǐ liú qiē chú shù	垂体瘤切除术
chuí tǐ mì rǔ sù liú	垂体泌乳素瘤
chuí tǐ xìng zhū rú zhèng	垂体性侏儒症
chuí wài hòu jìng mài cóng	椎外后静脉丛
chuí wài qián jìng mài cóng	椎外前静脉丛
chuí zhuàng zhǐ xiū bǔ shù	槌状指修补术
chuí zhuàng zhǐ xiū bǔ shù	锤状趾修补术
chuí zhuàng zhǐ xiū fù shù	锤状指修复术
chún bìng hài qiē chú shù	唇病害切除术
chún bìng sǔn qiē chú shù	唇病损切除术
chún bù nián yè xiàn yán	唇部黏液腺炎
chún fěn mó yí zhí shù	唇粉膜移植术
chún gōu è xìng zhǒng liú	唇沟恶性肿瘤
chún jì dài qiē chú shù	唇系带切除术
chún jì dài qiē duàn shù	唇系带切断术
chún jī dǐ xì bāo ái	唇基底细胞癌
chún jī xíng jiǎo zhèng shù	唇畸形矫正术
chūn jì xìng jié mó yán	春季性结膜炎
chún jiá gōu chéng xíng shù	唇颊沟成形术
chún jiá gōu jiā shēn shù	唇颊沟加深术
chún kāi fàng xìng shāng kǒu	唇开放性伤口
chún liè shù hòu jī xíng	唇裂术后畸形
chún quē sǔn xiū fù shù	唇缺损修复术
chún shǒu shù huó jiǎn shù	唇手术活检术
chún sī liè féng hé shù	唇撕裂缝合术
chún wài fān jiǎo zhèng shù	唇外翻矫正术
chún wài shāng xiū bǔ shù	唇外伤修补术
chún zhǒng kuài lěng dòng shù	唇肿块冷冻术
chún zhǒng liú qiē chú shù	唇肿瘤切除术
chún zhǒng wù qiē chú shù	唇肿物切除术
cí gòng zhèn chéng xiàng shù	磁共振成像术
cí gòng zhèn shuǐ chéng xiàng	磁共振水成像
cì jī jiāo gǎn shén jīng	刺激交感神经
cì jí lín bā qì guān	次级淋巴器官
cí jī sù guò duō zhèng	雌激素过多症
cì quán bí zài zào shù	次全鼻再造术
cù jiǎ zhuàng xiàn jī sù	促甲状腺激素
cù jìn cháng dào xiāo huà	促进肠道消化
cuì ruò xíng táng niào bìng	脆弱型糖尿病
dà cháng duàn fēn lí shù	大肠段分离术
dà cháng è xìng zhǒng liú	大肠恶性肿瘤
dà cháng gǎn jūn cháng yán	大肠杆菌肠炎
dà cháng kè lóng shì bìng	大肠克隆氏病
dà cháng liáng xìng zhǒng liú	大肠良性肿瘤
dà hàn xiàn náng xiàn liú	大汗腺囊腺瘤
dá huái tè èr shì bìng	达怀特二氏病
dà nǎo dà jìng mài chí	大脑大静脉池
dà nǎo jiǎo zōng hé zhēng	大脑脚综合征
dà nǎo lián nǎo mó liú	大脑镰脑膜瘤
dà nǎo zhōng dòng mài liú	大脑中动脉瘤
dà nǎo zhōng qiǎn jìng mài	大脑中浅静脉
dà nǎo zhōng shēn jìng mài	大脑中深静脉
dà pào xìng fèi qì zhǒng	大泡性肺气肿
dà pào xìng gǔ mó yán	大疱性鼓膜炎
dà pào xìng jiǎo mó bìng	大泡性角膜病
dà pào xìng jiǎo mó yán	大泡性角膜炎
