ài shǔ	艾属
dài shì měng shǔ	戴氏獴属
dài shì yú shǔ	戴氏鱼属
dài shǔ huā shǔ	袋鼠花属
dài shǔ jiè shǔ	袋鼠介属
dài shǔ yà kē	袋鼠亚科
dāi táng lǐ shǔ	呆塘鳢属
dài tāo chóng kē	带绦虫科
dài tāo chóng shǔ	带绦虫属
dài wén bì yú	带纹躄鱼
dài wén gǒu yú	带纹狗鱼
dài wú zǒng kē	袋鼯总科
dài xiā hǔ yú	带𫚥虎鱼
dài xiàn wèi shǔ	带线鳚属
dài xīng cǎo shǔ	戴星草属
dài xiù dié shǔ	带袖蝶属
dài yǎn dié shǔ	玳眼蝶属
dài yǎn dié shǔ	带眼蝶属
dài yáng chǐ shǔ	带羊齿属
dài yè chán shǔ	带叶蝉属
dǎi yè é shǔ	歹夜蛾属
dài yè lán shǔ	带叶兰属
dài yè tái shǔ	带叶苔属
dài yì fú shǔ	袋翼蝠属
dài yīng há shǔ	戴樱蛤属
dài yīng mù kē	戴缨木科
dài yòu wèi shǔ	带鼬鳚属
dài yòu yà kē	袋鼬亚科
dāi zú bèi shǔ	呆足贝属
dān bān yá shǔ	单斑蚜属
dān bāo jūn mù	单孢菌目
dān bǐ shí kē	单笔石科
dān bǐ shí shǔ	单笔石属
dān bì tǎ shǔ	单臂鳎属
dān cè huā shǔ	单侧花属
dǎn chǐ é shǔ	胆尺蛾属
dān chǐ luó shǔ	单齿螺属
dān chún jiāng kē	单唇鳉科
dān cì huā shǔ	单刺花属
dān cì péng shǔ	单刺蓬属
dān fó lóng shǔ	丹佛龙属
dān gěng méi shǔ	单梗霉属
dān guān lóng shǔ	单冠龙属
dān guǎn zǎo shǔ	单管藻属
dān guǒ shù kē	单果树科
dān guǒ shù shǔ	单果树属
dān hé mán kē	单颌鳗科
dān hé mán shǔ	单颌鳗属
dān huā jì shǔ	单花荠属
dān huā jiè shǔ	单花介属
dàn huī hǎi shé	淡灰海蛇
dān jí bì yú	单棘躄鱼
dān jǐ lóng shǔ	单脊龙属
dān jí tún kē	单棘鲀科
dān jí tún shǔ	单棘鲀属
dān jí yóu shǔ	单棘鲉属
dān jiā yǐ shǔ	单家蚁属
dān jiǎo bí yú	单角鼻鱼
dān kǒng tún shǔ	单孔鲀属
dàn lán sè yú	淡蓝色鱼
dàn léi cǎo shǔ	萏雷草属
dān liàn chóng kē	单链虫科
dān liè chóng shǔ	单裂虫属
dān liú suān mó	单瘤酸模
dàn luó zǒng kē	蜑螺总科
dān máo bāo shǔ	单毛孢属
dān nà xiè shǔ	丹纳蟹属
dān ní lián kē	丹尼连科
dān ní sēn kē	丹尼森科
dān ní xiè shǔ	丹尼蟹属
dān pán shāo kē	单盘蛸科
dān pán shāo shǔ	单盘蛸属
dàn pán yī shǔ	淡盘衣属
dān piàn zhū shǔ	单片蛛属
dān qí téng shǔ	单鳍䲢属
dān qí xián shǔ	单鳍䲗属
dān qí xuě shǔ	单鳍鳕属
dān qí yáo kē	单鳍鳐科
dān qí yú kē	单鳍鱼科
dān qí yú shǔ	单鳍鱼属
dān qí zǎo kē	单歧藻科
dān qí zǎo shǔ	单歧藻属
dàn qiú jūn kē	弹球菌科
dàn qiú jūn shǔ	弹球菌属
dān qiú qín shǔ	单球芹属
dān ruǐ cǎo shǔ	单蕊草属
dān ruǐ má shǔ	单蕊麻属
dàn sè tái cǎo	淡色苔草
dān shì mù kē	单室木科
dān shì yóu shǔ	丹氏鲉属
dān shì zhū shǔ	单饰蛛属
dàn shuǐ chēng shǔ	淡水蛏属
dàn shuǐ tún kē	淡水豚科
dàn shuǐ yà mù	淡水亚目
dān tǐ jūn shǔ	单体菌属
dàn tóu luó shǔ	弹头螺属
dàn tú yú kē	弹涂鱼科
dān wěi chóng shǔ	单尾虫属
dān wěn yú shǔ	单吻鱼属
dàn xī lóng shǔ	蛋蜥龙属
dān xiá lán shǔ	丹霞兰属
dān xiàn wèi shǔ	单线鳚属
dǎn xīng yú kē	胆星鱼科
dān xù cǎo shǔ	单序草属
dān xū fēi yú	单须飞鱼
dàn yǎn dié shǔ	淡眼蝶属
dān yǎn zǎo kē	单眼藻科
dān yǎn zǎo shǔ	单眼藻属
dān yǎn zǎo shǔ	单眼蚤属
dān yào huā shǔ	单药花属
dān yè dòu shǔ	单叶豆属
dān yè yē shǔ	单叶椰属
dān yóu xiǎn shǔ	单疣藓属
dān zhǎo lóng kē	单爪龙科
dān zhǎo lóng shǔ	单爪龙属
dān zhī sāo kē	单肢溞科
dān zhī sāo shǔ	单肢溞属
dān zhǐ wēng kē	单指䱵科
dān zhǐ wēng shǔ	单指䱵属
dān zhī xiā kē	单肢虾科
dān zhī xiā shǔ	单肢虾属
dān zhǐ xuě shǔ	单指鳕属
dān zhī yī kē	单枝衣科
dān zhī zhú shǔ	单枝竹属
dān zhù huā kē	单柱花科
dān zhù huā shǔ	单柱花属
dān zhǔ jūn shǔ	单主菌属
dàn zhú yè shǔ	淡竹叶属
dān zhū zǎo kē	单珠藻科
dǎn zǐ mù kē	掸子木科
dān zú lóng kē	单足龙科
dān zú lóng shǔ	单足龙属
dàng xīn kuàng mù	荡心旷目
dào chá cài shǔ	稻槎菜属
dāo chēng yà kē	刀蛏亚科
dào chǐ bàng shǔ	倒齿蚌属
dào chǐ é shǔ	盗尺蛾属
dāo chǐ lóng shǔ	刀齿龙属
dào chuān xià mù	稻川夏目
dāo chún jiè shǔ	刀唇介属
dāo chūn tíng shǔ	刀春蜓属
dào cì bā shǔ	倒刺鲃属
dào cì pí shǔ	倒刺魮属
dào cì tún shǔ	倒刺鲀属
dào cuō cài shǔ	稻搓菜属
dǎo dài lí shǔ	岛袋狸属
dǎo dì líng shǔ	倒地铃属
dào diào bǐ shǔ	倒吊笔属
dào diào lán shǔ	倒吊兰属
dào dǐng zhōng shǔ	倒顶螽属
dǎo è què shǔ	导颚雀属
dào è xiè shǔ	倒颚蟹属
dāo guāng yú shǔ	刀光鱼属
dào guī lǐ shǔ	盗鲑鲤属
dāo hǎi lóng shǔ	刀海龙属
dǎo hǎi tóng kē	岛海桐科
dào hēi chūn shǔ	稻黑蝽属
dào hén jūn shǔ	稻痕菌属
dǎo hóng shù shǔ	岛红树属
dào huáng yà kē	稻蝗亚科
dào jí yǒng shǔ	倒棘鲬属
dǎo jiǎ mǎn shǔ	岛甲螨属
dāo jiàn wěi yú	刀剑尾鱼
dào jǐng lóng shǔ	稻井龙属
dāo làng huā yú	刀浪花鱼
dào lì diāo shǔ	盗丽鲷属
dào lì yú shǔ	盗丽鱼属
dào liè chūn shǔ	盗猎蝽属
dào liè lóng shǔ	道猎龙属
dào líng lóng shǔ	盗伶龙属
dào lǜ chūn shǔ	稻绿蝽属
dāo míng hé shǔ	刀茗荷属
dào mù yú shǔ	盗目鱼属
dào nòng dié shǔ	稻弄蝶属
dào shǒu yuán shǔ	盗首螈属
dào shuǐ shǔ shǔ	稻水鼠属
dào tí hú shǔ	倒提壶属
dào tián yú shǔ	稻田鱼属
dào wáng lóng shǔ	盗王龙属
dǎo wō niú shǔ	岛蜗牛属
dǎo xī hàn yú	岛溪汉鱼
dǎo yán tóng shǔ	岛岩桐属
dào yè é shǔ	道夜蛾属
dǎo yì lóng shǔ	岛翼龙属
dào yīng mù shǔ	倒缨木属
dǎo yǔ lóng shǔ	岛屿龙属
dào yú zǎo kē	盗鱼蚤科
dào yú zǎo shǔ	盗鱼蚤属
dāo zhī lǐ shǔ	刀脂鲤属
dào zhī lǐ shǔ	盗脂鲤属
dào zhuǎn zǎo shǔ	倒转藻属
dé bǐ bèi kē	德比贝科
dé bǐ bèi shǔ	德比贝属
dé gǔ lā yú	德古拉鱼
dé huī dié shǔ	德灰蝶属
dé jī fēng shǔ	德姬蜂属
dé kǎi nián shǔ	德凯鲶属
dé kù jūn shǔ	德库菌属
dé lǔ qín kē	德鲁琴科
dé luó jiè shǔ	得罗介属
dé màn xiè shǔ	德曼蟹属
dé qīn tái cǎo	德钦苔草
dé shì hóu shǔ	德氏猴属
dé shì kuī yú	德氏盔鱼
dé shì méi shǔ	德氏霉属
dé shì zǎo kē	德氏藻科
dé wén gé shǔ	德文蛤属
dé yè é shǔ	德夜蛾属
dèng bó huā shǔ	邓伯花属
děng cǎi yíng shǔ	等彩蝇属
dēng cè bī shǔ	灯侧鲾属
děng chēng chóng shǔ	等称虫属
děng cì chóng shǔ	等刺虫属
děng dài fēi yú	等待飞鱼
dēng é yà kē	灯蛾亚科
děng gāo tái cǎo	等高苔草
děng jí chóng kē	等棘虫科
děng jí chóng shǔ	等棘虫属
dēng jiá diāo shǔ	灯颊鲷属
dēng jiāng yà kē	灯鳉亚科
děng jié yáo kē	等节䖴科
děng ké há shǔ	等壳蛤属
dēng kǒng diāo shǔ	灯孔鲷属
dēng lóng cǎo shǔ	灯笼草属
dēng lóng luó shǔ	灯笼螺属
dēng lóng yú mù	灯笼鱼目
dēng mù qiú yú	登木求鱼
děng pán há shǔ	等盘蛤属
děng qí dié shǔ	等鳍鲽属
děng qiú jūn kē	等球菌科
děng qiú jūn shǔ	等球菌属
dēng shì bǎo shǔ	登氏鸨属
dèng shì yú kē	邓氏鱼科
dèng shì yú shǔ	邓氏鱼属
dēng sī lán shǔ	灯丝兰属
dēng tǎ há kē	灯塔蛤科
dēng tái shù shǔ	灯台树属
dēng tóu jú shǔ	灯头菊属
dēng xīn cǎo kē	灯心草科
dēng xīn cǎo kē	灯芯草科
dēng xīn cǎo mù	灯芯草目
dēng xīn cǎo què	灯芯草雀
dēng xīn cǎo shǔ	灯心草属
dēng xīn cǎo shǔ	灯芯草属
dēng yǎn yú kē	灯眼鱼科
dēng yǎn yú shǔ	灯眼鱼属
dì bà wēng shǔ	地霸鹟属
dì bái yǐ shǔ	地白蚁属
dì bān míng shǔ	帝斑螟属
dì bǎo lán shǔ	地宝兰属
dì bǎo yù shǔ	地宝芋属
dì bēi jūn shǔ	地杯菌属
dì cháng chūn kē	地长蝽科
dí cháng chūn shǔ	狄长蝽属
dí chǐ é shǔ	涤尺蛾属
dì chuí jūn kē	地锤菌科
dì chuí jūn shǔ	地锤菌属
dí cí jūn shǔ	迪茨菌属
dì dǎn cǎo shǔ	地胆草属
dǐ dēng yú shǔ	底灯鱼属
dì diào lóng kē	地调龙科
dì diào lóng shǔ	地调龙属
dì dòu shòu kē	第斗兽科
dì dòu shòu shǔ	第斗兽属
dí dù sēn kē	迪杜森科
dī é zǎo shǔ	低额蚤属
dì èr hàn shǔ	地二汉属
dì fā jūn shǔ	地发菌属
dí fěn dié shǔ	迪粉蝶属
dì fēng cǎo kē	地蜂草科
dì fēng cǎo shǔ	地蜂草属
dì gǎn jūn kē	地杆菌科
dì gǎn jūn shǔ	地杆菌属
dí gē bèi shǔ	迪戈贝属
dí gé lǎng kē	迪格朗科
dì gòu yè shǔ	地构叶属
dī guān xī shǔ	低冠蜥属
dì guāng yú shǔ	帝光鱼属
dì guī yà kē	地龟亚科
dì hǎi jiāo shǔ	地海椒属
dǐ hēi tóu yú	底黑头鱼
dì hóng gū shǔ	地红菇属
dì hǔ lǔ yú	帝虎鲁鱼
dì huā fēng kē	地花蜂科
dì huā jūn kē	地花菌科
dì huā jūn shǔ	地花菌属
dì huá nà kē	帝华纳科
dì huáng lián shǔ	地黄连属
dì jí shǔ shǔ	地棘鼠属
dì jiǎo chán shǔ	地角蟾属
dì jǐn cǎo shǔ	地锦草属
dǐ jīn xiàn yú	底金线鱼
dì juǎn é shǔ	地卷蛾属
dì juǎn jūn kē	地卷菌科
dì juǎn jūn shǔ	地卷菌属
dí kǎ què shǔ	迪卡雀属
dì kǒng jūn shǔ	地孔菌属
dì lǎo hǔ shǔ	地老虎属
dì lún táo kē	第伦桃科
dì lún táo shǔ	第伦桃属
dí mǎ lù shǔ	笛马陆属
dí máng chūn shǔ	迪盲蝽属
dì míng shǔ shǔ	地鸣鼠属
dì mò fēn kē	蒂莫芬科
dì mǔ xiè shǔ	地母蟹属
dí nà ěr kē	迪纳尔科
dí nà shòu shǔ	狄纳兽属
dì páo jūn shǔ	地袍菌属
dì pí xiāo shǔ	地皮消属
dī qí chāng shǔ	低鳍鲳属
dī qí duò yú	低鳍舵鱼
dì qí táng shǔ	地奇螳属
dǐ qián yú shǔ	底潜鱼属
dì qiáng wēi shǔ	地蔷薇属
dì què wú shǔ	地雀鹀属
dí sāng bó kē	迪桑博科
dí shā pèi kē	迪沙佩科
dì shān què shǔ	地山雀属
dì shé jūn kē	地舌菌科
dì shé jūn shǔ	地舌菌属
dī shé wèi shǔ	低蛇鳚属
dì shén jūn shǔ	地神菌属
dí shèng mǎ kē	迪圣马科
dì shí qín kē	蒂什琴科
dì shí shēn kē	蒂什申科
dì shǔ guī shǔ	地鼠龟属
dì suì jiāng shǔ	地穗姜属
dì suǒ chán shǔ	地索蟾属
dí tái é shǔ	狄苔蛾属
dī tái é shǔ	滴苔蛾属
dì tài què kē	蒂泰雀科
dì tǎn cǎo shǔ	地毯草属
dì táng huā shǔ	棣棠花属
dì téng hú shǔ	地藤壶属
dì tú guī shǔ	地图龟属
dì tú yī kē	地图衣科
dì tú yī shǔ	地图衣属
dì tú yú shǔ	地图鱼属
dí wǎ lì kē	迪瓦利科
dì wǎ nà kē	蒂瓦纳科
dí wǎ sī kē	迪瓦斯科
dì wáng chán shǔ	帝王蝉属
dì wáng guī yú	帝王鲑鱼
dì wáng huā shǔ	帝王花属
dì wáng xiē shǔ	帝王蝎属
dǐ wěi xuě shǔ	底尾鳕属
dì wèn há shǔ	帝汶蛤属
dī wén yì shǔ	低纹鮨属
dì xī è kē	地蜥鳄科
dì xī è shǔ	地蜥鳄属
dì xī niǎo kē	地犀鸟科
dì xī niǎo shǔ	地犀鸟属
dì xī xiè shǔ	地溪蟹属
dǐ xiā jiāng shǔ	底𫚥鳉属
dì xià lán shǔ	地下兰属
dī xiǎn dié shǔ	滴蚬蝶属
dí xiǎn dié shǔ	迪蚬蝶属
dī xiàn liè shǔ	低线𫚭属
dì xiān táo shǔ	地仙桃属
dī xiàn yú shǔ	低线鱼属
dì xīng jūn kē	地星菌科
dí yà qín kē	迪亚琴科
dì yǎ qín kē	蒂雅琴科
dī yǎn nián shǔ	低眼鲶属
dì yáng méi shǔ	地杨梅属
dì yáng táo shǔ	地杨桃属
dī yào lán shǔ	低药兰属
dí yè é shǔ	狄夜蛾属
dì yè é shǔ	地夜蛾属
dì yīng wǔ shǔ	地鹦鹉属
dǐ yòu wèi shǔ	底鼬鳚属
dì yuān wěi kē	地鸢尾科
dí zhā sī kē	迪扎斯科
dì zhàng jūn shǔ	地杖菌属
dì zhǎo lóng shǔ	地爪龙属
dī zhě xiōng yú	低褶胸鱼
dì zhèn lóng shǔ	地震龙属
dǐ zhì wěi kē	抵制伪科
dì zhōng yà kē	地螽亚科
dì zhǒng yíng shǔ	地种蝇属
diàn bào chūn shǔ	垫报春属
diàn biān qiū shǔ	奠边鳅属
diǎn cán é shǔ	点蚕蛾属
diān chì cái shǔ	滇赤才属
diǎn chǐ é shǔ	点尺蛾属
diǎn chí yíng shǔ	点池蝇属
diǎn cì é shǔ	点刺蛾属
diàn dēng huā shǔ	电灯花属
diàn dēng yú shǔ	电灯鱼属
diǎn dì méi shǔ	点地梅属
diān dīng xiāng shǔ	滇丁香属
diān dōng lóng shǔ	滇东龙属
diàn fū sōu kē	垫跗螋科
diǎn gé jūn kē	点革菌科
diǎn gé jūn shǔ	点革菌属
diàn guāng chóng shǔ	垫光虫属
diǎn hé bāo yú	点荷包鱼
diān huáng qín shǔ	滇黄芩属
diàn huī dié shǔ	电灰蝶属
diàn huī dié shǔ	靛灰蝶属
diàn jiá dié shǔ	电蛱蝶属
diǎn juǎn é shǔ	点卷蛾属
diǎn lán zǐ yú	点蓝子鱼
diǎn lán zi yú	点篮子鱼
diǎn lì yú shǔ	点丽鱼属
diàn mán yà mù	电鳗亚目
diān mù xu shǔ	甸苜蓿属
diǎn nán rǔ yú	点南乳鱼
diǎn náng tái cǎo	点囊苔草
diǎn pán jūn kē	点盘菌科
diǎn pán jūn shǔ	点盘菌属
diān pān shǔ shǔ	滇攀鼠属
diǎn pào chóng kē	碘泡虫科
diàn rèn zǒng kē	垫刃总科
diǎn tái é shǔ	点苔蛾属
diǎn tài yáng yú	点太阳鱼
diǎn wěi xī shǔ	点尾蜥属
diān xī shé shǔ	滇西蛇属
diǎn xiǎn dié shǔ	点蚬蝶属
diǎn xián wěi yú	点弦尾鱼
diǎn xiōng fǔ yú	点胸斧鱼
diǎn xiōng yā què	点胸鸦雀
diǎn yè tái cǎo	点叶苔草
diǎn yè zǎo kē	点叶藻科
diǎn yè zǎo shǔ	点叶藻属
diàn yín guāng yú	电银光鱼
diǎn yíng yà kē	点蝇亚科
diān yuán jī shǔ	滇原鸡属
diān zhōng lóng shǔ	滇中龙属
diān zhǒng lóng shǔ	滇肿龙属
diān zǐ cǎo shǔ	滇紫草属
diàn zǐ cǎo shǔ	垫紫草属
diāo chì é kē	凋翅蛾科
diāo chì é kē	雕翅蛾科
diāo chǐ shòu kē	雕齿兽科
diāo chǐ shòu shǔ	雕齿兽属
diào dēng huā shǔ	吊灯花属
diào dēng shù shǔ	吊灯树属
diāo dùn mǎn shǔ	雕盾螨属
diāo è rěn shǔ	雕萼棯属
diāo fāng xiè kē	雕方蟹科
diāo gǔ zhào shǔ	雕骨𬶐属
diào guā shù shǔ	吊瓜树属
diāo hè xiā kē	雕褐虾科
diāo mǎ lù shǔ	雕马陆属
diāo màn xiè shǔ	刁曼蟹属
diāo máo zǎo shǔ	凋毛藻属
diāo míng hé shǔ	雕茗荷属
diào qiú cǎo shǔ	吊球草属
diāo quán zǒng kē	雕蜷总科
diāo shí jūn kē	雕蚀菌科
diāo shí jūn shǔ	雕蚀菌属
diāo sōng shǔ shǔ	雕松鼠属
diào tǒng lán shǔ	吊桶兰属
diāo wén yóu yú	雕纹鱿鱼
diāo xiā zǒng kē	雕虾总科
diāo xióng yà kē	貂熊亚科
diào yè zhū shǔ	吊叶蛛属
diāo yīng jú shǔ	凋缨菊属
diào yú shé shǔ	钓鱼蛇属
diào zhōng huā shǔ	吊钟花属
diào zhōng liǔ shǔ	钓钟柳属
diào zhōng téng shǔ	吊钟藤属
diào zhú méi shǔ	吊竹梅属
dié bèi wā shǔ	碟背蛙属
dié dēng é shǔ	蝶灯蛾属
dié é méi shǔ	蝶蛾霉属
dié é zǒng kē	蝶蛾总科
dié hǎi zhū yú	蝶海猪鱼
dié hóng niáng yú	蝶红娘鱼
dié huā cǎo shǔ	碟花草属
dié jiǎo é kē	蝶角蛾科
dié jiǎo há shǔ	蝶铰蛤属
dié jiǎo líng kē	蝶角蛉科
dié liè lóng shǔ	蝶猎龙属
dié qiào lán shǔ	叠鞘兰属
dié wén gé shǔ	碟文蛤属
dié xíng bèi shǔ	碟形贝属
dié xíng huā kē	蝶形花科
dié zhū shù kē	叠珠树科
dié zhū shù shǔ	叠珠树属
dié zǐ tóng yú	蝶梓童鱼
dǐng bāo tái kē	顶苞苔科
dǐng bāo tái shǔ	顶苞苔属
dǐng bāo xiǎn shǔ	顶胞藓属
dǐng bāo xiǎn shǔ	顶苞藓属
dìng bāo zǎo kē	定孢藻科
dìng bāo zǎo shǔ	定孢藻属
dǐng bīng huā shǔ	顶冰花属
dīng chǐ cán shǔ	丁齿蚕属
dǐng cì zǎo kē	顶刺藻科
dīng dāng há shǔ	叮当蛤属
dīng dùn lóng shǔ	钉盾龙属
dǐng dùn lóng shǔ	顶盾龙属
dǐng gài chóng shǔ	顶盖虫属
dǐng gài luó kē	顶盖螺科
dǐng gé bāo shǔ	顶隔孢属
dīng gē hēi yú	丁哥黑鱼
dīng gōng téng shǔ	丁公藤属
dǐng guān zǎo shǔ	顶冠蚤属
dīng guǐ cǎo shǔ	丁癸草属
dīng guì yà kē	丁鱥亚科
dǐng guǒ shù shǔ	顶果树属
dǐng huā qiú shǔ	顶花球属
dīng huī bāo shǔ	钉灰包属
dǐng jī fēng shǔ	顶姬蜂属
dǐng jí lóng shǔ	顶棘龙属
dǐng jiàn shí shǔ	顶箭石属
dǐng jiāo yī kē	顶胶衣科
dǐng jīng yíng shǔ	顶茎蝇属
dǐng kǒng bèi kē	顶孔贝科
dǐng kǒng bèi shǔ	顶孔贝属
dīng kuí cǎo shǔ	丁葵草属
dǐng liè méi kē	顶裂霉科
dǐng liè méi shǔ	顶裂霉属
dǐng lín xiǎn shǔ	顶鳞藓属
dīng máo yá shǔ	钉毛蚜属
dǐng máo zǎo shǔ	顶毛藻属
dǐng náng jué shǔ	顶囊蕨属
dǐng náng jūn shǔ	顶囊菌属
dǐng náng ké shǔ	顶囊壳属
dǐng náng zǎo shǔ	顶囊藻属
dǐng nòng dié shǔ	顶弄蝶属
dǐng qún zǎo shǔ	顶群藻属
dīng shì niǎo shǔ	丁氏鸟属
dǐng sī zǎo kē	顶丝藻科
dǐng sī zǎo shǔ	顶丝藻属
dīng tóu guǒ shǔ	钉头果属
dīng tóu lóng shǔ	钉头龙属
dīng wō niú shǔ	钉蜗牛属
dìng xiā gū shǔ	定虾蛄属
dīng xiāng liǎo shǔ	丁香蓼属
dǐng xiè zhū shǔ	顶蟹蛛属
dìng xīn téng shǔ	定心藤属
dǐng xū bā shǔ	顶须鲃属
dǐng xū chóng kē	顶须虫科
dīng yǎn dié shǔ	玎眼蝶属
dīng yè é shǔ	丁夜蛾属
dǐng yè é shǔ	顶夜蛾属
dǐng yǔ jú shǔ	顶羽菊属
dǐng yù jué shǔ	顶育蕨属
dǐng zhī jūn shǔ	顶枝菌属
dǐng zhī zǎo shǔ	顶枝藻属
dīng zhuàng lóng shǔ	钉状龙属
dīng zuò cǎo shǔ	丁座草属
dīng zuò méi shǔ	疔座霉属
dōng ài xī kē	东艾西科
dōng bà wēng shǔ	鸫霸鹟属
dòng bái yǐ shǔ	动白蚁属
dòng bāo jūn kē	动孢菌科
dòng bāo jūn shǔ	动孢菌属
dōng bó sī kē	东博斯科
dòng chǐ wèi shǔ	动齿鳚属
dòng chuí lóng shǔ	洞椎龙属
dōng dà wén kē	冬大蚊科
dōng dēng é shǔ	东灯蛾属
dōng diào jì yú	冬钓鲫鱼
dòng dòng shǔ shǔ	洞洞属属
dōng é qín shǔ	东俄芹属
dōng fāng è shǔ	东方鳄属
dōng fāng guī shǔ	东方龟属
dōng fāng láng yú	东方狼鱼
dōng fāng niǎo shǔ	东方鸟属
dōng fāng shé shǔ	东方蛇属
dōng fāng tǐ shǔ	东方体属
dōng fāng xiè shǔ	东方蟹属
dōng fāng yè què	东方夜雀
dōng fēi lóng shǔ	东非龙属
dōng fēng cài shǔ	东风菜属
dōng gāng yú shǔ	冬肛鱼属
dōng gǔ qín shǔ	东谷芹属
dōng guō zǐ yú	东郭子鱼
dōng hǎi dài yú	东海带鱼
dōng hǎi shī shǔ	东海狮属
dōng hóng huā shǔ	冬红花属
dōng huá shēng kē	东华生科
dōng jiāng shòu yú	东江瘦鱼
dòng jiāo jūn kē	动胶菌科
dòng jiāo jūn shǔ	动胶菌属
dōng jīng shǔ shǔ	东京鼠属
dōng jīng tóng shǔ	东京桐属
dōng má dòu shǔ	冬麻豆属
dōng měi yuán shǔ	东美螈属
dōng náng shǔ shǔ	东囊鼠属
dōng pō biān yú	东坡鳊鱼
dòng qí diāo shǔ	洞鳍鲷属
dōng qióng lián shǔ	东蛩蠊属
dòng qiú jūn kē	动球菌科
dòng qiú jūn shǔ	动球菌属
dòng ruǐ huā shǔ	动蕊花属
dōng shēng yú shǔ	东生鱼属
dòng wù gè kē	动物各科
dòng xiōng guī kē	动胸龟科
dòng xiōng guī shǔ	动胸龟属
dòng xué yú kē	洞穴鱼科
dōng yà huáng yú	东亚鳇鱼
dōng yà píng shǔ	东亚䶄属
dòng yǎn zhū shǔ	洞厣蛛属
dōng yáng lóng shǔ	东阳龙属
dōng yáng lú kē	东洋鲈科
dōng yáng lú shǔ	东洋鲈属
dōng yè é shǔ	冬夜蛾属
dòng yè zhū shǔ	洞叶蛛属
dōng yǐ líng shǔ	东蚁蛉属
dōng yín jiāo shǔ	冬银鲛属
dōng yíng lǐ shǔ	东瀛鲤属
dōng yǔ é shǔ	冬羽蛾属
dòng yuán tái cǎo	冻原苔草
dōng zhǎo cǎo shǔ	东爪草属
dòu bàn cài shǔ	豆瓣菜属
dòu bàn lǜ shǔ	豆瓣绿属
dōu bèi lán shǔ	兜被兰属
dòu bí lóng shǔ	窦鼻龙属
dòu bīn luó shǔ	豆滨螺属
dòu chǐ lóng kē	豆齿龙科
dòu chǐ lóng shǔ	豆齿龙属
dòu chǐ mán shǔ	豆齿鳗属
dōu chóng yà kē	兜虫亚科
dòu cí xiè shǔ	豆瓷蟹属
dòu fěn dié shǔ	豆粉蝶属
dòu fu chái shǔ	豆腐柴属
dòu guī chūn shǔ	豆龟蝽属
dōu hǎi dǎn shǔ	兜海胆属
dòu huī dié shǔ	豆灰蝶属
dōu jī fēng shǔ	兜姬蜂属
dòu kǒu yú shǔ	豆口鱼属
dòu kòu zhú shǔ	豆蔻竺属
dōu kūn chóng shǔ	都昆虫属
dōu lì jú shǔ	都丽菊属
dòu mǎ bó shǔ	豆马勃属
dǒu peng xī shǔ	斗篷蜥属
dōu ruǐ lán shǔ	兜蕊兰属
dōu shā shǔ shǔ	兜沙鼠属
dòu shēng huā shǔ	豆生花属
dòu tiān é shǔ	豆天蛾属
dōu tiào zhū shǔ	兜跳蛛属
dòu wō niú kē	豆蜗牛科
dòu wō niú shǔ	豆蜗牛属
dòu xī è shǔ	斗蜥鳄属
dòu xiè zǒng kē	豆蟹总科
dòu yán jīng shǔ	豆芫菁属
dōu yè é shǔ	兜夜蛾属
dòu yè jiǎ shǔ	豆叶甲属
dōu yè xiǎn shǔ	兜叶藓属
dòu yīng chóng kē	豆缨虫科
dòu yīng chóng shǔ	豆缨虫属
dòu yú yà kē	斗鱼亚科
dòu yuān lán shǔ	豆鸢兰属
dòu zhōu é shǔ	窦舟蛾属
dù bā lún kē	杜巴伦科
dú biǎn dòu shǔ	毒扁豆属
dú chǐ nián yú	独齿鲶鱼
dú chóng yù shǔ	毒虫芋属
dú dǎo jūn shǔ	独岛菌属
dú dié yà kē	毒蝶亚科
dù dù niǎo shǔ	渡渡鸟属
dú é yà kē	毒蛾亚科
dù ěr bèi kē	杜尔贝科
dù fǔ rén kē	杜甫仁科
dù fù yú kē	杜父鱼科
dú gēn cǎo shǔ	独根草属
dù gēn téng shǔ	杜根藤属
dú gū lóng shǔ	独孤龙属
dú huā lán shǔ	独花兰属
dù huī dié shǔ	杜灰蝶属
dú huó cān shǔ	独活参属
dú jiǎo bīng yú	独角冰鱼
dú jiǎo jīng kē	独角鲸科
dú jiǎo jīng shǔ	独角鲸属
dú jiǎo lóng shǔ	独角龙属
dú jiǎo xī shǔ	独角犀属
dú jiǎo xiān kē	独角仙科
dú jiǎo xiān shǔ	独角仙属
dù jīng shān kē	杜茎山科
dù jīng shān shǔ	杜茎山属
dù juān fēng shǔ	杜鹃蜂属
dù juān huā kē	杜鹃花科
dù juān huā mù	杜鹃花目
dù juān huā shǔ	杜鹃花属
dù juān lán shǔ	杜鹃兰属
dù juān yà shǔ	杜鹃亚属
dù juān zuì yú	杜鹃醉鱼
dù kè mǎn kē	杜克螨科
dù kè mǎn shǔ	杜克螨属
dú lè guǒ shǔ	独乐果属
dú lè yù shǔ	独乐玉属
dú lì huā shǔ	独丽花属
dù liàng cǎo shǔ	度量草属
dù líng táng shǔ	渡灵螳属
dú lóu bèi kē	髑髅贝科
dú lóu bèi shǔ	髑髅贝属
dù luó xī kē	渡罗蜥科
dú mǎ cǎo shǔ	毒马草属
dù nèi chóng kē	杜内虫科
