ài shǔ	艾属
ā wèi shǔ	阿魏属
ā wén shǔ	阿蚊属
ài chǐ yú	艾齿鱼
ài é kē	艾蛾科
ǎi è yú	矮鳄鱼
āi fú shǔ	埃蜉属
āi gē shǔ	哀鸽属
ǎi gū shǔ	矮菇属
āi huáng shǔ	埃蝗属
ài jǐn shǔ	艾堇属
ǎi jīng shǔ	矮鲸属
ǎi lì yú	矮丽鱼
ǎi lú shǔ	矮鲈属
ài má shǔ	艾麻属
ǎi měng shǔ	矮獴属
ǎi táng kē	矮螳科
ǎi táng shǔ	矮螳属
ài yá shǔ	艾蚜属
ǎi yīn yú	矮荫鱼
ài zhū shǔ	艾蛛属
ān cán shǔ	桉蚕属
àn chán shǔ	暗蝉属
ān chún shǔ	鹌鹑属
àn fēng shǔ	暗蜂属
àn huí yú	暗茴鱼
ān jué shǔ	安蕨属
ān kāng mù	𩽾𩾌目
ān kāng yú	𩽾𩾌鱼
ān lán shǔ	安兰属
ān lóng kē	鞍龙科
ān lóng shǔ	鞍龙属
àn luó shǔ	暗罗属
ān qīng shǔ	安蜻属
àn wén shǔ	按蚊属
ān zhū kē	安蛛科
àn zhū kē	暗蛛科
ān zhū shǔ	安蛛属
àn zhū shǔ	暗蛛属
áng cì yú	昂刺鱼
ào bī shǔ	澳鵖属
áo fēng kē	螯蜂科
áo fú shǔ	獒蝠属
ào guī shǔ	澳龟属
ào hǔ shǔ	澳虎属
áo huā yú	鳌花鱼
ào jiāng shǔ	澳鳉属
ào lú kē	澳鲈科
ào lú shǔ	澳鲈属
āo luó shǔ	凹螺属
ào qí yú	奥奇鱼
ào qiū kē	澳楸科
ào shé shǔ	澳蛇属
ào táng shǔ	澳螳属
ào tíng kē	澳蜓科
ào wā shǔ	坳蛙属
ào xī shǔ	奥蟋属
áo xiā kē	螯虾科
áo xiā shǔ	鳌虾属
ào xuě shǔ	澳鳕属
ào yā kē	澳鸦科
ào yáng shǔ	澳杨属
ào zhāng kē	澳樟科
ào zhāng shǔ	澳樟属
bā bǎo shǔ	八宝属
bā chán shǔ	巴蟾属
bā dài yú	八带鱼
bā dài yú	八代鱼
bā dòu shǔ	巴豆属
bā gē kē	八哥科
bā gē shǔ	八哥属
bā hǔ shǔ	巴虎属
bā jiān shǔ	巴鲣属
bā jiāo kē	芭蕉科
bā jiǎo kē	八角科
bā jiāo shǔ	芭蕉属
bā jiǎo shǔ	八角属
bā jiǎo yú	八角鱼
bā làng yú	巴浪鱼
bā luò kē	巴洛科
bā mǎ kē	巴马科
bā nè kē	巴讷科
bā ní shǔ	巴鲵属
bá qiā kē	菝葜科
bá qiā shǔ	菝葜属
bā shān shǔ	巴山属
bā suǒ kē	巴索科
bā wàn mù	八腕目
bà wáng shǔ	霸王属
bā wèi yú	巴味鱼
bà wēng kē	霸鹟科
bà wēng shǔ	霸鹟属
bā xī kē	巴西科
bà yú shǔ	霸鱼属
bǎi bù kē	百部科
bǎi bù shǔ	百部属
bái chāng kē	白鲳科
bái chāng shǔ	白鲳属
bái chāng yú	白鲳鱼
bái cì kē	白刺科
bái cì shǔ	白刺属
bái dài yú	白带鱼
bái é shǔ	白蛾属
bái ěr shǔ	白耳属
bái fàn yú	白饭鱼
bái fú shǔ	白蝠属
bái gū yú	白姑鱼
bái guī shǔ	白鲑属
bái guì shǔ	白鱥属
bái hān shǔ	白蚶属
bǎi hé kē	百合科
bǎi hé mù	百合目
bǎi hé shǔ	百合属
bái huā shé	白花蛇
bái huā yú	白花鱼
bái huán shǔ	白鹮属
bái jī shǔ	白芨属
