ān fèng	安凤
hǎi gē	海哥
hái shuì	还睡
hán bēi	韩碑
hán chá	韩察
hán chuí	韩垂
hán cóng	韩琮
hán gū	寒姑
hàn guǎng	汉广
hán hóng	韩翃
hán huáng	韩璜
hán jiàng	韩绛
hán jū	韩驹
hán jùn	韩濬
hán liǔ	寒柳
hán shān	寒山
hán xī	含曦
hán xiū	韩休
hán yí	韩仪
hán yǔ	韩屿
hán zhāo	韩昭
hán zhǔn	韩准
hè cháo	贺朝
hé guǎng	河广
hé huān	合欢
hè jí	贺及
hé jìng	何敬
hé luán	何鸾
hé níng	和凝
hé xiàn	和岘
hé zàn	何赞
hèn fù	恨赋
héng mén	衡门
héng yún	横云
hóng hào	洪皓
hóng jīng	红荆
hóng kuò	洪适
hóng qíng	红情
hóu liè	侯冽
hóu méng	侯蒙
hóu zhì	侯置
hú céng	胡曾
hú fēn	胡玢
hú gǎo	胡杲
hú sù	胡宿
hú xióng	胡雄
hú yú	胡于
hù zài	扈载
hú zǎi	胡仔
hú zhèng	胡证
hú zhōu	胡州
huà sōng	画松
huái chǔ	怀楚
huáng gé	黄格
huáng gé	黄革
huáng jī	黄机
huáng lín	黄麟
huáng pō	黄颇
huáng sǔn	黄损
huáng tán	黄谈
huáng tāo	黄滔
huáng tóng	黄童
huáng zǎi	黄宰
huáng zài	黄载
huáng zhū	黄铢
huáng zhù	黄铸
huì ān	晦庵
huì hóng	惠洪
huì jì	慧寂
huì xuān	慧宣
huì zhī	晦之
huì zhī	讳之
hún tuō	浑脱
huò zǒng	霍总
jì biàn	既辨
jiǎ céng	贾曾
jiǎ chí	贾驰
jiǎ dǎo	贾岛
jiǎ léng	贾棱
jiā sè	佳色
jiǎ yì	贾奕
jiǎ yīng	贾应
jiǎ zhì	贾至
jiǎ zōng	贾宗
jiǎn lán	减兰
jiàn táng	鉴堂
jiǎn xī	简兮
jiǎng càn	蒋璨
jiāng fēi	江妃
jiǎng huàn	蒋涣
jiǎng jí	蒋吉
jiāng jiǎo	姜皎
jiāng kāi	江开
jiǎng liè	蒋冽
jiāng mào	江袤
jiǎng tǐng	蒋挺
jiāng wéi	江为
jiāng wěi	江纬
jiāng wú	江无
jiāng xī	姜晞
jiāng yǎn	江衍
jiāo liáo	椒聊
jiǎo tóng	狡童
jiāo yù	焦郁
jiě hóng	解红
jiē hū	嗟乎
jiě wǎn	解琬
jìn yān	禁烟
jǐng chí	景池
jīng rén	荆人
jīng shū	荆叔
jīng tāng	京镗
jìng xiǎn	净显
jìng yuán	净圆
jìng zhōu	竞舟
jiǔ jiā	九佳
jiū mù	樛木
jiǔ qīng	九青
jiǔ tài	九泰
jiǔ xiè	九屑
jiǔ xiè	九蟹
jiǔ yù	九罭
jiǔ yuān	九渊
jú wēng	菊翁
jūn yuē	君曰
kǎi gē	凯歌
kāng pián	康骈
kǎo pán	考槃
kē chóng	柯崇
kě lóng	可隆
kě péng	可朋
kē yuán	柯原
kè zhì	客至
kǒng jǔ	孔矩
kǒng yí	孔夷
kòu cǐ	寇泚
kòu zhí	寇埴
kòu zhǔn	寇准
kuáng zuì	狂醉
lái hú	来鹄
láng bá	狼跋
lè lìng	乐令
lè shì	乐世
lè wǎn	乐婉
lèi yuè	酹月
lǐ bì	李壁
lǐ bó	李搏
lǐ bō	李播
lǐ bó	李渤
lǐ cén	李岑
lǐ chéng	李憕
lǐ chì	李赤
lǐ dé	李得
lǐ dòng	李洞
lǐ duān	李端
lí féng	黎逢
lǐ gān	李甘
lǐ gōng	李肱
lǐ hàn	李瀚
lǐ hé	李何
lǐ huí	李回
lǐ jiàng	李绛
lǐ jié	李结
lǐ jié	李节
lǐ jiǔ	李玖
lǐ kàng	李伉
lǐ kuí	李夔
lǐ kuò	李廓
lǐ liàng	李谅
lǐ lìng	李令
lí luán	离鸾
lǐ lǚ	李吕
lǐ mì	李秘
lǐ míng	李溟
lǐ nài	李鼐
lǐ péng	李彭
lǐ pín	李频
lǐ pǔ	李朴
lǐ qí	李颀
lǐ qián	李潜
lǐ qiáo	李峤
lǐ qiú	李璆
lǐ qú	李衢
lǐ sháo	李韶
lì shè	利涉
lǐ shēn	李深
lǐ shēn	李绅
lǐ shōu	李收
lǐ shū	李纾
lǐ sǒng	李竦
lǐ wò	李渥
lǐ xí	李习
lǐ xiá	李暇
lǐ xián	李咸
lǐ xiàn	李岘
lǐ xù	李序
lǐ xù	李续
lǐ xún	李旬
lǐ xún	李询
lǐ yào	李曜
lǐ yě	李冶
lǐ yè	李邺
lǐ yì	李乂
lǐ yì	李亿
lǐ yí	李嶷
lǐ yì	李益
lǐ yīng	李婴
lǐ yǐng	李郢
lǐ yíng	理莹
lǐ yǔ	李屿
lǐ yǔ	李羽
lǐ yú	李虞
lǐ yuàn	李愿
lǐ zhāng	李漳
lǐ zhěng	李拯
lǐ zhì	李骘
lǐ zhòu	李昼
lǐ zhòu	李胄
lián shì	廉氏
liáng lìng	梁令
liáng qià	梁洽
liáng sī	凉思
liáng xiàn	梁献
liáng xuàn	梁铉
liáng zhèn	梁震
liǎo é	蓼莪
liào níng	廖凝
liǎo xiāo	蓼萧
lín chún	林淳
lín fán	林璠
lín gé	林革
lín kuān	林宽
lín kūn	林琨
lín sōng	林嵩
lín wài	林外
lín xǔ	林珝
lín yǎng	林仰
lín zǎo	林藻
lín zī	林滋
líng zhǔn	灵准
liú bāo	刘褒
liǔ céng	柳曾
liú chā	刘叉
liú chǎng	刘敞
liú dào	刘焘
liú dòng	刘洞
liú fān	刘蕃
liǔ féng	柳逢
liú fù	刘复
liú fù	刘阜
liǔ fù	柳富
liú gāo	刘皋
liú gēng	刘耕
liú gǒng	刘珙
liú gǔ	刘谷
liú hàng	刘沆
liú huǎng	刘晃
liǔ hún	柳浑
liú jǐ	刘几
liú jì	刘洎
liú jì	刘济
liú jià	刘驾
liú jiā	留家
liú jiān	刘兼
liú jiǎn	刘戬
liú jiàn	刘鉴
liú jīng	刘泾
liú jiǒng	刘迥
liú jùn	刘浚
liú kē	刘轲
liú kuí	刘暌
liú kuò	刘廓
liù má	六麻
liú mào	刘袤
liǔ mì	柳泌
liú qí	刘錡
liú qián	刘潜
liú shāng	刘商
liú shù	刘述
liú sǔn	刘损
liú tǎn	刘坦
liǔ táng	柳棠
liú tián	刘畋
liú wàng	刘望
liú xiàn	刘宪
liú xiàng	刘象
liú yán	刘炎
liú yè	刘邺
liú yǐ	刘乙
liù yīng	六英
liù yǔ	六语
liù yú	六鱼
liù yuè	六月
liǔ yùn	柳恽
liú zàn	刘赞
liú zào	刘皂
liú zhōu	刘舟
lóu cǎi	楼采
lóu yǐng	楼颖
lù áo	陆翱
lú chǔ	卢储
lù diào	录调
lù guàn	路贯
lù huá	露华
lù jiān	陆坚
lù jìng	陆敬
lú jūn	卢钧
lù kǎi	陆凯
lú lìng	卢令
lú lún	卢纶
lú pián	卢骈
lú pín	卢频
lù píng	陆凭
lú qún	卢群
lù ruì	陆叡
lǔ shōu	鲁收
lú wò	卢渥
lú xiàng	卢象
lú xié	卢携
lú yīn	卢殷
lù yùn	陆蕴
lú zhào	卢肇
lú zhēn	卢真
lú zhēn	卢贞
lú zhēng	卢征
lú zhù	卢注
lú zhuàn	卢僎
lù zǐ	陆子
luán qīng	栾清
luó chūn	罗椿
luó jiǒng	罗炯
luò jùn	骆浚
luó qiú	罗虬
luó ràng	罗让
luó tài	罗泰
luó xiàng	罗珦
luó yè	罗邺
luó yǐn	罗隐
luò yuè	落月
lǚ jià	吕价
lǚ jiǒng	吕炅
lǚ mù	吕牧
lǚ qún	吕群
lǚ ràng	吕让
lǚ sù	旅宿
lǚ wèi	吕渭
lǚ wēn	吕温
lǜ yāo	绿腰
lǜ yì	绿意
mǎ dài	马戴
mǎ féng	马逢
mǎ lìng	马令
mǎ xiāng	马湘
mǎ yì	马乂
mǎ yì	马异
mǎ yù	马彧
mǎ zhōu	马周
máo bìng	毛并
máo qiū	旄丘
méi chuāng	梅窗
méi jiāo	梅娇
méi niáng	眉娘
méi pō	梅坡
mèng áo	孟翱
mèng chí	孟迟
mèng jiǎn	孟简
mèng jiāo	孟郊
mèng jǐng	梦井
mèng qǐ	孟启
mèng qiú	孟球
mèng shǒu	孟守
mèng xiáng	孟翔
miǎn shuǐ	沔水
miáo fā	苗发
mǐn yú	悯馀
míng lì	冥吏
míng suō	鸣梭
mò méng	莫蒙
móu róng	牟融
mù shēng	木声
mù yōu	慕幽
mǔ yuē	母曰
nán zhuó	南卓
ní chēng	倪偁
nián bǎn	年版
níng huà	宁化
niú cóng	牛丛
niú jiào	牛峤
pái gē	排歌
pān fāng	潘牥
pān táng	潘唐
pān tú	潘图
pān yán	潘炎
pān yōng	潘雍
pān yòu	潘佑
páng jí	庞籍
páng yùn	庞蕴
péi chè	裴澈
péi chéng	裴诚
péi dá	裴达
péi dí	裴迪
péi fān	裴翻
péi háng	裴航
péi hào	裴皞
péi lín	裴潾
péi lüè	裴略
péi shū	裴淑
péi shuō	裴说
péi xiāng	裴湘
péi xíng	裴铏
péi xiū	裴休
péi xū	裴谞
péi yán	裴延
péi yáo	裴瑶
péng chán	彭蟾
pǐn lìng	品令
pín nǚ	贫女
píng céng	平曾
píng yùn	平韵
pò dí	破笛
pò shào	破邵
qí ào	淇奥
qī bái	栖白
qī chán	栖蟾
qí fù	祈父
qǐ hù	绮户
qí huàn	齐浣
qí jǐ	齐己
qī lǜ	七律
qǐ rén	岂人
qī yáng	七阳
qī yī	栖一
qī yú	七虞
qī yù	七遇
qiān guāng	谦光
qián kāng	乾康
qián qǐ	钱起
qiān shang	褰裳
qián xìn	钱信
qián xǔ	钱珝
qiáo jí	乔吉
qiáo kǎn	乔侃
qiáo shùn	乔舜
qín diào	琴调
qín gē	琴歌
qín jiā	秦嘉
qín wěi	溱洧
qín zhàn	秦湛
qīng bēi	倾杯
qíng cí	情词
qīng liú	清流
qīng xī	青溪
qīng yún	卿云
qióng tái	琼台
qiū dān	丘丹
qiū gē	秋歌
qiū shuǐ	秋水
qiū shuō	丘说
qiū wéi	丘为
qiū wéi	邱为
qiū yuè	丘悦
qú wēng	臞翁
qū yuán	屈原
quán shěn	权审
quàn zuì	劝醉
què dào	却道
quē tí	阙题
rèn fān	任翻
rèn huá	任华
rén shì	任氏
rèn yào	任要
rèn zuì	任醉
rì yù	日喻
róng yīn	荣諲
róng yù	戎昱
rǔ fén	汝坟
rù sāi	入塞
rù sòng	入宋
ruǎn yǔ	阮瑀
ruǎn yuè	阮阅
ruì huī	芮辉
ruì yè	芮烨
rùn yì	润益
sāi gū	塞姑
sāi mǎ	塞马
sài shén	赛神
sān jiàng	三绛
sān tàn	三叹
sān yáo	三肴
sāng zhōng	桑中
shàn shēng	善生
shàn zhēn	善珍
shàng yán	尚颜
shāng zé	商则
shào biàn	哨遍
shào bó	邵博
shào jǐng	邵景
shào nán	召南
shào shēng	邵升
shào yè	邵谒
shào zhēn	邵真
shēn huān	申欢
shěn huí	沈回
shěn huī	沈徽
shěn huì	沈晦
shèn shì	慎氏
shěn sòng	沈颂
shěn wèi	沈蔚
shěn yán	沈颜
shén yǐng	神颖
shěn yǔ	沈宇
shén zàn	神赞
shèng cháng	胜常
shěng lì	省吏
shǐ fèng	史凤
shí guà	十卦
shí guàn	石贯
shǐ hái	使还
shí huī	十灰
shí kè	石恪
shí lín	石麟
shǐ shēn	史深
shì xī	是夕
shǐ yán	史延
shí yào	十药
shǐ yú	史愚
shì yǔ	室语
shí zhào	石召
shí zhēng	十蒸
shū fèn	书愤
shū shì	舒氏
shuāng diào	双调
shuāng jiàn	双渐
shuǐ diào	水调
shuí yǔ	谁与
shuò rén	硕人
sī gàn	斯干
sì háo	四豪
sì mǔ	四牡
sì tiě	驷驖
sì zhǐ	四纸
sì zhì	四质
sòng bié	送别
sòng dí	宋迪
sòng dǐng	宋鼎
sòng jì	宋济
sòng wǎn	宋琬
sòng yōng	宋雍
sòng yù	宋昱
sòng yuàn	宋媛
sōng zhōu	松洲
sù fǔ	宿府
sù guān	素冠
sū guī	苏瑰
sū huàn	苏涣
sū jiǎn	苏检
sū jiǒng	苏泂
sū wǎn	苏绾
sū wǔ	苏武
sū yù	苏寓
sū yù	苏郁
sū yún	苏芸
sū zhěng	苏拯
suí gōng	隋宫
suì rì	岁日
sūn dìng	孙定
sūn fáng	孙鲂
sūn gé	孙革
sūn gù	孙顾
sūn hé	孙合
sūn quán	孙佺
sūn ruì	孙锐
sūn wěi	孙纬
sūn wò	孙偓
sūn xián	孙咸
sūn xiàn	孙岘
suǒ jiǔ	索酒
tà yuè	踏月
tán qiào	谭峭
tán qín	弹琴
táng bèi	唐备
táng fú	唐扶
táng gēng	唐庚
tāng huī	汤恢
táng lǐn	唐廪
táng xuān	唐暄
táng yí	唐怡
tāng yuè	汤悦
táo hàn	陶翰
táo yōng	陶雍
téng bái	滕白
téng mài	滕迈
téng ní	滕倪
tián chéng	田澄
tián é	田娥
tián zhāng	田章
tiáo xiào	调笑
tíng liáo	庭燎
tíng shí	庭实
tīng zhēng	听筝
tóng gōng	彤弓
tù jū	兔罝
tù sī	兔丝
tù yuán	兔爰
tuò xī	萚兮
wàn chǔ	万楚
wán lán	芄兰
wǎn qiū	宛丘
wáng biǎo	王表
wáng bō	王播
wáng cāng	王苍
wáng chén	王谌
wáng chuò	王绰
wāng cún	汪存
wáng dí	王涤
wáng dìng	王铤
wáng gēng	王庚
wáng guī	王硅
wáng hàn	王翰
wáng huàn	王涣
wāng jí	汪极
wáng jiàn	王建
wáng jìn	王缙
wáng jiǒng	王迥
wáng jū	王琚
wáng kuí	王揆
wáng lán	王澜
wáng liào	王镣
wáng lìng	王令
