ān fèng	安凤
guò hòu mǎi yīng nán	过后买应难
guō hóu wèi xiāng shí	郭侯未相识
guò huái fāng cǎo xiē	过淮芳草歇
guò huái fēng qì qīng	过淮风气清
guò huái shān jiàn hǎo	过淮山渐好
guó huì rén wáng fǎ	国会人王法
guò huì zǐ zhī mù	过惠子之墓
guó jì ān néng yǐ	国计安能已
guò jǐ qiān hán rè	过几千寒热
guō jiā bài sōng qiū	过家拜松楸
guó jiā cǎo mèi chū	国家草昧初
guó jiā dìng liǎng shuì	国家定两税
guó jiā fǎ lìng zài	国家法令在
guō jiā fù lǎo xǐ	过家父老喜
guǒ jiàn lún wáng zú	果渐轮王族
guò jiàn zhāi líng cǎo	过涧摘灵草
guò jiāng cháng kǔ chí	过江常苦迟
guò jiāng qiān chǐ làng	过江千尺浪
guò jiāng qiū sè zài	过江秋色在
guò jiāng shì liú shuǐ	过江誓流水
guò jiāng yún mǎn lù	过江云满路
guō jiě ān dé pín	郭解安得贫
guō jiě àn xiāng tōng	郭解暗相通
guò jìn chóng chóng wū	过尽重重屋
guò jìn qiān fēng yǐng	过尽千峰影
guò jìn wàn zhū táo	过尽万株桃
guò jiǔ jiā yǐn jiǔ	过酒家饮酒
guò jiǔ xiǎo chuāng zhōng	过酒小窗中
guò jiǔ yù xiān xiān	过酒玉纤纤
guò jiù zhái èr shǒu	过旧宅二首
guò jǔ jí xiǎo rén	过举及小人
guó jù liú jīn shěng	国惧流金眚
guò jūn zhù bì páo	过君著敝袍
guò kè dú shān rán	过客独潸然
guò kè lái zì běi	过客来自北
guò kè lǎn xíng yáo	过客览行谣
guò kè màn zhū lún	过客漫朱轮
guò kè shè cí jì	过客设祠祭
guò kè shī nán hǎo	过客诗难好
guò kè zhī hé dào	过客知何道
guò kè zhù zhēng xuān	过客驻征轩
guò kè zú chēn xǐ	过客足嗔喜
guō kuí cán wú jùn	郭隗惭无骏
guō kuí chí tái chù	郭隗池台处
guō kuí huáng jīn jùn	郭隗黄金峻
guǒ kuì yī qiū tǔ	果媿一丘土
guō kuí zhì yuè yì	郭隗致乐毅
guǒ lái yí lǎo sǒu	果来遗老叟
guò lǎn cóng yī jié	过懒从衣结
guō láng ér jìn pāi	郭郎儿近拍
guò lǎo bù bēi shāng	过老不悲伤
guó lǎo jiàn xīng jīng	国老见星精
guò le huáng yáng jiè	过了黄洋界
guō lǐ shù qīn hú	郭里树侵湖
guó lián cháo shì yì	国怜朝市易
guǒ liáng gù tíng cǎo	裹粮顾庭草
guǒ liáng kōng rù qín	裹粮空入秦
guǒ lín yú kǔ lǐ	果林馀苦李
guò lǐng yuán tí nuǎn	过岭猿啼暖
guò lǐng zhuó tān quán	过岭酌贪泉
guò lǒng zì jiān nán	过陇自艰难
guò lóu zhù fěn yán	过楼助粉妍
guǒ lù jù yòng xǔ	果录讵用许
guó lüè dǐng hú páng	虢略鼎湖旁
guó mǎ jié sù dòu	国马竭粟豆
guò méi zhǔ zhàng bān	过眉拄杖斑
guò mén bù wǒ jiàn	过门不我见
guò mén cháng pán xuán	过门常盘旋
guó mén chē mǎ huì	国门车马会
guō mén cóng cǐ qù	郭门从此去
guò mén gù liǔ xián	过门故柳闲
guó mén lián dà jiāng	国门连大江
guō mén lín dù tóu	郭门临渡头
guó mén shuì zhēng jià	国门税征驾
guó mén yáo tiān wài	国门遥天外
guō mén yǐn fēng àn	郭门隐枫岸
guò mén zhū shòu xīn	过门朱绶新
guò méng liáng shí xìng	过蒙良时幸
guó mìng jǐn chē chuán	国命锦车传
guó mìng xuán gē shū	国命悬哥舒
guō mò ruò yuán shī	郭沫若原诗
guō nán chǔ shì zhái	郭南处士宅
guó nàn shēn bù xíng	国难身不行
guō nán yún shuǐ jiā	郭南云水佳
guò pān èr shí suì	过潘二十岁
guó pò shān hé zài	国破山河在
guó pò wú jiā xìn	国破无家信
guō pú fù yóu xiān	郭璞赋游仙
guō pú yàn yōu jīng	郭璞验幽经
guó qì fāng jiàn dǐ	国器方荐砥
guó qì gōng qǐ zǐ	国器攻杞梓
guò qì jué tiān dī	过碛觉天低
guò qì péi yì rén	过憩裴逸人
guǒ qì shí bù xiē	果气时不歇
guó qì wàn xún zhēn	国器万寻桢
guó qì wú děng shuāng	国器无等双
guò qì zhōng yǒng rì	过憩终永日
guò qiáo fēn yě sè	过桥分野色
guǒ qiè má gū yán	果惬麻姑言
guò qiū tiān gèng nuǎn	过秋天更暖
guō qù bàn zhōu xián	郭去半舟闲
guò qù yǎo nán pān	过去杳难攀
guò qù yǐ guò qù	过去已过去
guǒ rán bù zhī huán	果然不知还
guǒ rán pí shèng jǐn	果然皮胜锦
guǒ rán qiè suǒ shì	果然惬所适
guǒ rán shí mén kāi	果然石门开
guǒ rán tián chéng zǐ	果然田成子
guǒ rán tiān wǎng shū	果然天网疏
guǒ rán wú suǒ qiú	果然无所求
guǒ rán yòu jī zhí	果然又羁絷
guó rén shā zhī yě	国人杀之也
guó rén sī fù jú	国人思负局
guó rén xián guǎ hé	国人咸寡和
guó róng hé hè rán	国容何赫然
guò rú pī lì máng	过如霹雳忙
guò sān gēng jiào xī	过三更较稀
guó sè dài huá diān	国色待华颠
guò shān chéng là jī	过山乘蜡屐
guò shēn cán lù zài	过深惭禄在
guō shēng běn jiāng zhǒng	郭生本将种
guò shí bèi jué yán	过时倍觉妍
guó shì bǐng shéng mò	国士秉绳墨
guò shí bù dé chú	过时不得锄
guó shì chéng bù chéng	国事成不成
guó shǐ chéng yáo qù	国使乘轺去
guò shí dú xiù nán	过时独秀难
guó shì fēn rú cǐ	国士分如此
guò shí huā yù yán	过时花欲妍
guó shì huái zhū yù	国士怀珠玉
guó shì jí rén bìng	国士急人病
guò shí jiàn lán huì	过时见兰蕙
guǒ shí jīng qiān suì	果实经千岁
guó shì jiǔ dǐng dìng	国势九鼎定
guó shì jué cún wáng	国事决存亡
guò shí jūn wèi shǎng	过时君未赏
guó shì láo xiāng wèn	国士劳相问
guó shǐ méi sāng gān	国使没桑干
guò shí qí bú jìn	过石奇不尽
guò shí rú fā kǒu	过时如发口
guò shí suī bù cǎi	过时虽不采
guǒ shì tái zhōng jiù	果是台中旧
guò shì wú wú qiú	过是吾无求
guó shì wú yǔ shuāng	国士无与双
guó shì xiāng gù xǐ	国士相顾喜
guò shī yóu chéng wáng	过失由成王
guǒ shú rèn shuāng fēng	果熟任霜封
guò shù yuè xīn fāng	过树阅新芳
guò shuǐ dié fēi yáng	过水蝶飞扬
guò shuǐ dié yōu yáng	过水蝶悠飏
guò shuǐ lüè quán yú	过水略泉鱼
guǒ sī xià lái mào	果思夏来茂
guò sòng rén yīng shǎo	过宋人应少
guǒ suì píng shēng qù	果遂平生趣
guó tài shì liú hòu	国泰事留侯
guó tǐ zhēn sān dài	国体真三代
guó tián liú gǔ zhái	虢田留古宅
guò tiān xīng sì jiàn	过天星似箭
guō tíng chuán jí fú	郭亭传急符
guò tíng duō lìng zǐ	过庭多令子
guò tíng gèng xué shī	过庭更学诗
guò tīng jūn wù yǐ	过听君误矣
guò tíng ruò yǒu wèn	过庭若有问
guò tíng wén lǐ rì	过庭闻礼日
guǒ tóu shù qí yāo	裹头束其腰
guō wài jìn shān cuì	郭外晋山翠
guō wài qiū shēng jí	郭外秋声急
guō wài shān sè míng	郭外山色暝
guō wài shì huáng hé	郭外是黄河
guō wài yíng rén yuè	郭外迎人月
guǒ wǎng dōng zhān chàng	果枉东瞻唱
guó wáng jūn yǐ zhí	国亡君已执
guó wáng shēn bù cún	国亡身不存
guǒ wǎng yáo huá piān	果枉瑶华篇
guó wēi bú zì chǒng	国微不自宠
guǒ wéi wù wài qiān	果为物外牵
guó wéi xiàng jí tú	国为项籍屠
guó wéi xiū zhēng xuǎn	国为休征选
guò wǒ huáng lóu xià	过我黄楼下
guò wǒ péng hāo lú	过我蓬蒿庐
guò wǒ qín bǐng zhú	过我勤秉烛
guò wǒ yán bù shí	过我言不食
guò wǒ zhū gōng zǐ	过我诸公子
guò wǔ fāng shǐ fàn	过午方始饭
guò wǔ shǐ shū tóu	过午始梳头
guò wǔ shí zhé yē	过午食辄噎
guò xì mìng xuán zhōng	过隙命旋终
guò xì yǐng nán zhuī	过隙影难追
guǒ xià huí xiān qí	果下回仙骑
guò xià yī xiāng rùn	过夏衣香润
guó xiāng lán yǐ xiē	国香兰已歇
guó xiāng tái héng zhòng	国相台衡重
guò xiāng yàn zǎo guī	过湘燕早归
guò xiáng yù ruì péi	过祥玉瑞陪
guó xiāng yūn cuì wò	国香煴翠幄
guó xiǎo cháng duō shì	国小常多事
guò xiāo zī xiǎng liàng	过箫资响亮
guò xīn fēng liè jì	过新丰猎骑
guó xū xíng zhàn fá	国须行战伐
guō xū zhōu xiāng fǎng	郭虚舟相访
guō xuē jù cái xián	郭薛俱才贤
guò xuě shān sēng zhì	过雪山僧至
guó yà zhōng jūn shǎo	国讶终军少
guò yǎn bù róng wán	过眼不容玩
guò yán chǔ shì mù	过颜处士墓
guò yàn cuī rén lǎo	过雁催人老
guò yǎn děng cí jí	过眼等茨棘
guò yǎn jīng chū xià	过眼惊初夏
guò yǎn jīng xīn mèng	过眼惊新梦
guò yǎn rú luàn yún	过眼如乱云
guò yǎn ruò fēi báo	过眼若飞雹
guò yáng zǐ jiāng xīn	过扬子江心
guǒ yào fā yú róng	果药发馀荣
guǒ yào luó qì xià	果药罗砌下
guǒ yào zá fēn fū	果药杂芬敷
guó yǐ chóng míng shòu	国以重明受
guò yì fān fēng yǔ	过一番风雨
guǒ yǐ fú míng wù	果以浮名误
guó yǐ mín wéi běn	国以民为本
guó yǐ sī wén zhòng	国以斯文重
guó yǐ tuī xián dá	国以推贤答
guò yīn chán hòu zhòng	过因谗后重
guò yǐng xīng mí qīng	过郢兴弥清
guó yòng shàn qín zhōng	国用赡秦中
guó yòng yōu qián gǔ	国用忧钱谷
guó yòng zī róng shì	国用资戎事
guó yǒu ān yì xī	国有安乂兮
guó yǒu dà chén qì	国有大臣器
guó yǒu fēi cháng chǒng	国有非常宠
guó yǒu qián kūn dà	国有乾坤大
guò yǒu sòng zhī yě	过有宋之野
guǒ yǒu xiāng sī zì	果有相思字
guǒ yǒu zāo féng shí	果有遭逢时
guō yǔ chén jì yōu	郭与陈季优
guò yǔ chēng zhī rùn	过雨柽枝润
guó yǔ dà míng xīn	国与大名新
guò yǔ huā mò mò	过雨花漠漠
guò yǔ kàn sōng sè	过雨看松色
guò yǔ lì zhī xiāng	过雨荔枝香
guò yǔ luàn hóng qú	过雨乱红蕖
guō yù míng sì nán	郭玉明四难
guò yǔ sè piān shēn	过雨色偏深
guǒ yǔ shì rén shū	果与世人疏
guǒ yuàn xīn yīng shú	果院新樱熟
guǒ yuán xīn yǔ hòu	果园新雨后
guò yuè hóng zhēng yuǎn	过月鸿争远
guó yuè hū lián pèi	国乐呼联辔
guò yuè wáng gōng mén	过阅王公门
guò yún xún shì zǐ	过云寻释子
guó zài duō jiān rì	国在多艰日
guò zài yī kuì zhǐ	过在一篑止
guò zé wù dàn gǎi	过则勿惮改
guó zhāng róng yìn shòu	国章荣印绶
guò zhào shòu qián nú	过赵受钳奴
guò zhě bù wǒ gù	过者不我顾
guò zhě lín qí qì	过者临岐泣
guò zhě shì qí fān	过者式其藩
guò zhě zhé cāng cù	过者辄仓卒
guō zhèn qǐ tōng quán	郭振起通泉
guó zhèng yì huāng yín	国政亦荒淫
guó zhī běn zài jiā	国之本在家
guò zhī bù gǎn màn	过之不敢慢
guǒ zhī dī ǎn ǎn	果枝低罯罯
guò zhī ér bù shǒu	过之而不守
guó zhī suǒ cún zhě	国之所存者
guǒ zhī xiōng wèi lái	果知兄未来
guǒ zhì yán rú yù	果掷颜如玉
guǒ zhòng niǎo xiān qiān	果重鸟先鵮
guó zhōng xīn xià lìng	国中新下令
guǒ zhōu nán chōng xiàn	果州南充县
guò zhú lì rén xī	过竹吏人稀
guó zhuàn luó fāng xìn	国馔罗芳衅
guò zhuàng nián yǐ wǔ	过壮年已五
guò zǐ xiá lán rě	过紫霞兰若
guó zū róng kè lǚ	国租容客旅
guō zuì suì fēi xióng	郭最遂非雄
guó zuǒ tóng shí yǔ	国佐同时雨
há ma dé qí zhì	虾蟆得其志
há ma dòng bàn lún	虾蟆动半轮
há ma shí míng yuè	虾蟆蚀明月
há zhū féng yuè tǔ	蛤珠冯月吐
hǎi àn chū jiāo zhǐ	海岸出交趾
hǎi àn gēng cán xuě	海岸耕残雪
hǎi àn sān shān yǔ	海暗三山雨
hǎi àn wàng qīng suǒ	海岸望青琐
hǎi àn yún wú yè	海暗云无叶
hǎi àn zá guāng suì	海岸杂光碎
hái bèi hǎo fēng cuī	还被好风催
hái bēi hòu huì yáo	还悲后会遥
hái bēi mù yè shēng	还悲木叶声
hái bēi yuǎn jià rén	还悲远嫁人
hái bǐ bào qióng fāng	还比报琼芳
hái bǐ xiāng sī yì	还比相思意
hái bì xiāng yíng qǔ	还必相迎取
hǎi biān céng xiá niǎo	海边曾狎鸟
hǎi biān féng gū shè	海边逢姑射
hǎi biàn tián yīng zào	海变田应燥
hǎi biān xún bié shù	海边寻别墅
hǎi biān yōng zhú chòu	海边慵逐臭
hǎi bō xiān ruò jìng	海波先若镜
hái bù bái fǔ jūn	还部白府君
hái cǎi jiù shān wēi	还采旧山薇
hái cán dà yǐn jì	还惭大隐迹
hái cán fǔ bā shān	还惭抚八埏
hái cān lì qǔ yú	还参丽曲馀
hái cān zhù shòu piān	还参祝寿篇
hài chá tián xiǎo shì	亥茶阗小市
hái chàng bái yún xīn	还畅白云心
hái chàng shí tán gē	还唱石潭歌
hái cháo méng jiē shí	还朝蒙嗟识
hái cháo rú mèng zhōng	还朝如梦中
hǎi cháo suí yuè dà	海潮随月大
hǎi cháo yè yuē yuē	海潮夜约约
hǎi cháo yì kě liàng	海潮亦可量
hǎi cháo yǔ chūn mèng	海潮与春梦
hái chéng běi gù yóu	还成北固游
hái chéng dào àn fú	还成到岸桴
hái chēng èr qiān dàn	还称二千石
hái chéng jí fǔ sòng	还成吉甫颂
hái chéng xiǎo lóu dié	还乘小艛艓
hái chéng zhèng xiǎo sì	还乘郑小驷
hái chí cì shǐ jié	还持刺史节
hái chí jīn suì sè	还持今岁色
hái chí jīn zuò yìn	还持金作印
hái chí jùn zhāi jiǔ	还持郡斋酒
hái chí lù pí jǐ	还持鹿皮几
hái chī mào líng kè	还嗤茂陵客
hái chí qiān rì zuì	还持千日醉
hái chī wèi bīn sǒu	还嗤渭滨叟
hái chí yì bēi jiǔ	还持一杯酒
hái chóu dú sù yè	还愁独宿夜
hái chóu sān jìng wǎn	还愁三径晚
hái chū dì xiāng lái	还出帝乡来
hái chún huà shàng kuī	还淳化尚亏
hái chún píng zhòu jiǔ	还醇凭酎酒
hái cǐ běi chuāng sù	还此北窗宿
hái cí jùn yì xuān	还辞郡邑喧
hái cì shàng fāng xì	还赐上方舄
hái cǐ tīng sōng fēng	还此听松风
hái cóng bì mǎ lù	还从避马路
hái cóng cǐ bié lí	还从此别离
hái cóng dài fū hòu	还从大夫后
hái cóng fāng shì yóu	还从方士游
hái cóng gǔ gōng jùn	还从股肱郡
hái cóng guǎng mò guī	还从广陌归
hái cóng hàn què xià	还从汉阙下
hái cóng hǎo jué mí	还从好爵縻
hái cóng jìng zhōng qǐ	还从静中起
hái cóng jiù lù guī	还从旧路归
hái cóng jué dì yí	还从绝地移
hái cóng liǔ shàng guī	还从柳上归
hái cóng rù jīng huá	还从入京华
hái cóng shì sú qù	还従世俗去
hái cóng wǎng xiàng lái	还从罔象来
hái cóng yù shǐ dàn	还从御史弹
hái cóng zhuó zhī hòu	还从濯枝后
hǎi dài cí fēng jié	海岱词锋截
hái dài èr xīng huí	还待二星回
hái dài gù rén lái	还待故人来
hǎi dài jù bēng bēn	海岱俱崩奔
hǎi dài yīng líng qì	海岱英灵气
hái dàn yuè fǔ qǔ	还弹乐府曲
hái dāng bǔ lú yú	还当捕鲈鱼
hái dāng cǎi shí jú	还当采时菊
hái dāng fú fēn jìn	还当拂氛祲
hái dāng hòu yuán yuè	还当候圆月
hái dāng jiàn wáng càn	还当见王粲
hái dāng kuí huò zhì	还当葵霍志
hái dāng kùn yán rè	还当困炎热
hái dāng míng yuè yè	还当明月夜
hái dāng rì qiān jīn	还当日千金
hái dāng shǒu gù jiōng	还当守故扃
hǎi dāng tíng liǎng miàn	海当亭两面
hái dāng tuì shí chū	还当退食初
hái dāng xī cú jǐng	还当惜徂景
hái dāng yǎn jùn gé	还当掩郡阁
hái dāng yàn líng gé	还当宴铃阁
hái dāng yì dān chí	还当翊丹墀
hái dāng yǐ dào tuī	还当以道推
hái dāng zá xíng yǔ	还当杂行雨
hái dāng zǐ xiāo shàng	还当紫霄上
hǎi dǎo tián héng zhù	海岛田横住
hái dào yǒu qíng wú	还道有情无
hái děi kòu xuán jiōng	还得叩玄扃
hái děi sì qiáo yú	还得似樵渔
hái děi xǐ chén yán	还得洗尘颜
hái děi yī mén lán	还得依门栏
hái dēng jiàn lǐ shǔ	还登建礼署
hǎi dǐ fān wú shuǐ	海底翻无水
hǎi dǐ mì xiān rén	海底觅仙人
hǎi dǐ yǒu lóng zhū	海底有龙珠
hái dǔ shàng huáng nián	还睹上皇年
hái dǔ sòng shēng xīn	还睹颂声新
hái duì chā zhū yú	还对插茱萸
hái duì dú shū yǒu	还对读书牖
hái duì jú huā cóng	还对菊花丛
hái duì táo lǐ yīn	还对桃李阴
hǎi duì yáng chéng kuò	海对羊城阔
hái duì yù fēn jīn	还对欲分襟
hái fàn shí xún shāng	还泛十旬觞
hǎi fān yí lǐ xiàng	海翻移里巷
hái fàn yì qián zhōu	还泛驿前舟
hǎi fān yòu yù zhāng	海帆又欲张
hái fēi sòng bié yú	还飞送别盂
hǎi fēng chè jīn jǐ	海风掣金戟
hǎi fēng chuī bú duàn	海风吹不断
hǎi fēng chuī hēi rén	海风吹黑人
hǎi fēng chuī liáng mù	海风吹凉木
hǎi fēng chuī wèi níng	海风吹未凝
hǎi fēng dōng nán lái	海风东南来
hái fèng shèng míng jūn	还奉圣明君
hái féng shì lì nián	还逢试吏年
hái féng sì hǎi píng	还逢四海平
hái féng wǔ kù gē	还逢五袴歌
hái fù bái guī shī	还复白圭诗
hái fù cháng zhēn cóng	还复长榛丛
hái fú chǔ wáng jīn	还拂楚王襟
hái fù cǐ wēi yín	还复此微吟
hái fù jì qióng guī	还复寄琼瑰
hái fù máo yán xià	还复茅檐下
hái fú rù hǎi chuán	还浮入海船
hái fù shàng lín xiāng	还赴上林乡
hái fù xiàng bīng zhōu	还复向并州
hái fǔ yī xián qín	还抚一弦琴
hái fù yòng shù yùn	还妇用束縕
hái fù zhé xiān shī	还赋谪仙诗
hái gāo zhí làng jīng	还高值浪惊
hái gē kǎi rù dōu	还歌凯入都
hái gòng jìn bēi zhōng	还共尽杯中
hái gòng měi rén chén	还共美人沉
hái gǔ yí jīng kǒu	骸骨遗鲸口
hǎi gǔ yí wén shěng	海谷移文省
hái guà dǒu yǔ jī	还挂斗与箕
hǎi guāng jiàn tóng méng	海光渐曈朦
hái guī bì shān cén	还归碧山岑
hái guī bù shān yǐn	还归布山隐
hái guī cháng ān qù	还归长安去
hái guī fù chūn shān	还归富春山
hái guī kōng shān shàng	还归空山上
hái guī kōng wū lái	还归空屋来
hái guī lǐ biān cè	还归理编册
hái guī liǔ shì qù	还归柳市去
hái guī luò yáng shè	还归洛阳社
hái guī shǒu gù yuán	还归守故园
hái guī wǔ líng qù	还归五陵去
hái guī zuò jùn gé	还归坐郡阁
hái guò bái mǎ jīn	还过白马津
hái guò bì yǔ líng	还过避雨陵
hǎi guó kōng zì nuǎn	海国空自暖
hǎi guó kùn zhēng rù	海国困蒸溽
hái guò zhī dùn jū	还过支遁居
hǎi hán duō tiān fēng	海寒多天风
hái hàn gōng jì báo	还汉功既薄
hǎi hè míng bù xī	海鹤鸣不息
hǎi hè shēng liáo lì	海鹤声嘹唳
hǎi hè yī wèi bié	海鹤一为别
hǎi hè yí xiào zhī	海鹤一笑之
hǎi hēi tiān yǔ kuàng	海黑天宇旷
hǎi hóng qíng shǐ jiàn	海虹晴始见
hǎi hú bó qiān sōu	海胡舶千艘
hái hù shǔ chē chén	还扈属车尘
hǎi huái jié cāng zhōu	海怀结沧洲
hái jì cǐ piáo lái	还寄此瓢来
hái jì dù dāng yáng	还继杜当阳
hái jì hǎi yí kāng	还继海沂康
hái jī jiù hé shang	还缉旧荷裳
hái jí liǔ tiáo xīn	还及柳条新
hái jì shí zhāng gōng	还冀识张公
hái jià lè hóng míng	还驾勒鸿名
hái jiàn chuāng zhōng gē	还见窗中鸽
hái jiàn dài wú wéi	还见戴无为
hái jiàn wǔ yún fēi	还见五云飞
hái jiàn yè chéng míng	还见谒承明
hái jiàn yǔ huā shí	还见雨花时
hái jiàn yuè qián lín	还见跃潜鳞
hái jiāng bú shì shì	还将不事事
hái jiāng chén tǔ zú	还将尘土足
hái jiāng fù xuān chù	还将负暄处
hái jiāng gē wǔ chū	还将歌舞出
hái jiāng gē wǔ tài	还将歌舞态
hái jiāng guì gōng zhǔ	还将贵公主
hái jiāng guī lǐ hèn	还将闺里恨
hái jiāng guì wéi jí	还将桂为楫
hái jiāng hǎi yí yǒng	还将海沂咏
hái jiāng hé pǔ yè	还将合浦叶
hái jiāng jī gǔ lì	还将稽古力
hái jiāng jīn yè yì	还将今夜意
hái jiāng jīng jì xué	还将经济学
hái jiāng jūn zǐ biàn	还将君子变
hái jiāng liǎng háng lèi	还将两行泪
hái jiāng liǎng xiù lèi	还将两袖泪
hái jiāng lú nǚ qǔ	还将卢女曲
hái jiāng méi lǐ cuì	还将眉里翠
hái jiāng mèng hún qù	还将梦魂去
hái jiāng nòng jī nǚ	还将弄机女
hái jiāng nòng quán shǒu	还将弄泉手
hái jiāng pú bài shuāi	还将蒲稗衰
hái jiāng qīng miào shí	还将清庙什
hǎi jiāng qióng yí gù	海江穷一顾
hái jiāng shuāi bìn tóng	还将衰鬓同
hái jiāng tīng cháo xiá	还将听朝暇
hái jiāng wàn yì shòu	还将万亿寿
hái jiāng xī fàn qǔ	还将西梵曲
hái jiāng xú rú zǐ	还将徐孺子
hǎi jiāng yán zuò xuě	海将盐作雪
hái jiāng yì zhī chūn	还将一枝春
hái jiāng yì zūn duì	还将一尊对
hái jiāng yǐn shuǐ chù	还将饮水处
hái jiāng yuān lù yǔ	还将鹓鹭羽
hái jiāng zèng lǒng xī	还将赠陇西
hái jiāng zhāng bó wàng	还将张博望
hái jiāng zhèng zì chí	还将正自持
hái jiāng zhōng sàn xīng	还将中散兴
hái jiàng zǐ wēi xīng	还降紫微星
hǎi jiǎo cháng wú shù	海徼长无戍
hǎi jiào nián nián bié	海峤年年别
hǎi jiào xiàn wēi bì	海峤现微碧
hǎi jiǎo yún wéi àn	海角云为岸
hǎi jiào zhān guī lù	海峤瞻归路
hái jiě bào lóng quán	还解抱龙泉
hái jiē dì chū léi	还嗟地出雷
hái jiē dì xiāng yuǎn	还嗟帝乡远
hái jiē jué jī sǒu	还嗟绝机叟
hái jiē tài háng dào	还嗟太行道
hǎi jìn biān yīn jìng	海尽边阴静
hǎi jìn hú yǒu xī	海近湖有犀
hǎi jìn shān cháng yǔ	海近山常雨
hǎi jìn shān rú wò	海近山如沃
hǎi jìn xiàng shān xíng	海尽向山行
hái jìn zàn gōng fáng	还近赞公房
hǎi jìng jiāo tuó chū	海静蛟鼍出
hái jīng jiǔ zhé hún	还惊九折魂
hái jìng mò nán chén	还靖漠南尘
hái jīng shì shī chù	还经誓师处
hǎi jìng wàng qín yú	海静望秦馀
hǎi jìng yuè sè zhēn	海净月色真
hái jǔ dà fēng piān	还举大风篇
hái jù wǔ xīng wén	还聚五星文
hái jūn bái mǎ jīn	还君白马津
hái jūn jié lǚ dài	还君结缕带
hái jūn lǎo yǔ shuāi	还君老与衰
hái jūn shì yǐ shū	还君誓已书
hǎi jùn xióng mán luò	海郡雄蛮落
hái jūn yī jū lèi	还君一掬泪
hái kāi jiǔ yì zūn	还开酒一尊
hái kàn bì xī dá	还看碧溪答
hái kàn fù mìng chù	还看复命处
hái kàn mǎn chuān yuè	还看满川月
hái kàn zǐ jìn tóng	还看紫禁同
hǎi kāng là jǐ yǒu	海康腊己酉
hǎi kāng wú cǐ wù	海康无此物
hǎi kè chéng chá dù	海客乘槎渡
hǎi kè chéng tiān fēng	海客乘天风
hǎi kè huà shén lóng	海客话神泷
hǎi kè qù yǐ jiǔ	海客去已久
hǎi kè tán yíng zhōu	海客谈瀛洲
hái kěn dào rén jiān	还肯到人间
hái kǒng cái féng bà	还恐裁缝罢
hái kǒng lǎo xiāng cuī	还恐老相催
hǎi kōng shā mò mò	海空沙漠漠
hái kǒng wèi chéng guī	还恐未成归
hǎi kǒu cháo yáng jìn	海口朝阳近
hǎi kuàng bù kě lín	海旷不可临
hái kuī tú fèng yǔ	还窥图凤宇
hǎi kuò bēi hái dù	海阔杯还度
hǎi kuò chéng nán dù	海阔诚难度
hǎi kuò gū fān chí	海阔孤帆迟
hǎi kuò lóng shēn zhé	海阔龙深蛰
hǎi kuò píng yú yuè	海阔凭鱼跃
hǎi kuò shàng guà dǒu	海阔尚挂斗
hǎi kuò shí mén xiǎo	海阔石门小
hái lái jīng shān zhōng	还来荆山中
hái lái jiù chéng guō	还来旧城郭
hái lái jiù chuāng xià	还来旧窗下
hái lái lǐ huì cōng	还来礼惠聪
hái lái rào jǐng kū	还来绕井哭
hái lái rào mù tiān	还来绕暮天
hái lái rù dì xiāng	还来入帝乡
hái lái sǎo mén chù	还来扫门处
hái lái shàng guó yóu	还来上国游
hái lái shì lù qú	还来世路衢
hái lái sòng bié chù	还来送别处
hái lái yàn zhǎo qián	还来雁沼前
hái lái yàn zuò biān	还来宴坐边
hái lái yè dà wū	还来谒大巫
hái lái zhù jǐn yán	还来著锦筵
hài làng bēn cháng jīng	骇浪奔长鲸
hǎi làng fú péng chì	海浪扶鹏翅
hǎi làng tián dān jiǎo	海浪恬丹徼
hǎi làng tián yuè jiǎo	海浪恬月徼
hài làng yǎn chén guāng	骇浪掩晨光
hái láo kāng lè hóu	还劳康乐侯
hái láo wǔ jīng sì	还劳五经笥
hái lǐ shí yī mǎ	还李十一马
hǎi lín fāng pō là	海鳞方泼剌
hái lín guān dù yíng	还临官渡营
hǎi lín qiū gèng shū	海林秋更疏
hǎi lín wèi huà shí	海鳞未化时
hái lìng bù dé yì	还令不得意
hái lìng guī ju tóng	还令规矩同
hái lìng jì fǎn fù	还令计反覆
hái lìng lèi shī jīn	还令泪湿巾
hái lìng qì sù sī	还令泣素丝
hái lìng qīn dào shù	还令亲道术
hái lìng wàn lǐ tōng	还令万里通
hái líng yǐng zhōng chàng	还聆郢中唱
hǎi liú hū xī zhù	海流忽西注
hǎi liú líng shuāng fān	海榴凌霜翻
hái liú shēn hòu míng	还留身后名
hǎi liú shì suǒ xī	海榴世所稀
hǎi lù jǐ yōu zāi	海路几悠哉
hǎi lù xíng yǐ dān	海路行已殚
hǎi lù xuě zhōng hán	海路雪中寒
hái lù yǐ kān shāng	还路已堪伤
hái mèi hé shí bǎ	还袂何时把
hái mèi jí chūn huī	还袂及春晖
hái měi zài lín shí	还美再临时
hǎi mén cháo yàn yàn	海门潮滟滟
hǎi mén dāng jiàn jié	海门当建节
hǎi mén jìn kūn zhóu	海门浸坤轴
hǎi mén shēn bú jiàn	海门深不见
hǎi mén tiān shuǐ kuān	海门天水宽
hǎi mén yān xiá chéng	海门烟霞城
hǎi mén zhèng kuáng fēng	海门正狂风
hái méng xiǎo shān yù	还蒙小山遇
hái mí jìng zhōng lù	还迷镜中路
hǎi mí qiú yào shǐ	海迷求药使
hǎi mín yì liǎng piàn	海珉一两片
