lì è	厉鹗
lǐ guǎng	李广
lǐ jìng	李靖
lǐ jué	李傕
lǐ kuí	李逵
lǐ kuī	李悝
lǐ péng	李鹏
lǐ rú	李儒
lǐ sī	李斯
lǐ sù	李肃
lì wáng	厉王
lǐ wèi	李卫
lǐ xiǎng	李想
lǐ yán	李严
lǐ yóu	李由
lǐ yú	李渔
lǐ yuān	李渊
lǐ zhì	李治
lín bái	林白
lín biāo	林彪
lín bīn	林斌
lín bū	林逋
lín chāo	林超
lín chōng	林冲
lín cōng	林聪
lín dá	林达
lín dàn	林旦
lín dòng	林动
lín duó	林铎
lín fēng	林枫
lín gāo	林皋
lín hǎi	林海
lín hǔ	林虎
lín kěn	林肯
lín lì	林立
lín nài	林奈
lín níng	林宁
lín qí	林奇
lín qiáng	林强
lín quán	林全
lín qún	林群
lín sēn	林森
lín shēn	林申
lín shū	林殊
lín shū	林纾
lín tāo	林涛
lín xī	林夕
lín xī	林希
lín xiāo	林萧
lín xiè	林燮
lín xù	林旭
lín yīng	林璎
lín zǎo	林藻
lín zhāo	林昭
lín zhí	林植
lín zhōng	林钟
lín zhū	林洙
lín zī	林滋
liú ān	刘安
liú bā	刘巴
liú bāng	刘邦
liú bèi	刘备
liú bì	刘濞
liú biǎo	刘表
liú chè	刘彻
liú dé	刘德
liú féi	刘肥
liú fēng	刘封
liú fù	刘馥
liú hè	刘贺
liú hè	刘鹤
liú héng	刘恒
liú hóng	刘弘
liú jī	刘基
liú jǐn	刘瑾
liú jù	刘据
liú jùn	刘骏
liú néng	刘能
liú pì	刘辟
liú qí	刘琦
liú qǐ	刘启
liú qiān	刘谦
liú shàn	刘禅
liú shào	刘劭
liú shèng	刘胜
liú sòng	刘宋
liú wěi	刘炜
liú xiàng	刘向
liú xiāng	刘襄
liú xié	刘勰
liú xié	刘协
liú xīn	刘歆
liú xuán	刘玄
liú yǎn	刘琰
liú yào	刘曜
liú yáo	刘繇
liú yè	刘晔
liú yì	刘毅
liú yì	刘廙
liú yíng	刘盈
liú yōng	刘墉
liú yù	刘裕
liú yú	刘瑜
liú yú	刘虞
liú yuán	刘源
liú yuān	刘渊
liú zhāng	刘璋
liú zhēn	刘桢
liú zhòng	刘仲
lóu yè	娄烨
