ān tú	安图
ā běi xiāng	阿北乡
ā chá zhèn	阿察镇
ā chéng qū	阿城区
ā chéng xiàn	阿城县
ā chéng zhèn	阿城镇
ā dǎng zhèn	阿党镇
ā dōu xiāng	阿都乡
ā duō xiāng	阿多乡
ā gàn zhèn	阿干镇
ā gǎng zhèn	阿岗镇
ā gé xiāng	阿格乡
ā gōng zhèn	阿弓镇
ā hú xiāng	阿湖乡
ā hú zhèn	阿湖镇
ā jí zhèn	阿吉镇
ā jiá zhèn	阿戛镇
ā kè sāi	阿克塞
ā lā xiāng	阿拉乡
ā lǎng xiāng	阿朗乡
ā lián qū	阿莲区
ā měng zhèn	阿猛镇
ā mù xiāng	阿木乡
ā qī zhèn	阿七镇
ā qiāng xiāng	阿羌乡
ā qiāng zhèn	阿羌镇
ā róng qí	阿荣旗
ā róu xiāng	阿柔乡
ā suǒ xiāng	阿索乡
ā wàng xiāng	阿旺乡
ā wàng zhèn	阿旺镇
ā wù zhèn	阿坞镇
ā xī zhèn	阿西镇
ā xià xiāng	阿夏乡
ā xiù xiāng	阿秀乡
ā xū zhèn	阿须镇
ā yòng xiāng	阿用乡
ā zhā xiāng	阿扎乡
ā zhā zhèn	阿扎镇
ā zhuāng zhèn	阿庄镇
ā zī xiāng	阿孜乡
ài chéng zhèn	艾城镇
ài diàn zhèn	爱店镇
ài dòng zhèn	隘洞镇
ài gǎng xiāng	艾岗乡
ài huá zhèn	爱华镇
ài huī qū	爱辉区
ài huī xiàn	爱辉县
ài huī zhèn	瑷珲镇
ài jiā xiāng	爱家乡
ài jiā zhèn	艾家镇
ài kǒu xiāng	隘口乡
ài kǒu zhèn	隘口镇
ài mǎ xiāng	艾玛乡
ài mín qū	爱民区
ài mín xiāng	爱民乡
ài nóng xiāng	爱农乡
ài tíng zhèn	艾亭镇
āi xī xiāng	埃西乡
ài yáng zhèn	爱阳镇
ài yè zhèn	艾叶镇
ài yuàn xiàn	爱媛县
ài yuán zhèn	爱园镇
ǎi zhài zhèn	矮寨镇
ài zhī xiàn	爱知县
ài zǐ zhèn	隘子镇
àn bǎn zhèn	按板镇
ān bāng xiāng	安邦乡
ān běi xiāng	安北乡
ān biān zhèn	安边镇
ān bù zhèn	庵埠镇
ān chǎng zhèn	安场镇
ān chéng zhèn	安成镇
ān chéng zhèn	安城镇
ān chōng xiāng	安冲乡
ān chuí xiāng	安陲乡
ān cì qū	安次区
ān cūn zhèn	安村镇
ān dá shì	安达市
ān dá xiàn	安达县
ān dá zhèn	安达镇
ān dé xiàn	安德县
ān dé zhèn	安德镇
ān dì zhèn	安地镇
àn dī zhèn	岸堤镇
ān dǐ zhèn	安底镇
ān dìng qū	安定区
ān dìng xiàn	安定县
ān dìng zhèn	安定镇
ān dōng xiāng	安东乡
ān dōng zhèn	庵东镇
ān dōu xiāng	安都乡
ān dòu xiāng	安斗乡
ān dūn zhèn	安墩镇
ān duō xiàn	安多县
ān fēng xiāng	安丰乡
ān fēng zhèn	安峰镇
ān fēng zhèn	安丰镇
ān fú xiàn	安福县
ān fú xiāng	安福乡
ān fú zhèn	安福镇
ān fú zhèn	安伏镇
ān gāo zhèn	安皋镇
ān gōu zhèn	安沟镇
ān gǔ xiāng	安谷乡
ān gǔ zhèn	安谷镇
ān guǎng zhèn	安广镇
ān guó shì	安国市
ān guó xiàn	安国县
ān guó zhèn	安国镇
ān hā zhèn	安哈镇
ān hǎi zhèn	安海镇
ān hé xiāng	安和乡
ān hé zhèn	安和镇
ān hóng xiāng	安宏乡
ān hòu zhèn	安厚镇
ān huà xiàn	安化县
ān huà xiāng	安化乡
ān huá zhèn	安华镇
ān huà zhèn	安化镇
ān huái zhèn	安怀镇
ān jí xiàn	安吉县
ān jí xiāng	安吉乡
ān jí zhèn	安集镇
ān jiā xiāng	安家乡
ān jiā zhèn	安家镇
ān jiàng zhèn	鞍匠镇
ān jiāng zhèn	安江镇
