gù kuàng	顾况
guān yǔ	关羽
guō chuān	郭川
guō huái	郭淮
guō huái	郭槐
guō jiě	郭解
guō jù	郭巨
guō kāi	郭开
guō kuí	郭隗
guō sì	郭汜
hán cóng	韩琮
hán dāng	韩当
hán fēi	韩非
hán guǎng	韩广
hán hán	韩寒
hán hóng	韩翃
hán huáng	韩璜
hán jì	韩暨
hán jiàng	韩绛
hán jū	韩驹
hán qí	韩琦
hán shuò	韩烁
hán suì	韩遂
hán wáng	韩王
hán xìn	韩信
hán xiū	韩休
hán xuán	韩玄
hán yǎn	韩弇
hán yù	韩愈
hán zhāo	韩昭
hán zhěn	韩缜
hán zhèng	韩正
hǎo méng	郝萌
hé cháng	何常
hè chāng	贺昌
hé dàn	何澹
hé fān	何帆
hé jiàn	何键
hé luán	何鸾
hé píng	何平
hé shì	何适
hé táng	何瑭
hé xīn	何新
hé yàn	何晏
hé yǒng	何勇
hé zhuó	何焯
hóng bǎo	洪堡
hóng fēng	洪峰
hóng gāng	洪钢
hóng hào	洪皓
hóng huǎng	洪晃
hóng jūn	洪军
hóng jūn	洪钧
hóng kuò	洪适
hóng lěi	洪磊
hóng mài	洪迈
hóng qìng	洪庆
hóng sēn	洪森
hóng shēn	洪深
hóng shēng	洪升
hóng tāo	洪涛
hóng wěi	洪炜
hóng yè	洪业
hóng yuán	洪源
hóng zhì	洪智
hú bīn	胡斌
hú bō	胡波
hú céng	胡曾
hú cháo	胡朝
hú chuán	胡传
hú dé	胡德
hú dí	胡迪
hú fāng	胡芳
hú fěi	胡斐
hú fēn	胡玢
hú fēng	胡风
hú fó	胡佛
hú fū	胡夫
hú gāng	胡刚
hú gāng	胡钢
hú gǎo	胡杲
hú gē	胡戈
hú guǎng	胡广
hú hài	胡亥
hú hǎi	胡海
hú hóng	胡宏
hú jiā	胡佳
hú jiā	胡嘉
hú jiàn	胡剑
hú jié	胡杰
hú jìng	胡靖
hú jùn	胡俊
hú jūn	胡君
hú kè	胡克
hú liǎn	胡琏
hú lín	胡林
hú líng	胡玲
hú méi	胡玫
hú mǐn	胡敏
hú míng	胡明
hú nà	胡娜
hú píng	胡平
hú qiáng	胡强
hú róng	胡蓉
hú rùn	胡润
hú shēng	胡生
hú shéng	胡绳
hú shì	胡适
hú tiān	胡天
hú wěi	胡伟
hú xiān	胡仙
hú xióng	胡雄
hú yǐng	胡颖
hú yuàn	胡瑗
hú yuè	胡越
hú zǎi	胡仔
hú zhì	胡质
huà fēi	华妃
huà xīn	华歆
huà xióng	华雄
huà xū	华胥
huà zhēng	华筝
huáng cháo	黄巢
huáng fú	黄福
huáng gài	黄盖
huáng kǎn	黄侃
